package	reference_version	available_in_reference_environment
ANCOMBC	not_installed	FALSE
basilisk	1.24.0	TRUE
Biostrings	2.80.1	TRUE
clue	0.3-68	TRUE
cluster	2.1.8.2	TRUE
ConsensusClusterPlus	1.76.0	TRUE
dada2	not_installed	FALSE
data.table	1.18.4	TRUE
digest	0.6.39	TRUE
edgeR	4.10.1	TRUE
filelock	1.0.3	TRUE
fs	2.1.0	TRUE
GEOquery	2.80.0	TRUE
ggplot2	4.0.3	TRUE
glmnet	5.0	TRUE
httr2	1.2.2	TRUE
jsonlite	2.0.0	TRUE
limma	3.68.4	TRUE
logistf	1.26.1	TRUE
maftools	2.28.0	TRUE
Matrix	1.7-5	TRUE
matrixStats	1.5.0	TRUE
mclust	6.1.3	TRUE
MOFA2	1.22.0	TRUE
MultiAssayExperiment	1.38.0	TRUE
parallel	4.6.0	TRUE
patchwork	1.3.2	TRUE
permute	not_installed	FALSE
phyloseq	not_installed	FALSE
progeny	1.34.0	TRUE
R.utils	2.13.0	TRUE
randomForest	4.7-1.2	TRUE
readxl	1.5.0	TRUE
reticulate	1.46.0	TRUE
S4Vectors	0.50.1	TRUE
SNFtool	2.3.1	TRUE
SummarizedExperiment	1.42.0	TRUE
survival	3.8-6	TRUE
vegan	not_installed	FALSE
