scope	layer	entity_id	metric	observed	status
layer	rna_star	all	input_record_count	95	pass
layer	mirna_bcgsc	all	input_record_count	96	pass
layer	methylation_hm450	all	input_record_count	96	pass
layer	masked_maf	all	input_record_count	96	pass
layer	cnv_gene_ascat2	all	input_record_count	96	pass
layer	cnv_segment_ascat2	all	input_record_count	96	pass
layer	rppa	all	input_record_count	78	pass
cohort	all	all	pathology_confirmed_escc_cohort	96	pass
sample	RNA	TCGA-IC-A6RF	library_size	83707848	pass
sample	RNA	TCGA-IG-A3I8	library_size	85186838	pass
sample	RNA	TCGA-IG-A3QL	library_size	90836824	pass
sample	RNA	TCGA-IG-A3Y9	library_size	110916258	pass
sample	RNA	TCGA-IG-A3YA	library_size	100663272	pass
sample	RNA	TCGA-IG-A3YB	library_size	73815268	pass
sample	RNA	TCGA-IG-A3YC	library_size	74764988	pass
sample	RNA	TCGA-IG-A4P3	library_size	71517439	pass
sample	RNA	TCGA-IG-A4QT	library_size	70696624	pass
sample	RNA	TCGA-IG-A50L	library_size	81519519	pass
sample	RNA	TCGA-IG-A51D	library_size	80812980	pass
sample	RNA	TCGA-IG-A5B8	library_size	75406863	pass
sample	RNA	TCGA-IG-A5S3	library_size	66732231	pass
sample	RNA	TCGA-IG-A625	library_size	80495976	pass
sample	RNA	TCGA-IG-A6QS	library_size	71086558	pass
sample	RNA	TCGA-IG-A8O2	library_size	78461839	pass
sample	RNA	TCGA-IG-A97H	library_size	66477757	pass
sample	RNA	TCGA-IG-A97I	library_size	88456955	pass
sample	RNA	TCGA-JY-A6FA	library_size	88962599	pass
sample	RNA	TCGA-JY-A6FD	library_size	73808039	pass
sample	RNA	TCGA-JY-A6FE	library_size	67340421	pass
sample	RNA	TCGA-JY-A6FG	library_size	79318496	pass
sample	RNA	TCGA-JY-A93F	library_size	68405168	pass
sample	RNA	TCGA-KH-A6WC	library_size	83179621	pass
sample	RNA	TCGA-L5-A43H	library_size	90716636	pass
sample	RNA	TCGA-L5-A43J	library_size	86492216	pass
sample	RNA	TCGA-L5-A4OM	library_size	78362916	pass
sample	RNA	TCGA-L5-A88S	library_size	49220264	pass
sample	RNA	TCGA-L5-A88W	library_size	89590341	pass
sample	RNA	TCGA-L5-A88Z	library_size	79851416	pass
sample	RNA	TCGA-L5-A8NK	library_size	75496217	pass
sample	RNA	TCGA-L5-A8NQ	library_size	25079493	soft_flag
sample	RNA	TCGA-L7-A56G	library_size	73660773	pass
sample	RNA	TCGA-LN-A49K	library_size	95372147	pass
sample	RNA	TCGA-LN-A49L	library_size	103698457	pass
sample	RNA	TCGA-LN-A49M	library_size	88513320	pass
sample	RNA	TCGA-LN-A49N	library_size	128976440	soft_flag
sample	RNA	TCGA-LN-A49O	library_size	83367984	pass
sample	RNA	TCGA-LN-A49P	library_size	79008679	pass
sample	RNA	TCGA-LN-A49R	library_size	105987011	pass
sample	RNA	TCGA-LN-A49S	library_size	86821887	pass
sample	RNA	TCGA-LN-A49U	library_size	81866361	pass
sample	RNA	TCGA-LN-A49V	library_size	103167769	pass
sample	RNA	TCGA-LN-A49W	library_size	76278432	pass
sample	RNA	TCGA-LN-A49X	library_size	87447233	pass
sample	RNA	TCGA-LN-A49Y	library_size	53689934	pass
sample	RNA	TCGA-LN-A4A1	library_size	76761381	pass
sample	RNA	TCGA-LN-A4A2	library_size	104777347	pass
sample	RNA	TCGA-LN-A4A3	library_size	63906400	pass
sample	RNA	TCGA-LN-A4A4	library_size	79188675	pass
sample	RNA	TCGA-LN-A4A5	library_size	79900258	pass
sample	RNA	TCGA-LN-A4A6	library_size	118702013	soft_flag
sample	RNA	TCGA-LN-A4A8	library_size	98151827	pass
sample	RNA	TCGA-LN-A4A9	library_size	58410860	pass
sample	RNA	TCGA-LN-A4MQ	library_size	69753322	pass
sample	RNA	TCGA-LN-A4MR	library_size	88426087	pass
sample	RNA	TCGA-LN-A5U5	library_size	75692899	pass
