gene_id	gene_name	gene_type	expressed_filter	cnv_coverage_filter	cnv_variation_filter	test_eligible	n_patients	spearman_rho_relative_cnv	p_relative_cnv	q_relative_cnv	spearman_rho_absolute_cnv	p_absolute_cnv	q_absolute_cnv	direction_stable_between_cnv_scales	discordance_code	dosage_evidence
ENSG00000000003.15	TSPAN6	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.228841262374533	0.0257056392394404	0.0437758717382279	0.277888232490711	0.00639931569831107	0.0174341829615427	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000000005.6	TNMD	protein_coding	FALSE	TRUE	TRUE	FALSE									not_comparable	
ENSG00000000419.13	DPM1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.41877835247454	2.40493572767667e-05	8.19215549245111e-05	0.201029920096796	0.0507663013143152	0.0956497152381734	TRUE	support	strong_positive_dosage
ENSG00000000457.14	SCYL3	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.575064575463125	1.09494160665228e-09	1.22236350841234e-08	0.465965710241201	1.94859606971725e-06	2.39923255884991e-05	TRUE	support	strong_positive_dosage
ENSG00000000460.17	C1orf112	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.424022751877626	1.85220718423801e-05	6.51044664925345e-05	0.402294502330751	5.31541262872232e-05	0.000352932266792966	TRUE	support	strong_positive_dosage
ENSG00000000938.13	FGR	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.154577464741249	0.13473313048453	0.188220877262578	0.0295623360273871	0.776114796938447	0.835400429025071	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000000971.16	CFH	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.0559227929748625	0.590388080330719	0.657588409867748	0.0411199113754028	0.692363975390255	0.772053102602587	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000001036.14	FUCA2	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000001084.13	GCLC	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000001167.14	NFYA	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000001460.18	STPG1	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.108722900067521	0.294277592298044	0.368195385312135	0.0266934615975087	0.797350802839666	0.852542187135372	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000001461.17	NIPAL3	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.35558898238473	0.00040579377765659	0.00103546814652734	0.198817920228103	0.0534196191657656	0.0999804619628453	TRUE	support	strong_positive_dosage
ENSG00000001497.18	LAS1L	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.255155291906204	0.012578825983596	0.0230493673058755	0.244485654146054	0.0169513435675146	0.038776504170855	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000001561.7	ENPP4	protein_coding	TRUE	TRUE	FALSE	FALSE									not_comparable	
ENSG00000001617.12	SEMA3F	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.166904682912051	0.105962233184187	0.152758104040225	0.0626039238543259	0.546707349442396	0.643349316706278	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
ENSG00000001626.16	CFTR	protein_coding	TRUE	TRUE	TRUE	TRUE	95	0.139355597189584	0.178021651226658	0.239998998709097	0.164662865226397	0.110803113730038	0.181340184323698	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence
