Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	clusters	muts_in_clusters	clusterScores	protLen	zscore	pval	fdr	fract_muts_in_clusters
KPNB1	0	0	0	0	6	0	0	0	0	6	6	6	1	5	0.833333333333333	876	4.26410256410256	1.00353621106386e-05	0.000100353621106386	0.833333333333333
PIK3CA	0	0	0	0	12	0	0	0	0	12	12	12	2	10	0.770833333333333	1068	3.78333333333333	7.7370977915936e-05	0.00038685488957968	0.833333333333333
NFE2L2	0	0	1	1	14	0	0	0	0	16	16	16	2	15	0.560374391104358	605	2.16441839311045	0.0152161267341987	0.050720422447329	0.9375
ARHGAP5	0	0	0	0	5	0	0	0	0	5	5	5	1	2	0.4	1502	0.930769230769231	0.175986474596249	0.439966186490622	0.4
AHNAK	0	0	0	0	5	1	0	0	0	6	4	4	1	2	0.333333333333333	5890	0.417948717948718	0.337992305936284	0.563320509893807	0.333333333333333
TP53	14	1	3	0	55	15	0	11	0	99	86	86	6	46	0.351357015709272	393	0.55659242853286	0.288902964019758	0.563320509893807	0.464646464646465
SMARCA4	0	0	0	0	7	0	0	0	0	7	7	7	1	2	0.285714285714286	1679	0.0516483516483513	0.479404445840641	0.684863494058058	0.285714285714286
FAT2	1	0	0	0	6	1	0	0	0	8	5	5	1	2	0.25	4349	-0.223076923076923	0.588262180728958	0.735327725911197	0.25
PCLO	0	0	0	0	9	0	0	0	0	9	8	8	1	2	0.222222222222222	5142	-0.436752136752137	0.668854443028834	0.743171603365371	0.222222222222222
MUC16	0	1	0	1	12	1	0	0	0	15	15	15	1	2	0.133333333333333	14507	-1.12051282051282	0.868752353808585	0.868752353808585	0.133333333333333
