Hugo_Symbol	gene_id	nonsynonymous_variants	mutated_patients	likely_lof_variants	likely_lof_patients	hotspot_variants	max_observed_aa_position	variant_classes	callers	oncodrive_mutated_samples	oncodrive_clusters	oncodrive_cluster_score	oncodrive_mutations_in_clusters	oncodrive_fraction_in_clusters	oncodrive_p	oncodrive_fdr	mutation_frequency_96	recurrent_mutation
TP53	ENSG00000141510.18	99	86	41	39	76	391	Frame_Shift_Del;Frame_Shift_Ins;In_Frame_Del;Missense_Mutation;Nonsense_Mutation;Splice_Site	muse;mutect2;muse;mutect2;varscan2;muse;varscan2;mutect2;pindel;varscan2;mutect2;pindel*;varscan2;mutect2;varscan2;pindel;varscan2	86	6	0.351357015709272	46	0.464646464646465	0.288902964019758	0.563320509893807	0.895833333333333	TRUE
TTN	ENSG00000155657.28	37	31	3	3	0	32918	Frame_Shift_Del;In_Frame_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;muse;varscan2;mutect2;pindel;varscan2								0.322916666666667	TRUE
KMT2D	ENSG00000167548.16	19	17	14	13	1	5387	Frame_Shift_Del;Frame_Shift_Ins;Missense_Mutation;Nonsense_Mutation;Splice_Region	muse;mutect2;varscan2;mutect2;pindel;mutect2;pindel;varscan2;mutect2;varscan2								0.177083333333333	TRUE
CSMD3	ENSG00000164796.18	19	16	1	1	0	3430	Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2								0.166666666666667	TRUE
NFE2L2	ENSG00000116044.16	16	16	0	0	16	82	In_Frame_Del;In_Frame_Ins;Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;pindel;varscan2;mutect2;pindel;varscan2*	16	2	0.560374391104358	15	0.9375	0.0152161267341987	0.050720422447329	0.166666666666667	TRUE
MUC16	ENSG00000181143.15	15	15	2	2	0	14303	Frame_Shift_Ins;In_Frame_Ins;Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;pindel;varscan2;mutect2;varscan2	15	1	0.133333333333333	2	0.133333333333333	0.868752353808585	0.868752353808585	0.15625	TRUE
NOTCH1	ENSG00000148400.12	16	14	10	9	1	1723	Frame_Shift_Del;Frame_Shift_Ins;Missense_Mutation;Nonsense_Mutation;Splice_Site	muse;mutect2;varscan2;muse;varscan2;mutect2;pindel;varscan2;mutect2;varscan2;pindel;varscan2								0.145833333333333	TRUE
FLG	ENSG00000143631.11	13	13	3	3	0	3505	In_Frame_Del;Missense_Mutation;Nonsense_Mutation	muse;mutect2;muse;mutect2;varscan2;mutect2;varscan2;pindel;varscan2								0.135416666666667	TRUE
DNAH5	ENSG00000039139.9	12	12	0	0	0	4616	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;muse;varscan2								0.125	TRUE
PIK3CA	ENSG00000121879.6	12	12	0	0	12	1047	Missense_Mutation	muse;mutect2;varscan2	12	2	0.770833333333333	10	0.833333333333333	7.7370977915936e-05	0.00038685488957968	0.125	TRUE
ZNF750	ENSG00000141579.7	11	11	9	9	0	298	Frame_Shift_Del;Frame_Shift_Ins;Missense_Mutation;Nonsense_Mutation	muse;mutect2;varscan2;mutect2;pindel;varscan2								0.114583333333333	TRUE
NOTCH3	ENSG00000074181.9	10	10	4	4	0	1669	Frame_Shift_Del;Missense_Mutation;Nonsense_Mutation;Splice_Site	muse;mutect2;muse;mutect2;varscan2;muse;varscan2;mutect2;pindel;varscan2								0.104166666666667	TRUE
OBSCN	ENSG00000154358.22	9	9	0	0	0	7234	Missense_Mutation	muse;mutect2;muse;mutect2;varscan2;muse;varscan2								0.09375	TRUE
