gene1_id	gene1	gene2_id	gene2	both_mutated	gene1_only	gene2_only	neither	odds_ratio	p_value	q_value	interaction_class
ENSG00000141579.7	ZNF750	ENSG00000157423.18	HYDIN	4	7	4	81	11.0079394563451	0.00539579834867501	0.873676636858876	descriptive_only
ENSG00000186472.20	PCLO	ENSG00000155052.14	CNTNAP5	3	5	4	84	11.8878810364398	0.0116185891143525	0.873676636858876	descriptive_only
ENSG00000164796.18	CSMD3	ENSG00000196367.14	TRRAP	4	12	3	77	8.25378375908717	0.0137581602340229	0.873676636858876	descriptive_only
ENSG00000141510.18	TP53	ENSG00000167548.16	KMT2D	12	74	5	5	0.166790091965042	0.0141553992616487	0.873676636858876	descriptive_only
ENSG00000182348.7	ZNF804B	ENSG00000196367.14	TRRAP	3	6	4	83	9.87295979657763	0.0168475557666303	0.873676636858876	descriptive_only
ENSG00000167548.16	KMT2D	ENSG00000169876.14	MUC17	4	13	3	76	7.54005396617348	0.0174735327371775	0.873676636858876	descriptive_only
ENSG00000148400.12	NOTCH1	ENSG00000182348.7	ZNF804B	4	10	5	77	5.98001820350411	0.0239805579607822	0.939868127055795	descriptive_only
ENSG00000141579.7	ZNF750	ENSG00000205038.12	PKHD1L1	3	8	4	81	7.31357960242928	0.0309058323890748	0.939868127055795	descriptive_only
ENSG00000141579.7	ZNF750	ENSG00000196367.14	TRRAP	3	8	4	81	7.31357960242928	0.0309058323890748	0.939868127055795	descriptive_only
ENSG00000039139.9	DNAH5	ENSG00000155052.14	CNTNAP5	3	9	4	80	6.4470268604139	0.0398093344659202	0.939868127055795	descriptive_only
ENSG00000143631.11	FLG	ENSG00000198626.17	RYR2	3	10	4	79	5.75026896115981	0.0499847654108863	0.939868127055795	descriptive_only
ENSG00000143631.11	FLG	ENSG00000060718.22	COL11A1	3	10	4	79	5.75026896115981	0.0499847654108863	0.939868127055795	descriptive_only
ENSG00000148400.12	NOTCH1	ENSG00000155052.14	CNTNAP5	3	11	4	78	5.17696492889572	0.0614307320926828	0.939868127055795	descriptive_only
ENSG00000148400.12	NOTCH1	ENSG00000039139.9	DNAH5	4	10	8	74	3.63163112205081	0.0711398606550226	0.939868127055795	descriptive_only
ENSG00000143631.11	FLG	ENSG00000157423.18	HYDIN	3	10	5	78	4.5672625385988	0.0734682880636509	0.939868127055795	descriptive_only
ENSG00000181143.15	MUC16	ENSG00000196367.14	TRRAP	3	12	4	77	4.69694341222152	0.0741329634102863	0.939868127055795	descriptive_only
ENSG00000181143.15	MUC16	ENSG00000060718.22	COL11A1	3	12	4	77	4.69694341222152	0.0741329634102863	0.939868127055795	descriptive_only
ENSG00000205038.12	PKHD1L1	ENSG00000196367.14	TRRAP	2	5	5	84	6.47236269139169	0.0806409489244192	0.939868127055795	descriptive_only
ENSG00000198626.17	RYR2	ENSG00000151914.20	DST	2	5	5	84	6.47236269139169	0.0806409489244192	0.939868127055795	descriptive_only
ENSG00000198626.17	RYR2	ENSG00000196367.14	TRRAP	2	5	5	84	6.47236269139169	0.0806409489244192	0.939868127055795	descriptive_only
ENSG00000169876.14	MUC17	ENSG00000196367.14	TRRAP	2	5	5	84	6.47236269139169	0.0806409489244192	0.939868127055795	descriptive_only
ENSG00000141579.7	ZNF750	ENSG00000074181.9	NOTCH3	3	8	7	78	4.08701854300118	0.0864247143548314	0.939868127055795	descriptive_only
ENSG00000181143.15	MUC16	ENSG00000121879.6	PIK3CA	4	11	8	73	3.26361214626315	0.0898822582561657	0.939868127055795	descriptive_only
ENSG00000054654.19	SYNE2	ENSG00000205038.12	PKHD1L1	2	6	5	83	5.36312642011986	0.103648402194441	0.939868127055795	descriptive_only
ENSG00000054654.19	SYNE2	ENSG00000198626.17	RYR2	2	6	5	83	5.36312642011986	0.103648402194441	0.939868127055795	descriptive_only
ENSG00000165323.15	FAT3	ENSG00000205038.12	PKHD1L1	2	6	5	83	5.36312642011986	0.103648402194441	0.939868127055795	descriptive_only
ENSG00000157423.18	HYDIN	ENSG00000196367.14	TRRAP	2	6	5	83	5.36312642011986	0.103648402194441	0.939868127055795	descriptive_only
ENSG00000155657.28	TTN	ENSG00000165323.15	FAT3	5	26	3	62	3.91009919582027	0.10693258627553	0.939868127055795	descriptive_only
ENSG00000155657.28	TTN	ENSG00000157423.18	HYDIN	5	26	3	62	3.91009919582027	0.10693258627553	0.939868127055795	descriptive_only
ENSG00000181143.15	MUC16	ENSG00000054654.19	SYNE2	3	12	5	76	3.72656033635004	0.107101676155976	0.939868127055795	descriptive_only
ENSG00000181143.15	MUC16	ENSG00000165323.15	FAT3	3	12	5	76	3.72656033635004	0.107101676155976	0.939868127055795	descriptive_only
ENSG00000141510.18	TP53	ENSG00000121879.6	PIK3CA	9	77	3	7	0.278010199245127	0.108509531896616	0.939868127055795	descriptive_only
ENSG00000155657.28	TTN	ENSG00000143631.11	FLG	7	24	6	59	2.83303275461888	0.108865266424686	0.939868127055795	descriptive_only
ENSG00000181143.15	MUC16	ENSG00000143631.11	FLG	4	11	9	72	2.86791843915775	0.117028984940361	0.939868127055795	descriptive_only
ENSG00000116044.16	NFE2L2	ENSG00000054654.19	SYNE2	3	13	5	75	3.40122680623163	0.126137742014836	0.939868127055795	descriptive_only
ENSG00000116044.16	NFE2L2	ENSG00000157423.18	HYDIN	3	13	5	75	3.40122680623163	0.126137742014836	0.939868127055795	descriptive_only
ENSG00000154358.22	OBSCN	ENSG00000196367.14	TRRAP	2	7	5	82	4.56365846581704	0.128448644030959	0.939868127055795	descriptive_only
ENSG00000154358.22	OBSCN	ENSG00000060718.22	COL11A1	2	7	5	82	4.56365846581704	0.128448644030959	0.939868127055795	descriptive_only
ENSG00000182348.7	ZNF804B	ENSG00000205038.12	PKHD1L1	2	7	5	82	4.56365846581704	0.128448644030959	0.939868127055795	descriptive_only
ENSG00000182348.7	ZNF804B	ENSG00000151914.20	DST	2	7	5	82	4.56365846581704	0.128448644030959	0.939868127055795	descriptive_only
ENSG00000182348.7	ZNF804B	ENSG00000169876.14	MUC17	2	7	5	82	4.56365846581704	0.128448644030959	0.939868127055795	descriptive_only
