factor	view	spearman_rho_with_view_mean	p_value	level_factor_soft_flag	q_value
Factor1	RNA	0.338496550229383	0.000846819959303504	FALSE	0.00483897119602003
Factor1	miRNA	0.275049669472239	0.00729687741859506	FALSE	0.0324305663048669
Factor1	HM450	0.36420185673518	0.000307867643536657	FALSE	0.00205245095691105
Factor1	Mutation	-0.0511542838939027	0.62438580198027	FALSE	0.84332683079912
Factor1	CNV	0.109778564461944	0.292208490576994	FALSE	0.525154358852911
Factor2	RNA	-0.134501318498718	0.196193609962512	FALSE	0.435985799916694
Factor2	miRNA	0.0485135281580754	0.642406796690709	FALSE	0.84332683079912
Factor2	HM450	-0.460520897301593	3.00642109379748e-06	FALSE	4.00856145839664e-05
Factor2	Mutation	0.143220322505005	0.168480011829784	FALSE	0.396423557246551
Factor2	CNV	0.155351659863454	0.134880324568043	FALSE	0.385372355908695
Factor3	RNA	-0.390990860817108	9.76430125734755e-05	FALSE	0.000781144100587804
Factor3	miRNA	0.0264783441101037	0.800015829296419	FALSE	0.887016278600094
Factor3	HM450	0.147086659682838	0.157160993073854	FALSE	0.392902482684636
Factor3	Mutation	0.243260067946689	0.0181500095568602	FALSE	0.0726000382274408
Factor3	CNV	-0.10759672000867	0.301963756340424	FALSE	0.525154358852911
Factor4	RNA	-0.214767185637395	0.0376442644031972	FALSE	0.125480881343991
Factor4	miRNA	-0.00958711122349456	0.926929316103561	FALSE	0.975715069582696
Factor4	HM450	0.850969909330636	1.8120986795603e-27	TRUE	7.2483947182412e-26
Factor4	Mutation	0.230259934760874	0.0255704016512531	FALSE	0.0929832787318293
Factor4	CNV	0.0759094028826356	0.467120676623847	FALSE	0.747393082598155
Factor5	RNA	-0.404789943286494	5.19445449356152e-05	FALSE	0.000519445449356152
Factor5	miRNA	0.0370263338511	0.723112589035665	FALSE	0.876500107922018
Factor5	HM450	-0.0291659140989055	0.780206537769509	FALSE	0.887016278600094
Factor5	Mutation	0.0469886968854289	0.65290850170759	FALSE	0.84332683079912
Factor5	CNV	-0.110862262038074	0.287441438637232	FALSE	0.525154358852911
Factor6	RNA	-0.534111187371311	2.95617364881537e-08	FALSE	5.91234729763074e-07
Factor6	miRNA	-0.109417331936568	0.293809049186144	FALSE	0.525154358852911
Factor6	HM450	0.123404255319149	0.236027042983119	FALSE	0.496899037859199
Factor6	Mutation	-0.0444280645912532	0.670696159665587	FALSE	0.84332683079912
Factor6	CNV	-0.0712711772568002	0.494845109525071	FALSE	0.761300168500108
Factor7	RNA	-0.295697720622765	0.00380926726705819	FALSE	0.019046336335291
Factor7	miRNA	-0.0573853989813243	0.582744080997672	FALSE	0.84332683079912
Factor7	HM450	0.147621283820395	0.155641559493301	FALSE	0.392902482684636
Factor7	Mutation	0.00127666852273716	0.990256356551157	FALSE	0.990256356551157
Factor7	CNV	-0.179034064227143	0.0842477651452332	FALSE	0.259223892754564
Factor8	RNA	0.0237185276162266	0.820490057705087	FALSE	0.887016278600094
Factor8	miRNA	0.00622042408698479	0.952551571446916	FALSE	0.976975970714786
Factor8	HM450	0.0803597875952751	0.441336162010181	FALSE	0.735560270016969
Factor8	Mutation	-0.0252999224962998	0.808742512658825	FALSE	0.887016278600094
Factor8	CNV	-0.0438608532312249	0.674661464639296	FALSE	0.84332683079912
