factor	pathway	n	spearman_rho	p_value	q_value	abs_spearman_rho
Factor6	p53	94	-0.726041252754398	1.2351631953238e-16	1.38338277876265e-14	0.726041252754398
Factor3	EGFR	94	0.671220604703247	1.32953409615717e-13	7.44539093848016e-12	0.671220604703247
Factor3	VEGF	94	0.658288480294766	5.58865377360929e-13	2.08643074214747e-11	0.658288480294766
Factor3	TGFb	94	0.636209948343749	5.55195583705299e-12	1.55454763437484e-10	0.636209948343749
Factor5	VEGF	94	0.611212657587689	6.03986598305814e-11	1.35292998020502e-09	0.611212657587689
Factor3	MAPK	94	0.576216450529206	1.22570265234675e-09	2.28797828438059e-08	0.576216450529206
Factor3	Hypoxia	94	0.534082288769281	2.96220220261448e-08	4.73952352418316e-07	0.534082288769281
Factor5	MAPK	94	0.509287288227432	1.58903944346277e-07	2.22465522084788e-06	0.509287288227432
Factor3	TNFa	94	0.484593432792689	7.45384513556396e-07	7.90555134428355e-06	0.484593432792689
Factor5	PI3K	94	0.483986562150056	7.73077164353319e-07	7.90555134428355e-06	0.483986562150056
Factor5	Trail	94	-0.483914315644981	7.7643807845642e-07	7.90555134428355e-06	0.483914315644981
Factor6	Estrogen	94	0.468381317053788	1.92896104843731e-06	1.80036364520816e-05	0.468381317053788
Factor3	NFkB	94	0.395123360907416	8.10617995638372e-05	0.000659626540330819	0.395123360907416
Factor5	EGFR	94	0.394747679081024	8.24533175413524e-05	0.000659626540330819	0.394747679081024
Factor6	Androgen	94	-0.381974496983708	0.000145317783436621	0.0010850394496601	0.381974496983708
Factor3	PI3K	94	0.375067731098508	0.0001955476951262	0.0013688338658834	0.375067731098508
Factor5	TGFb	94	-0.364245204638226	0.000307320411676168	0.0020246991828077	0.364245204638226
Factor1	EGFR	94	-0.347469566159737	0.000600610453281313	0.00373713170930595	0.347469566159737
Factor3	Trail	94	-0.330795072788354	0.00112812459538076	0.00664999761487606	0.330795072788354
Factor1	JAK-STAT	94	-0.317024888920998	0.00185028387549888	0.010270851211114	0.317024888920998
Factor4	Trail	94	-0.315883394140808	0.00192578460208387	0.010270851211114	0.315883394140808
Factor2	Trail	94	-0.309019976158653	0.00244138453737383	0.0124288667357213	0.309019976158653
Factor6	WNT	94	0.303717082686125	0.00292148178658774	0.0142263460912098	0.303717082686125
Factor2	JAK-STAT	94	-0.299208900769425	0.00339451867799324	0.0158410871639685	0.299208900769425
Factor1	NFkB	94	-0.289209984467001	0.00469628128774399	0.0210393401690931	0.289209984467001
Factor3	WNT	94	0.280164722031572	0.00623888837633782	0.0268752114673014	0.280164722031572
Factor1	TNFa	94	-0.258519669111007	0.0118752976615793	0.0492604940035883	0.258519669111007
Factor2	PI3K	94	0.243896976483763	0.0178399807735607	0.0713599230942429	0.243896976483763
Factor6	VEGF	94	-0.241397247408157	0.0190835502038808	0.0737019869942982	0.241397247408157
Factor6	EGFR	94	-0.239721128490409	0.0199585219999032	0.0745118154663052	0.239721128490409
Factor1	VEGF	94	-0.22964996568291	0.0259742370525405	0.0938424048349851	0.22964996568291
Factor3	JAK-STAT	94	0.227121338005274	0.0277066734189272	0.0945690853690087	0.227121338005274
Factor1	PI3K	94	-0.226745656178882	0.0279722437245903	0.0945690853690087	0.226745656178882
Factor1	Estrogen	94	0.225719755806813	0.0287084723441634	0.0945690853690087	0.225719755806813
Factor2	NFkB	94	-0.219622150778456	0.0334312114913326	0.105009491025091	0.219622150778456
Factor7	VEGF	94	0.219087526640899	0.0338747936969426	0.105009491025091	0.219087526640899
Factor6	Hypoxia	94	-0.218119423472889	0.0346906354279317	0.105009491025091	0.218119423472889
Factor4	VEGF	94	0.216154318534841	0.0363974971974586	0.107276833845141	0.216154318534841
Factor2	MAPK	94	0.208207202976556	0.0440346405662882	0.124279894730115	0.208207202976556
Factor7	Hypoxia	94	-0.207629230935953	0.0446384534846181	0.124279894730115	0.207629230935953
Factor5	Androgen	94	-0.20682007007911	0.04549531860656	0.124279894730115	0.20682007007911
Factor2	TGFb	94	-0.197875952750786	0.055907206939155	0.14908588517108	0.197875952750786
Factor2	VEGF	94	0.195838601307662	0.0585333411729822	0.152458935148233	0.195838601307662
Factor5	WNT	94	-0.188021529458512	0.0695596413636419	0.17706090528927	0.188021529458512
Factor6	TGFb	94	0.175782971498754	0.0901325206415574	0.223232937212476	0.175782971498754
Factor3	Estrogen	94	0.174424737203338	0.0926854141600975	0.223232937212476	0.174424737203338
Factor6	TNFa	94	-0.173904562366795	0.0936781075802356	0.223232937212476	0.173904562366795
Factor2	EGFR	94	0.172257342051078	0.0968770573076769	0.226046467051246	0.172257342051078
