r2_per_factor.group	r2_per_factor.view	r2_per_factor.factor	r2_per_factor.value	r2_total.group	r2_total.view	r2_total.value
group1	RNA	Factor1	8.3656907081604	group1	RNA	39.7705614566803
group1	RNA	Factor2	1.5993595123291	group1	miRNA	24.7039914131165
group1	RNA	Factor3	8.23912024497986	group1	HM450	42.5180613994598
group1	RNA	Factor4	1.19502544403076	group1	Mutation	0.191235542297363
group1	RNA	Factor5	6.75351023674011	group1	CNV	6.25535845756531
group1	RNA	Factor6	10.0886464118958	group1	RNA	39.7705614566803
group1	RNA	Factor7	2.97670364379883	group1	miRNA	24.7039914131165
group1	RNA	Factor8	1.54043436050415	group1	HM450	42.5180613994598
group1	miRNA	Factor1	4.01891469955444	group1	Mutation	0.191235542297363
group1	miRNA	Factor2	3.4447193145752	group1	CNV	6.25535845756531
group1	miRNA	Factor3	5.15936613082886	group1	RNA	39.7705614566803
group1	miRNA	Factor4	1.04072690010071	group1	miRNA	24.7039914131165
group1	miRNA	Factor5	6.86143040657044	group1	HM450	42.5180613994598
group1	miRNA	Factor6	1.98027491569519	group1	Mutation	0.191235542297363
group1	miRNA	Factor7	2.2443413734436	group1	CNV	6.25535845756531
group1	miRNA	Factor8	0.725775957107544	group1	RNA	39.7705614566803
group1	HM450	Factor1	7.99088478088379	group1	miRNA	24.7039914131165
group1	HM450	Factor2	11.1127912998199	group1	HM450	42.5180613994598
group1	HM450	Factor3	1.91603899002075	group1	Mutation	0.191235542297363
group1	HM450	Factor4	12.6446902751923	group1	CNV	6.25535845756531
group1	HM450	Factor5	0.441581010818481	group1	RNA	39.7705614566803
group1	HM450	Factor6	0.34557580947876	group1	miRNA	24.7039914131165
group1	HM450	Factor7	3.26152443885803	group1	HM450	42.5180613994598
group1	HM450	Factor8	6.24558329582214	group1	Mutation	0.191235542297363
group1	Mutation	Factor1	0.0680327415466309	group1	CNV	6.25535845756531
group1	Mutation	Factor2	0.0116944313049316	group1	RNA	39.7705614566803
group1	Mutation	Factor3	0.0179409980773926	group1	miRNA	24.7039914131165
group1	Mutation	Factor4	0.0161647796630859	group1	HM450	42.5180613994598
group1	Mutation	Factor5	0.0211656093597412	group1	Mutation	0.191235542297363
group1	Mutation	Factor6	0.00734329223632813	group1	CNV	6.25535845756531
group1	Mutation	Factor7	0.0214755535125732	group1	RNA	39.7705614566803
group1	Mutation	Factor8	0.0275552272796631	group1	miRNA	24.7039914131165
group1	CNV	Factor1	1.6193687915802	group1	HM450	42.5180613994598
group1	CNV	Factor2	1.7753541469574	group1	Mutation	0.191235542297363
group1	CNV	Factor3	1.25886797904968	group1	CNV	6.25535845756531
group1	CNV	Factor4	0.245088338851929	group1	RNA	39.7705614566803
group1	CNV	Factor5	0.0169694423675537	group1	miRNA	24.7039914131165
group1	CNV	Factor6	0.00516772270202637	group1	HM450	42.5180613994598
group1	CNV	Factor7	0.710570812225342	group1	Mutation	0.191235542297363
group1	CNV	Factor8	0.630486011505127	group1	CNV	6.25535845756531
