pathway	selected_k	heterogeneity_status	kruskal_h	epsilon_squared	p_value	q_value
VEGF	5	no_stable_discrete_clusters_continuous_factors_retained	27.2507881078576	0.261244810200647	1.76878124567867e-05	0.000247629374395014
Trail	5	no_stable_discrete_clusters_continuous_factors_retained	24.9171374265679	0.235024016028853	5.22770691701015e-05	0.000347871614991651
TGFb	5	no_stable_discrete_clusters_continuous_factors_retained	23.6892507836644	0.221227536895106	9.21862173120623e-05	0.000347871614991651
JAK-STAT	5	no_stable_discrete_clusters_continuous_factors_retained	23.5259791616695	0.219393024288421	9.93918899976147e-05	0.000347871614991651
TNFa	5	no_stable_discrete_clusters_continuous_factors_retained	19.1958972088762	0.170740418077261	0.000719259642042717	0.00190944962221116
NFkB	5	no_stable_discrete_clusters_continuous_factors_retained	18.9107042104512	0.16753600236462	0.000818335552376212	0.00190944962221116
EGFR	5	no_stable_discrete_clusters_continuous_factors_retained	18.1123050667625	0.158565225469241	0.00117326139169864	0.00234652278339728
MAPK	5	no_stable_discrete_clusters_continuous_factors_retained	16.6759343003235	0.142426228093523	0.00223418544499788	0.00390982452874629
PI3K	5	no_stable_discrete_clusters_continuous_factors_retained	12.9806890926654	0.100906619018713	0.0113705369291321	0.0176875018897611
p53	5	no_stable_discrete_clusters_continuous_factors_retained	10.0288637958731	0.0677400426502592	0.0399442718300362	0.0559219805620507
WNT	5	no_stable_discrete_clusters_continuous_factors_retained	9.74858853009931	0.0645908823606664	0.0448824541250066	0.0571231234318266
Hypoxia	5	no_stable_discrete_clusters_continuous_factors_retained	8.30880191371193	0.0484135046484487	0.0808993044686923	0.094382521880141
Estrogen	5	no_stable_discrete_clusters_continuous_factors_retained	7.8636224050606	0.0434114876973101	0.0967035758830655	0.104142312489455
Androgen	5	no_stable_discrete_clusters_continuous_factors_retained	2.2056369067534	0	0.697997409300417	0.697997409300417
