gene_id	gene_name	tcga_driver_tier	event_type	target_type	target	n_complete	n_event	n_reference	effect_measure	effect	p_value	mutation_evidence_unit	cnv_expression_evidence_unit	distinct_event_unit_count_recomputed	independence_group	independent_validation	analysis_eligible	q_value	level_factor_soft_flag	predictor_feature_selected_in_target_model	target_model_overlap_class	bootstrap_iterations	valid_bootstraps	effect_ci95_low	effect_ci95_high	bootstrap_direction_consistency	association_status	discordance_code	eligible_as_independent_validation
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	relative_cnv	MOFA_factor	Factor3	94			Spearman rho	0.201646363246005	0.0513019306666409	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	TRUE	0.289705020235148	FALSE	FALSE	predictor_layer_in_mofa_input	500	500	-0.0203236789651007	0.404131782065139	0.964	directional_exploratory	same_direction_nonsignificant	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	mutation	MOFA_factor	Factor7	94	7	87	rank-biserial correlation: event minus reference	0.428571428571429	0.0611722111413373	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	TRUE	0.293626613478419	FALSE	TRUE	predictor_feature_in_mofa_input	500	500	0.0336617405582924	0.704597701149425	0.984	directional_exploratory	same_direction_nonsignificant	FALSE
ENSG00000121879.6	PIK3CA	strong_patient_level_candidate	mutation	MOFA_factor	Factor6	94	11	83	rank-biserial correlation: event minus reference	-0.325301204819277	0.0817142358660419	TRUE	TRUE	2	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	TRUE	0.367714061397188	FALSE	TRUE	predictor_feature_in_mofa_input	500	500	-0.558762322015334	-0.0699342825848851	0.992	directional_exploratory	same_direction_nonsignificant	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	mutation	MOFA_factor	Factor2	94	7	87	rank-biserial correlation: event minus reference	0.382594417077176	0.0947963892595824	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	TRUE	0.383822420524153	FALSE	TRUE	predictor_feature_in_mofa_input	500	500	-0.0182266009852216	0.719293924466338	0.966	directional_exploratory	same_direction_nonsignificant	FALSE
ENSG00000148400.12	NOTCH1	strong_patient_level_candidate	mutation	MOFA_factor	Factor7	94	13	81	rank-biserial correlation: event minus reference	-0.289648622981956	0.0959556051310382	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	TRUE	0.383822420524153	FALSE	TRUE	predictor_feature_in_mofa_input	500	500	-0.588841405508072	0.0561253561253561	0.946	directional_exploratory	same_direction_nonsignificant	FALSE
ENSG00000185920.16	PTCH1	strong_patient_level_candidate	amplification	MOFA_factor	Factor5	94	6	88	rank-biserial correlation: event minus reference	0.439393939393939	0.0740244443366027	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	TRUE	0.394797036461881	FALSE	FALSE	predictor_layer_in_mofa_input	500	500	0.119223484848485	0.716098484848485	1	directional_exploratory	same_direction_nonsignificant	FALSE
ENSG00000127616.19	SMARCA4	strong_patient_level_candidate	mutation	MOFA_factor	Factor4	94	7	87	rank-biserial correlation: event minus reference	0.520525451559934	0.0228758204504946	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	TRUE	0.167683937944865	TRUE	TRUE	predictor_feature_in_mofa_input	500	500	-0.00353037766830863	0.885057471264368	0.974	directional_exploratory_level_factor_qc	same_direction_nonsignificant	FALSE
ENSG00000141510.18	TP53	strong_patient_level_candidate	relative_cnv	MOFA_factor	Factor4	94			Spearman rho	0.208790276539727	0.0434323854449104	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	TRUE	0.283940830828338	TRUE	FALSE	predictor_layer_in_mofa_input	500	500	0.0171048560175124	0.401122886603031	0.982	directional_exploratory_level_factor_qc	same_direction_nonsignificant	FALSE
ENSG00000087460.27	GNAS	strong_patient_level_candidate	mutation	MOFA_factor	Factor1	94	4	90	rank-biserial correlation: event minus reference	-0.711111111111111	0.0169268030919366	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
ENSG00000148400.12	NOTCH1	strong_patient_level_candidate	amplification	MOFA_factor	Factor3	94	4	90	rank-biserial correlation: event minus reference	0.677777777777778	0.0228517846472587	TRUE	FALSE	1	TCGA_ESCC_DR45_driver_state_shared_patients	FALSE	FALSE		FALSE	FALSE	predictor_layer_in_mofa_input	500					insufficient_event_count_descriptive	not_comparable	FALSE
