original_edge_id	gene_id	event_type	reference_factor	original_association_status	original_level_factor_soft_flag	prespecified_seed_count	completed_converged_seed_count	baseline_reliable_match_rate	drop_both_reliable_match_rate	drop_both_direction_retention_rate	drop_both_magnitude_retention_rate	drop_both_low_margin_count	drop_both_retention_decision	meets_T3_T4_retention_criteria	gene_name	interpretation_role	original_effect	original_q_value	baseline_direction_retention_rate	drop_mutation_match_rate	drop_mutation_direction_retention_rate	drop_cnv_match_rate	drop_cnv_direction_retention_rate	gene_feature_drop_scenario	gene_feature_drop_prespecified	gene_feature_drop_no_op	scheduled_gene_feature_drop_no_op	gene_feature_drop_match_rate	gene_feature_drop_direction_retention_rate	post_audit_maximum_status	exact_independent_validation	p_q_scope
TCGA_DRIVER_STATE_0015	ENSG00000141579.7	mutation	Factor2	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	ZNF750	boundary_context_reverse	0.463307776560789	0.129852383590817	1	1	1	1	1	drop_gene_event_features_ZNF750	TRUE	FALSE	FALSE	1	1	within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0041	ENSG00000087460.27	relative_cnv	Factor7	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	GNAS	exploratory_candidate	-0.225737281324169	0.275479285042975	1	1	1	1	1	drop_gene_event_features_GNAS	TRUE	TRUE	TRUE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0055	ENSG00000116044.16	amplification	Factor2	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	NFE2L2	known_positive_anchor	-0.419607843137255	0.254622778770024	1	1	1	1	1	drop_gene_event_features_NFE2L2	TRUE	FALSE	FALSE	1	1	within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0053	ENSG00000116044.16	mutation	Factor1	within_tcga_supported	FALSE	3	3	1	1	1	1	0	retained_across_seeds_no_low_margin	TRUE	NFE2L2	known_positive_anchor	0.753205128205128	0.000166971067788069	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_NFE2L2	TRUE	FALSE	FALSE	1	1	within_tcga_supported	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0056	ENSG00000116044.16	mutation	Factor7	within_tcga_supported	FALSE	3	3	1	1	1	1	0	retained_across_seeds_no_low_margin	TRUE	NFE2L2	known_positive_anchor	0.642628205128205	0.00134293091253213	1	1	1	1	1	drop_gene_event_features_NFE2L2	TRUE	FALSE	FALSE	1	1	within_tcga_supported	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0057	ENSG00000116044.16	mutation	Factor8	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	NFE2L2	known_positive_anchor	0.346153846153846	0.173841101375178	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_NFE2L2	TRUE	FALSE	FALSE	1	1	within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0054	ENSG00000116044.16	relative_cnv	Factor2	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	NFE2L2	known_positive_anchor	-0.205135051839573	0.283940830828338	1	1	1	1	1	drop_gene_event_features_NFE2L2	TRUE	FALSE	FALSE	1	1	within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0047	ENSG00000121879.6	amplification	Factor1	within_tcga_supported	FALSE	3	3	1	1	1	1	0	retained_across_seeds_no_low_margin	TRUE	PIK3CA	known_positive_anchor	0.557369614512472	0.000107662142667664	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_PIK3CA	TRUE	FALSE	FALSE	1	1	within_tcga_supported	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0048	ENSG00000121879.6	mutation	Factor6	directional_exploratory	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	PIK3CA	known_positive_anchor	-0.325301204819277	0.367714061397188	1	1	1	1	1	drop_gene_event_features_PIK3CA	TRUE	FALSE	FALSE	1	1	directional_exploratory	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0049	ENSG00000121879.6	mutation	Factor8	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	PIK3CA	known_positive_anchor	-0.391018619934283	0.186619633118392	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_PIK3CA	TRUE	FALSE	FALSE	1	1	within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0046	ENSG00000121879.6	relative_cnv	Factor1	within_tcga_supported	FALSE	3	3	1	1	1	1	0	retained_across_seeds_no_low_margin	TRUE	PIK3CA	known_positive_anchor	0.578587085765964	9.70359868940868e-08	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_PIK3CA	TRUE	FALSE	FALSE	1	1	within_tcga_supported	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0037	ENSG00000100393.14	relative_cnv	Factor1	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	EP300	other_strong_driver	0.253771203331802	0.16303172875576	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_EP300	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0038	ENSG00000100393.14	relative_cnv	Factor7	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	EP300	other_strong_driver	-0.208400263918035	0.283940830828338	1	1	1	1	1	drop_gene_event_features_EP300	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0045	ENSG00000109670.16	relative_cnv	Factor7	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	FBXW7	other_strong_driver	-0.243303789235754	0.193371519297011	1	1	1	1	1	drop_gene_event_features_FBXW7	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0003	ENSG00000167548.16	mutation	Factor5	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	KMT2D	other_strong_driver	0.362179487179487	0.167683937944865	1	1	1	1	1	drop_gene_event_features_KMT2D	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0001	ENSG00000167548.16	relative_cnv	Factor2	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	KMT2D	other_strong_driver	0.275430665835518	0.138488466026886	1	1	1	1	1	drop_gene_event_features_KMT2D	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0002	ENSG00000167548.16	relative_cnv	Factor3	within_tcga_supported	FALSE	3	3	1	1	1	1	0	retained_across_seeds_no_low_margin	TRUE	KMT2D	other_strong_driver	-0.312270708246483	0.0524022138510443	1	0.666666666666667	0.666666666666667	1	1	drop_gene_event_features_KMT2D	FALSE		FALSE			within_tcga_supported	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0010	ENSG00000148400.12	mutation	Factor7	directional_exploratory	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	NOTCH1	other_strong_driver	-0.289648622981956	0.383822420524153	1	1	1	1	1	drop_gene_event_features_NOTCH1	FALSE		FALSE			directional_exploratory	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0008	ENSG00000148400.12	relative_cnv	Factor1	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	NOTCH1	other_strong_driver	0.215133292356625	0.283940830828338	1	0.333333333333333	0.333333333333333	1	1	drop_gene_event_features_NOTCH1	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
TCGA_DRIVER_STATE_0009	ENSG00000148400.12	relative_cnv	Factor3	within_tcga_conditional	FALSE	3	3	1	1	1	1	0	direction_and_magnitude_retained_statistical_attenuation	FALSE	NOTCH1	other_strong_driver	0.221306879127476	0.279841925407987	1	0.666666666666667	0.666666666666667	1	1	drop_gene_event_features_NOTCH1	FALSE		FALSE			within_tcga_conditional	FALSE	TCGA_internal_descriptive_only
