gene_id	original_edge_id	gene_name	interpretation_role	event_type	reference_factor	original_effect	original_q_value	original_association_status	original_level_factor_soft_flag	scenario_id	scenario_class	scenario_target_gene_id	scenario_target_gene_name	prespecified_seed_count	informative_model_count	completed_converged_seed_count	reliable_factor_match_count	reliable_factor_match_rate	direction_retained_count	direction_retention_rate	magnitude_retained_count	magnitude_retention_rate	low_margin_count	median_aligned_effect	median_q_value	minimum_factor_match_abs_loading_correlation	median_factor_match_abs_loading_correlation	scenario_no_op	no_op_reason	retention_decision
ENSG00000141579.7	TCGA_DRIVER_STATE_0015	ZNF750	boundary_context_reverse	mutation	Factor2	0.463307776560789	0.129852383590817	within_tcga_conditional	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	0.467688937568456	0.125500907747263	0.998924467226342	0.999928793988097	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000141579.7	TCGA_DRIVER_STATE_0015	ZNF750	boundary_context_reverse	mutation	Factor2	0.463307776560789	0.129852383590817	within_tcga_conditional	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.458926615553122	0.111668691524356	0.998123108885465	0.998141320627606	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000141579.7	TCGA_DRIVER_STATE_0015	ZNF750	boundary_context_reverse	mutation	Factor2	0.463307776560789	0.129852383590817	within_tcga_conditional	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.461117196056955	0.129852383590817	0.998128164107663	0.998401309625071	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000141579.7	TCGA_DRIVER_STATE_0015	ZNF750	boundary_context_reverse	mutation	Factor2	0.463307776560789	0.129852383590817	within_tcga_conditional	FALSE	drop_gene_event_features_ZNF750	gene_event_feature_drop	ENSG00000141579.7	ZNF750	3	3	3	3	1	3	1	3	1	0	0.467688937568456	0.125500907747263	0.998944368501168	0.999928921534643	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000141579.7	TCGA_DRIVER_STATE_0015	ZNF750	boundary_context_reverse	mutation	Factor2	0.463307776560789	0.129852383590817	within_tcga_conditional	FALSE	drop_mutation_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	0.467688937568456	0.223462224596578	0.998236495543582	0.998525545261377	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000087460.27	TCGA_DRIVER_STATE_0041	GNAS	exploratory_candidate	relative_cnv	Factor7	-0.225737281324169	0.275479285042975	within_tcga_conditional	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	-0.226382492278492	0.271017729467966	0.999817313011878	0.999818522208016	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000087460.27	TCGA_DRIVER_STATE_0041	GNAS	exploratory_candidate	relative_cnv	Factor7	-0.225737281324169	0.275479285042975	within_tcga_conditional	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.19258760143924	0.287688486789799	0.995347852193533	0.995924851590014	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000087460.27	TCGA_DRIVER_STATE_0041	GNAS	exploratory_candidate	relative_cnv	Factor7	-0.225737281324169	0.275479285042975	within_tcga_conditional	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.192571864586696	0.3357535148037	0.995623411386344	0.995645980129931	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000087460.27	TCGA_DRIVER_STATE_0041	GNAS	exploratory_candidate	relative_cnv	Factor7	-0.225737281324169	0.275479285042975	within_tcga_conditional	FALSE	drop_gene_event_features_GNAS	gene_event_feature_drop	ENSG00000087460.27	GNAS	3	0	0												TRUE	candidate Mutation and CNV features were both absent from the reference MOFA input; baseline reuse is not sensitivity evidence	not_applicable_no_op
ENSG00000087460.27	TCGA_DRIVER_STATE_0041	GNAS	exploratory_candidate	relative_cnv	Factor7	-0.225737281324169	0.275479285042975	within_tcga_conditional	FALSE	drop_mutation_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.251600798481008	0.19798870630845	0.977033416772979	0.992314148022101	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0055	NFE2L2	known_positive_anchor	amplification	Factor2	-0.419607843137255	0.254622778770024	within_tcga_conditional	FALSE	baseline	baseline_multi_seed			3	3	3	3	1	3	1	3	1	0	-0.422222222222222	0.254622778770024	0.998924467226342	0.999928793988097	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0055	NFE2L2	known_positive_anchor	amplification	Factor2	-0.419607843137255	0.254622778770024	within_tcga_conditional	FALSE	drop_both_event_views	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.422222222222222	0.218879632253449	0.998123108885465	0.998141320627606	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0055	NFE2L2	known_positive_anchor	amplification	Factor2	-0.419607843137255	0.254622778770024	within_tcga_conditional	FALSE	drop_cnv_view	global_view_drop			3	3	3	3	1	3	1	3	1	0	-0.42483660130719	0.298976656552962	0.998128164107663	0.998401309625071	FALSE		direction_and_magnitude_retained_statistical_attenuation
ENSG00000116044.16	TCGA_DRIVER_STATE_0055	NFE2L2	known_positive_anchor	amplification	Factor2	-0.419607843137255	0.254622778770024	within_tcga_conditional	FALSE	drop_gene_event_features_NFE2L2	gene_event_feature_drop	ENSG00000116044.16	NFE2L2	3	3	3	3	1	3	1	3	1	0	-0.422222222222222	0.246799435146972	0.999621954788678	0.999783115653114	FALSE		direction_and_magnitude_retained_statistical_attenuation
