model_id	reference_factor	candidate_factor	raw_shared_loading_correlation	absolute_shared_loading_correlation	patient_score_correlation_diagnostic_raw	patient_score_correlation_diagnostic_aligned	absolute_patient_score_correlation_diagnostic	sign_multiplier	sign_flipped	reference_margin	candidate_margin	minimum_match_margin	low_margin_flag	match_reliable	matching_status	loading_alignment_is_event_blind	loading_alignment_views	loading_standardization	reference_factor_count	candidate_factor_count	loading_alignment_method	patient_score_diagnostic_method	minimum_absolute_correlation	minimum_margin_required	high_confidence_override	override_margin_requirement	seed	scenario_order	scenario_id	scenario_class	target_gene_id	target_gene_name	scenario_no_op	expected_model_action	mutation_action	cnv_action	model_completed	model_converged	training_iteration_count	final_elbo	counts_toward_sensitivity
baseline__seed_20260711	Factor1	Factor1	1	1	1	1	1	1	FALSE	0.880888682098358	0.880888682098358	0.880888682098358	FALSE	TRUE	reliable_hungarian_match	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	1	baseline	baseline_multi_seed			FALSE	fit_new_mofa_model	retained	retained	TRUE	TRUE	300	-554116.37722269	TRUE
baseline__seed_20260711	Factor2	Factor2	1	1	1	1	1	1	FALSE	0.744260954164839	0.744260954164839	0.744260954164839	FALSE	TRUE	reliable_hungarian_match	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	1	baseline	baseline_multi_seed			FALSE	fit_new_mofa_model	retained	retained	TRUE	TRUE	300	-554116.37722269	TRUE
baseline__seed_20260711	Factor3	Factor3	1	1	1	1	1	1	FALSE	0.866943659076289	0.866943659076289	0.866943659076289	FALSE	TRUE	reliable_hungarian_match	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	1	baseline	baseline_multi_seed			FALSE	fit_new_mofa_model	retained	retained	TRUE	TRUE	300	-554116.37722269	TRUE
baseline__seed_20260711	Factor4	Factor4	1	1	1	1	1	1	FALSE	0.744260954164839	0.744260954164839	0.744260954164839	FALSE	TRUE	reliable_hungarian_match	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	1	baseline	baseline_multi_seed			FALSE	fit_new_mofa_model	retained	retained	TRUE	TRUE	300	-554116.37722269	TRUE
baseline__seed_20260711	Factor5	Factor5	1	1	1	1	1	1	FALSE	0.853956674700346	0.853956674700346	0.853956674700346	FALSE	TRUE	reliable_hungarian_match	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	1	baseline	baseline_multi_seed			FALSE	fit_new_mofa_model	retained	retained	TRUE	TRUE	300	-554116.37722269	TRUE
baseline__seed_20260711	Factor6	Factor6	1	1	1	1	1	1	FALSE	0.839062620711808	0.839062620711808	0.839062620711808	FALSE	TRUE	reliable_hungarian_match	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	1	baseline	baseline_multi_seed			FALSE	fit_new_mofa_model	retained	retained	TRUE	TRUE	300	-554116.37722269	TRUE
baseline__seed_20260711	Factor7	Factor7	1	1	1	1	1	1	FALSE	0.92234986222424	0.92234986222424	0.92234986222424	FALSE	TRUE	reliable_hungarian_match	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	1	baseline	baseline_multi_seed			FALSE	fit_new_mofa_model	retained	retained	TRUE	TRUE	300	-554116.37722269	TRUE
baseline__seed_20260711	Factor8	Factor8	1	1	1	1	1	1	FALSE	0.824337383240004	0.824337383240004	0.824337383240004	FALSE	TRUE	reliable_hungarian_match	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	1	baseline	baseline_multi_seed			FALSE	fit_new_mofa_model	retained	retained	TRUE	TRUE	300	-554116.37722269	TRUE
drop_mutation_view__seed_20260711	Factor1	Factor1	-0.626100009716627	0.626100009716627	-0.652046382256258	0.652046382256258	0.652046382256258	-1	TRUE	-0.076887356961315	-0.125309590657946	-0.125309590657946	TRUE	FALSE	assigned_low_margin_unmatched	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	2	drop_mutation_view	global_view_drop			FALSE	fit_new_mofa_model	view_removed	retained	TRUE	TRUE	345	-550821.481719845	TRUE
drop_mutation_view__seed_20260711	Factor2	Factor2	0.998236495543582	0.998236495543582	0.996734457970595	0.996734457970595	0.996734457970595	1	FALSE	0.733050118303427	0.751656145432383	0.733050118303427	FALSE	TRUE	reliable_hungarian_match	TRUE	RNA;miRNA;HM450	per-view per-factor center then unit-L2; concatenate shared features	8	8	Pearson correlation of standardized loadings	spearman	0.35	0.05	0.7	0.05	20260711	2	drop_mutation_view	global_view_drop			FALSE	fit_new_mofa_model	view_removed	retained	TRUE	TRUE	345	-550821.481719845	TRUE
