tcga_gene_id	tcga_gene_name	gencode19_gene_name	tcga_primary_candidate_route	stable_gene_id	promoter_total_pairs	promoter_primary_coverage_pairs	promoter_conditional_coverage_pairs	promoter_technically_unavailable_pairs	promoter_evaluable_pairs	promoter_median_common_cpg	promoter_min_common_cpg	promoter_median_paired_delta_beta	promoter_paired_delta_beta_iqr	promoter_positive_pairs	promoter_negative_pairs	promoter_p_value	promoter_region_evaluation_status	promoter_q_candidate_by_region	promoter_methylation_effect_class	gene_body_total_pairs	gene_body_primary_coverage_pairs	gene_body_conditional_coverage_pairs	gene_body_technically_unavailable_pairs	gene_body_evaluable_pairs	gene_body_median_common_cpg	gene_body_min_common_cpg	gene_body_median_paired_delta_beta	gene_body_paired_delta_beta_iqr	gene_body_positive_pairs	gene_body_negative_pairs	gene_body_p_value	gene_body_region_evaluation_status	gene_body_q_candidate_by_region	gene_body_methylation_effect_class	rna_source_gene_id	paired_patients	median_normal_tpm	median_tumor_tpm	median_delta_log2_tpm_pc01	median_delta_log2_tpm_pc1	positive_pairs_pc1	negative_pairs_pc1	paired_wilcox_p_pc1	limma_log_fc_pc01	limma_t_pc01	limma_p_pc01	limma_q_transcriptome_pc01	limma_log_fc_pc1	limma_t_pc1	limma_p_pc1	limma_q_transcriptome_pc1	limma_q_candidate_pc01	limma_q_candidate_pc1	paired_wilcox_q_candidate_pc1	pseudocount_direction_stable	rna_effect_class	identified_protein_groups	identified_batches	patient_records	quantified_patients	numeric_batch_values	p7_quantified_batches	median_patient_log2_tumor_vs_normal	protein_effect_iqr	positive_patients	negative_patients	p_value	protein_measurement_status	q_candidate	protein_effect_class	promoter_rna_n	promoter_rna_rho	promoter_rna_p	rna_protein_n	rna_protein_rho	rna_protein_p	promoter_protein_n	promoter_protein_rho	promoter_protein_p	promoter_rna_relationship	rna_protein_relationship	cross_layer_class	fdr_supported_layer_count	statistical_support_class	available_layer_count
ENSG00000167548.16	KMT2D	KMT2D	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000167548	9	9	0	0	9	44	44	0	0	0	0		evaluable		small_or_mixed_shift	9	9	0	0	9	504	504	0	0	1	1	1	evaluable	1	small_or_mixed_shift	KMT2D_KMT2D	10	3.545	3.765	0.344233538237508	0.273722944996523	6	4	0.540817904242618	-0.0858269817630178	-0.192203711670829	0.851705058675928	1	-0.0481601148854993	-0.135057877038583	0.895429236942212	1	0.92913279128283	0.974135924085792	0.589983168264674	TRUE	small_or_mixed_shift	0	0	0	0	0	0			0	0		not_identified		layer_missing_not_negative	9			0			0			weak_or_mixed	protein_missing_not_negative	context_dependent_or_weak	0	directional_only_no_candidate_layer_fdr	2
ENSG00000148400.12	NOTCH1	NOTCH1	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000148400	9	9	0	0	9	46	46	0	0	0	0		evaluable		small_or_mixed_shift	9	9	0	0	9	1231	1231	0	0.00476199999999992	3	1	0.855132140584706	evaluable	0.932871426092406	small_or_mixed_shift	NOTCH1_NOTCH1	10	6.76	7.905	0.317017229034416	0.28593792389087	6	4	0.414823067184775	0.298718086170912	0.903352403032954	0.389088075533541	0.652668665590182	0.262009824105452	0.891803649762021	0.394870336395641	0.657835488274072	0.635498504159806	0.633398861485373	0.553097422913033	TRUE	small_or_mixed_shift	0	0	0	0	0	0			0	0		not_identified		layer_missing_not_negative	9			0			0			weak_or_mixed	protein_missing_not_negative	context_dependent_or_weak	0	directional_only_no_candidate_layer_fdr	2
ENSG00000141579.7	ZNF750	ZNF750	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000141579	9	9	0	0	9	44	44	-0.0878849999999999	0.136184	1	6	0.0519129649350183	evaluable	0.211290858403754	hypomethylated_in_tumor	9	9	0	0	9	253	253	-0.0833329999999999	0.0531750000000001	1	8	0.0178171887595787	evaluable	0.213806265114945	hypomethylated_in_tumor	ZNF750_ZNF750	10	31.44	14.525	-0.972099343138112	-0.928091298805051	1	9	0.0190588916017305	-1.74058605848731	-2.17500237195199	0.0566283617846002	0.183629020962402	-1.47418514340141	-2.42658298398945	0.0372427082037947	0.138374610579315	0.339770170707601	0.223456249222768	0.114353349610383	TRUE	lower_in_tumor	0	0	0	0	0	0			0	0		not_identified		layer_missing_not_negative	9	0.108787563138244	0.780553852628062	0			0			credible_reverse_same_direction_retained	protein_missing_not_negative	credible_reverse_retained	0	directional_only_no_candidate_layer_fdr	2
ENSG00000074181.9	NOTCH3	NOTCH3	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000074181	9	9	0	0	9	48	48	-0.00416649999999997	0.055728	1	5	0.0934924836898357	evaluable	0.211290858403754	small_or_mixed_shift	9	9	0	0	9	452	452	0	0.00349649999999997	1	3	0.201242620957724	evaluable	0.344987350213241	small_or_mixed_shift	NOTCH3_NOTCH3	10	20.35	23.73	0.521866673063416	0.497194998369954	7	3	0.308063229907199	0.526183240360996	1.58611988190094	0.146012071160796	0.355532305311918	0.505648036124808	1.58336537037313	0.146537743110799	0.358736165016247	0.485598000846607	0.452985304712643	0.528108394126627	TRUE	higher_in_tumor	0	0	0	0	0	0			0	0		not_identified		layer_missing_not_negative	9	-0.254273813857804	0.509101514754861	0			0			weak_or_mixed	protein_missing_not_negative	context_dependent_or_weak	0	directional_only_no_candidate_layer_fdr	2
ENSG00000185920.16	PTCH1	PTCH1	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000185920	9	9	0	0	9	20	20	0	0.015121	3	2	0.589638551626567	evaluable	0.70756626195188	small_or_mixed_shift	9	9	0	0	9	913	913	0	0.0444929999999999	3	4	0.799846105662473	evaluable	0.932871426092406	small_or_mixed_shift	PTCH1_PTCH1	10	2.38	1.095	-1.05008296347833	-0.684298881645693	1	9	0.0831311427008039	-0.687685399706192	-1.14777650169776	0.279665578627578	0.546911729361254	-0.375415288024046	-0.761677038813137	0.46503169662053	0.733302077772757	0.559331157255157	0.633398861485373	0.332524570803216	TRUE	lower_in_tumor	0	0	0	0	0	0			0	0		not_identified		layer_missing_not_negative	9	0.0261116483933547	0.946836001412091	0			0			weak_or_mixed	protein_missing_not_negative	context_dependent_or_weak	0	directional_only_no_candidate_layer_fdr	2
ENSG00000100393.14	EP300	EP300	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000100393	9	9	0	0	9	38	38	0	0	0	0		evaluable		small_or_mixed_shift	9	9	0	0	9	746	746	0	0	0	2	0.371093369522698	evaluable	0.556640054284046	small_or_mixed_shift	EP300_EP300	10	10.955	12.195	0.352747210632676	0.322705012504053	8	2	0.414823067184775	-0.0282798464252322	-0.0633623942281378	0.950816005143814	1	-0.0137395861439371	-0.0332994256654944	0.974135924085792	1	0.950816005143814	0.974135924085792	0.553097422913033	TRUE	small_or_mixed_shift	0	0	0	0	0	0			0	0		not_identified		layer_missing_not_negative	9			0			0			weak_or_mixed	protein_missing_not_negative	context_dependent_or_weak	0	directional_only_no_candidate_layer_fdr	2
ENSG00000087460.27	GNAS	GNAS	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000087460	9	9	0	0	9	57	57	-0.055556	0.205556	3	6	0.343252562436031	evaluable	0.514878843654047	hypomethylated_in_tumor	9	9	0	0	9	1042	1042	0	0.022565	1	4	0.41849223344682	evaluable	0.55798964459576	small_or_mixed_shift	GNAS_GNAS	10	689.72	990.145	0.412096096586597	0.411616143814962	9	1	0.0108269212771313	0.455658076875313	3.15418776169218	0.0111681933637219	0.0580085215069531	0.455231110559371	3.15798467042615	0.011057682935039	0.0594514133138664	0.134018320364663	0.132692195220468	0.114353349610383	TRUE	higher_in_tumor	3	3	10	7	8	2	0.2300707094205	0.41343596736955	4	3	0.446872820710831	quantified	0.446872820710831	higher_in_tumor	9	-0.25	0.516489552301226	7	-0.464285714285714	0.293934107600252	7	0.285714285714286	0.534509228601041	directionally_coherent_inverse	directionally_coherent	three_layer_directional_hypothesis	0	directional_only_no_candidate_layer_fdr	3
ENSG00000109670.16	FBXW7	FBXW7	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000109670	9	0	9	0	9	4	4	0	0	1	0	1	evaluable	1	small_or_mixed_shift	9	9	0	0	9	623	623	0	0.00263199999999998	0	3	0.18144920772142	evaluable	0.344987350213241	small_or_mixed_shift	FBXW7_FBXW7	10	16.63	14.39	-0.17798943617836	-0.168315141962571	3	7	0.262192602406773	-0.360396813696096	-1.31701268505017	0.219291677327882	0.46162331654728	-0.338505278536454	-1.31057818437682	0.221279189866787	0.466517150843382	0.526300025586916	0.531070055680288	0.528108394126627	TRUE	lower_in_tumor	0	0	0	0	0	0			0	0		not_identified		layer_missing_not_negative	9	-0.273861278752583	0.475797238518024	0			0			weak_or_mixed	protein_missing_not_negative	context_dependent_or_weak	0	directional_only_no_candidate_layer_fdr	2
ENSG00000121879.6	PIK3CA	PIK3CA	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000121879	9	9	0	0	9	40	40	0	0	0	0		evaluable		small_or_mixed_shift	9	9	0	0	9	508	508	0	0.0249635	0	4	0.100348246462291	evaluable	0.344987350213241	small_or_mixed_shift	PIK3CA_PIK3CA	10	10.03	21	0.971368736924403	0.92130634315421	8	2	0.126278928554698	0.62817898279699	1.51924494673344	0.161866000282202	0.378392299320404	0.601007684063865	1.56401014021397	0.150995101570881	0.366716315112753	0.485598000846607	0.452985304712643	0.378836785664094	TRUE	higher_in_tumor	1	1	4	0	0	0			0	0		identified_not_quantified		identified_not_quantified_not_negative	9			0			0			weak_or_mixed	protein_identified_not_quantified	context_dependent_or_weak	0	directional_only_no_candidate_layer_fdr	2
ENSG00000116044.16	NFE2L2	NFE2L2	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000116044	9	9	0	0	9	58	58	0	0	0	0		evaluable		small_or_mixed_shift	9	9	0	0	9	1058	1058	-0.0119045	0.0668265	0	5	0.0590582290905367	evaluable	0.344987350213241	small_or_mixed_shift	NFE2L2_NFE2L2	10	221.91	170.91	-0.326066713656782	-0.324584407298311	3	7	0.759765825978067	-0.0822292688237637	-0.246999131394878	0.810263449330926	1	-0.0809673182949775	-0.244529728958387	0.81210299604895	1	0.92913279128283	0.974135924085792	0.759765825978067	TRUE	small_or_mixed_shift	0	0	0	0	0	0			0	0		not_identified		layer_missing_not_negative	9			0			0			weak_or_mixed	protein_missing_not_negative	context_dependent_or_weak	0	directional_only_no_candidate_layer_fdr	2
ENSG00000141510.18	TP53	TP53	mutation_recurrence_hotspot_or_multihit_lof	ENSG00000141510	9	9	0	0	9	50	50	0	0	0	0		evaluable		small_or_mixed_shift	9	9	0	0	9	300	300	0	0.054701	0	3	0.18144920772142	evaluable	0.344987350213241	small_or_mixed_shift	TP53_TP53	10	23.685	27.85	0.374259628618884	0.359992521113102	7	3	0.308063229907199	0.248318846741796	0.783612931810944	0.452718517442734	0.723747234898679	0.249581407852044	0.822040545075742	0.43151788886996	0.697612759375896	0.635498504159806	0.633398861485373	0.528108394126627	TRUE	small_or_mixed_shift	0	0	0	0	0	0			0	0		not_identified		layer_missing_not_negative	9			0			0			weak_or_mixed	protein_missing_not_negative	context_dependent_or_weak	0	directional_only_no_candidate_layer_fdr	2
