tcga_gene_id	paper_patient_id	tcga_gene_name	normal_tpm	tumor_tpm	rna_delta_log2_tpm_pc01	rna_delta_log2_tpm_pc1	median_delta_beta_gene_body	median_delta_beta_promoter	n_common_cpg_gene_body	n_common_cpg_promoter	protein_log2_tumor_vs_normal	protein_identified_batches	protein_quantified_batches	protein_patient_measurement_status
ENSG00000167548.16	P1	KMT2D	2.7	11.84	2.09230410431984	1.79504802660599	0	0	504	44				
ENSG00000167548.16	P11	KMT2D	4.08	5.6	0.447458976971221	0.37763752747365	-0.05	0	504	44				
ENSG00000167548.16	P12	KMT2D	2.12	2.98	0.472370674344795	0.351222401681401	0	0	504	44				
ENSG00000167548.16	P13	KMT2D	2.5	4.23	0.73585540169827	0.579456024414613	0	0	504	44				
ENSG00000167548.16	P15	KMT2D	3.53	4.19	0.241008099503795	0.196223488311646								
ENSG00000167548.16	P2	KMT2D	3.69	3.23	-0.18667567109983	-0.148930259395426	0.00391300000000001	0	504	44				
ENSG00000167548.16	P6	KMT2D	9.29	2.01	-2.15388215894659	-1.77340759013427	0	0	504	44				
ENSG00000167548.16	P7	KMT2D	7.98	0.99	-2.89002715797487	-2.1739470141975	0	0	504	44				
ENSG00000167548.16	P8	KMT2D	3.33	4.66	0.472752997135131	0.386435028105157	0	0	504	44				
ENSG00000167548.16	P9	KMT2D	3.56	3.34	-0.0894350835819444	-0.0713387817202622	0	0	504	44				
ENSG00000148400.12	P1	NOTCH1	4.21	18.12	2.07976318471295	1.87572724570224	0.00476199999999992	0	1231	46				
ENSG00000148400.12	P11	NOTCH1	6.61	11.56	0.797183117000313	0.722868105388081	-0.0333329999999999	0	1231	46				
ENSG00000148400.12	P12	NOTCH1	3.23	8.2	1.31758915916303	1.12097619782443	0	0	1231	46				
ENSG00000148400.12	P13	NOTCH1	7.86	7.61	-0.0460375706286142	-0.0412934611581743	0	0	1231	46				
ENSG00000148400.12	P15	NOTCH1	6.21	5.91	-0.0702750142713633	-0.061313548852564								
ENSG00000148400.12	P2	NOTCH1	6.91	9.34	0.429372415351218	0.386486585842143	0	0	1231	46				
ENSG00000148400.12	P6	NOTCH1	13.26	6.78	-0.957439537771954	-0.874131921457696	0.00584799999999987	0	1231	46				
ENSG00000148400.12	P7	NOTCH1	12.27	3.99	-1.59667275203462	-1.41105665003293	0	0	1231	46				
ENSG00000148400.12	P8	NOTCH1	4.24	7.61	0.829035817470555	0.716446425859393	0	0	1231	46				
ENSG00000148400.12	P9	NOTCH1	7.97	9.2	0.204662042717613	0.185389261939596	0.02	0	1231	46				
ENSG00000141579.7	P1	ZNF750	40.41	33.96	-0.250199650007894	-0.244274017869279	0.00980399999999989	0.0312025	253	44				
ENSG00000141579.7	P11	ZNF750	15.35	25.01	0.700655190479764	0.669775763557547	-0.145833	-0.1404155	253	44				
ENSG00000141579.7	P12	ZNF750	30.68	17.52	-0.804779307407796	-0.774488236819374	-0.00271700000000003	0	253	44				
