tcga_gene_id	tcga_gene_name	paper_patient_id	identified_batches	quantified_batches	log2_tumor_vs_normal	raw_batch_log2_tumor_vs_normal	group_ids	uniprot_swissprot_accessions	measurement_status
ENSG00000087460.27	GNAS	P1	1	1	0.407363571393	batch1:0.407364	483	sp|Q5JWF2|GNAS1_HUMAN	quantified
ENSG00000087460.27	GNAS	P11	1	1	-0.410341104614	batch2:-0.410341	503	sp|Q5JWF2|GNAS1_HUMAN	quantified
ENSG00000087460.27	GNAS	P12	1	0		batch3:NA	495	sp|Q5JWF2|GNAS1_HUMAN	identified_not_quantified
ENSG00000087460.27	GNAS	P13	1	0		batch3:NA	495	sp|Q5JWF2|GNAS1_HUMAN	identified_not_quantified
ENSG00000087460.27	GNAS	P15	1	0		batch3:NA	495	sp|Q5JWF2|GNAS1_HUMAN	identified_not_quantified
ENSG00000087460.27	GNAS	P2	1	1	-0.0071955014042	batch1:-0.007196	483	sp|Q5JWF2|GNAS1_HUMAN	quantified
ENSG00000087460.27	GNAS	P6	1	1	0.713118852212	batch1:0.713119	483	sp|Q5JWF2|GNAS1_HUMAN	quantified
ENSG00000087460.27	GNAS	P7	3	2	0.2300707094205	batch1:0.312939;batch2:0.147202;batch3:NA	483 | 495 | 503	sp|Q5JWF2|GNAS1_HUMAN	quantified
ENSG00000087460.27	GNAS	P8	1	1	0.33097323449	batch2:0.330973	503	sp|Q5JWF2|GNAS1_HUMAN	quantified
ENSG00000087460.27	GNAS	P9	1	1	-0.0813396274519	batch2:-0.08134	503	sp|Q5JWF2|GNAS1_HUMAN	quantified
ENSG00000121879.6	PIK3CA	P11	1	0		batch2:NA	1725	sp|P42336|PK3CA_HUMAN	identified_not_quantified
ENSG00000121879.6	PIK3CA	P7	1	0		batch2:NA	1725	sp|P42336|PK3CA_HUMAN	identified_not_quantified
ENSG00000121879.6	PIK3CA	P8	1	0		batch2:NA	1725	sp|P42336|PK3CA_HUMAN	identified_not_quantified
ENSG00000121879.6	PIK3CA	P9	1	0		batch2:NA	1725	sp|P42336|PK3CA_HUMAN	identified_not_quantified
