tcga_gene_id	tcga_gene_name	gencode19_gene_name	paper_patient_id	N	T	delta_log2_tpm_pc01	delta_log2_tpm_pc1
ENSG00000167548.16	KMT2D	KMT2D	P1	2.7	11.84	2.09230410431984	1.79504802660599
ENSG00000167548.16	KMT2D	KMT2D	P11	4.08	5.6	0.447458976971221	0.37763752747365
ENSG00000167548.16	KMT2D	KMT2D	P12	2.12	2.98	0.472370674344795	0.351222401681401
ENSG00000167548.16	KMT2D	KMT2D	P13	2.5	4.23	0.73585540169827	0.579456024414613
ENSG00000167548.16	KMT2D	KMT2D	P15	3.53	4.19	0.241008099503795	0.196223488311646
ENSG00000167548.16	KMT2D	KMT2D	P2	3.69	3.23	-0.18667567109983	-0.148930259395426
ENSG00000167548.16	KMT2D	KMT2D	P6	9.29	2.01	-2.15388215894659	-1.77340759013427
ENSG00000167548.16	KMT2D	KMT2D	P7	7.98	0.99	-2.89002715797487	-2.1739470141975
ENSG00000167548.16	KMT2D	KMT2D	P8	3.33	4.66	0.472752997135131	0.386435028105157
ENSG00000167548.16	KMT2D	KMT2D	P9	3.56	3.34	-0.0894350835819444	-0.0713387817202622
ENSG00000148400.12	NOTCH1	NOTCH1	P1	4.21	18.12	2.07976318471295	1.87572724570224
ENSG00000148400.12	NOTCH1	NOTCH1	P11	6.61	11.56	0.797183117000313	0.722868105388081
ENSG00000148400.12	NOTCH1	NOTCH1	P12	3.23	8.2	1.31758915916303	1.12097619782443
ENSG00000148400.12	NOTCH1	NOTCH1	P13	7.86	7.61	-0.0460375706286142	-0.0412934611581743
ENSG00000148400.12	NOTCH1	NOTCH1	P15	6.21	5.91	-0.0702750142713633	-0.061313548852564
ENSG00000148400.12	NOTCH1	NOTCH1	P2	6.91	9.34	0.429372415351218	0.386486585842143
ENSG00000148400.12	NOTCH1	NOTCH1	P6	13.26	6.78	-0.957439537771954	-0.874131921457696
ENSG00000148400.12	NOTCH1	NOTCH1	P7	12.27	3.99	-1.59667275203462	-1.41105665003293
ENSG00000148400.12	NOTCH1	NOTCH1	P8	4.24	7.61	0.829035817470555	0.716446425859393
ENSG00000148400.12	NOTCH1	NOTCH1	P9	7.97	9.2	0.204662042717613	0.185389261939596
ENSG00000141579.7	ZNF750	ZNF750	P1	40.41	33.96	-0.250199650007894	-0.244274017869279
ENSG00000141579.7	ZNF750	ZNF750	P11	15.35	25.01	0.700655190479764	0.669775763557547
ENSG00000141579.7	ZNF750	ZNF750	P12	30.68	17.52	-0.804779307407796	-0.774488236819374
ENSG00000141579.7	ZNF750	ZNF750	P13	28.67	28.47	-0.010064184802915	-0.00975786635626719
ENSG00000141579.7	ZNF750	ZNF750	P15	32.2	6.44	-2.30417162408321	-2.15780871512626
ENSG00000141579.7	ZNF750	ZNF750	P2	41.02	31.57	-0.376723397165688	-0.367532442277143
ENSG00000141579.7	ZNF750	ZNF750	P6	71.62	0.14	-8.22319727214722	-5.99326120063547
ENSG00000141579.7	ZNF750	ZNF750	P7	90.12	7.98	-3.48102008796756	-3.34298039696696
ENSG00000141579.7	ZNF750	ZNF750	P8	29.52	10.25	-1.51694087290216	-1.43982996073013
ENSG00000141579.7	ZNF750	ZNF750	P9	25.52	11.53	-1.13941937886843	-1.08169436079073
ENSG00000074181.9	NOTCH3	NOTCH3	P1	11.27	64.76	2.51209676956356	2.42207505001878
ENSG00000074181.9	NOTCH3	NOTCH3	P11	16.45	24.44	0.568304031968324	0.543871634187341
ENSG00000074181.9	NOTCH3	NOTCH3	P12	12.04	48.43	1.99910843850852	1.9224430369087
ENSG00000074181.9	NOTCH3	NOTCH3	P13	19.68	32.14	0.704809317768857	0.680337416906517
ENSG00000074181.9	NOTCH3	NOTCH3	P15	21.02	21.48	0.0310850301295638	0.0298275666565573
ENSG00000074181.9	NOTCH3	NOTCH3	P2	26.18	23.02	-0.184823877821652	-0.178309305061757
ENSG00000074181.9	NOTCH3	NOTCH3	P6	37.7	21.68	-0.795382280391528	-0.770912926089544
ENSG00000074181.9	NOTCH3	NOTCH3	P7	31.48	18.9	-0.733011752641927	-0.706783201754166
ENSG00000074181.9	NOTCH3	NOTCH3	P8	13.76	19.17	0.475429314158508	0.450518362552566
ENSG00000074181.9	NOTCH3	NOTCH3	P9	22.74	36.6	0.684217412367732	0.663412726923093
ENSG00000185920.16	PTCH1	PTCH1	P1	1.53	35.95	4.46705538989711	3.8683650743392
ENSG00000185920.16	PTCH1	PTCH1	P11	6.95	3.05	-1.16227142889888	-0.973032952399731
ENSG00000185920.16	PTCH1	PTCH1	P12	0.79	0.38	-0.890770930245242	-0.375291320486088
ENSG00000185920.16	PTCH1	PTCH1	P13	1.28	0.42	-1.40808473863708	-0.68314289466006
ENSG00000185920.16	PTCH1	PTCH1	P15	1.27	0.98	-0.343144580797058	-0.197191867211305
ENSG00000185920.16	PTCH1	PTCH1	P2	2.6	1.34	-0.906890595608519	-0.62148837674627
ENSG00000185920.16	PTCH1	PTCH1	P6	8.83	1.14	-2.84832005473435	-2.19958061993943
ENSG00000185920.16	PTCH1	PTCH1	P7	3.31	1.68	-0.937894498057775	-0.685454868631326
ENSG00000185920.16	PTCH1	PTCH1	P8	3.56	1.05	-1.67020978733967	-1.1534099146593
ENSG00000185920.16	PTCH1	PTCH1	P9	2.16	0.9	-1.17632277264046	-0.733925139846155
ENSG00000100393.14	EP300	EP300	P1	9.62	34.4	1.82756814294711	1.73696559416621
ENSG00000100393.14	EP300	EP300	P11	13.73	29.08	1.0771787267674	1.03004713664179
ENSG00000100393.14	EP300	EP300	P12	7.46	10.12	0.434937056716549	0.394427219603557
ENSG00000100393.14	EP300	EP300	P13	10.42	12.59	0.270557364548803	0.250982805404548
ENSG00000100393.14	EP300	EP300	P15	10.76	15.83	0.552722163720948	0.517147116493585
ENSG00000100393.14	EP300	EP300	P2	11.15	11.27	0.0153072527878484	0.0141789351697614
ENSG00000100393.14	EP300	EP300	P6	28.02	5.7	-2.2774717890576	-2.11481451872161
ENSG00000100393.14	EP300	EP300	P7	27.06	3.7	-2.83741215591378	-2.5777823470549
ENSG00000100393.14	EP300	EP300	P8	11.48	16.19	0.492351350536282	0.461951610615813
ENSG00000100393.14	EP300	EP300	P9	10.54	11.8	0.161463422694117	0.14950058624188
ENSG00000087460.27	GNAS	GNAS	P1	711.24	1013.99	0.511574500096099	0.511030147535248
ENSG00000087460.27	GNAS	GNAS	P11	817.35	2390.31	1.54805569380195	1.54701126115942
ENSG00000087460.27	GNAS	GNAS	P12	668.2	983.54	0.557634529543451	0.557012375914953
ENSG00000087460.27	GNAS	GNAS	P13	622.54	622.68	0.000324352116676252	0.000323884008551545
ENSG00000087460.27	GNAS	GNAS	P15	650.39	1056.7	0.700103588060273	0.699337010602317
ENSG00000087460.27	GNAS	GNAS	P2	746.76	996.75	0.416538599809943	0.416103074705607
ENSG00000087460.27	GNAS	GNAS	P6	865.32	974.36	0.171202504343611	0.171034783986682
ENSG00000087460.27	GNAS	GNAS	P7	657.87	587.26	-0.163776786541266	-0.163539898300046
ENSG00000087460.27	GNAS	GNAS	P8	795.61	1055.15	0.407270194159135	0.40686925305666
ENSG00000087460.27	GNAS	GNAS	P9	608.61	807.37	0.407653593363252	0.407129212924318
ENSG00000109670.16	FBXW7	FBXW7	P1	14.63	22.87	0.640993426342075	0.610880788082112
ENSG00000109670.16	FBXW7	FBXW7	P11	22.66	26.33	0.215675867334988	0.208035386183418
ENSG00000109670.16	FBXW7	FBXW7	P12	15.98	12.36	-0.367963338154927	-0.345916451078987
ENSG00000109670.16	FBXW7	FBXW7	P13	16.54	15.15	-0.125846190803481	-0.119114582863446
ENSG00000109670.16	FBXW7	FBXW7	P15	15.53	23.77	0.610880788082112	0.58350714395405
ENSG00000109670.16	FBXW7	FBXW7	P2	16.72	14.24	-0.230132681553239	-0.217515701061696
ENSG00000109670.16	FBXW7	FBXW7	P6	29.66	12.5	-1.23995079272075	-1.18339828972058
ENSG00000109670.16	FBXW7	FBXW7	P7	34	6.94	-2.27612440527424	-2.14014400957673
ENSG00000109670.16	FBXW7	FBXW7	P8	15.77	14.54	-0.11638657455114	-0.109896185156636
ENSG00000109670.16	FBXW7	FBXW7	P9	17.81	10.81	-0.715114235662354	-0.671490884126038
ENSG00000121879.6	PIK3CA	PIK3CA	P1	8.21	42.29	2.35080358428475	2.23276073912102
ENSG00000121879.6	PIK3CA	PIK3CA	P11	13.77	30.6	1.14627086793394	1.09725473229968
ENSG00000121879.6	PIK3CA	PIK3CA	P12	7.19	24.76	1.76983557672555	1.65319723647361
ENSG00000121879.6	PIK3CA	PIK3CA	P13	9.27	10.17	0.132315228659008	0.12119300416512
ENSG00000121879.6	PIK3CA	PIK3CA	P15	9.97	17.39	0.796466605914868	0.745357954008745
ENSG00000121879.6	PIK3CA	PIK3CA	P2	9.65	22.97	1.24254388004601	1.17037647853593
ENSG00000121879.6	PIK3CA	PIK3CA	P6	16.65	10.17	-0.705724913914302	-0.660038997675228
ENSG00000121879.6	PIK3CA	PIK3CA	P7	22.38	4.48	-2.29522253212398	-2.09302713157113
ENSG00000121879.6	PIK3CA	PIK3CA	P8	10.09	24.52	1.27267671031864	1.20236896360316
ENSG00000121879.6	PIK3CA	PIK3CA	P9	12.77	19.03	0.571824820125411	0.540633861677744
ENSG00000116044.16	NFE2L2	NFE2L2	P1	216.25	717.35	1.72951117128557	1.72533075925539
ENSG00000116044.16	NFE2L2	NFE2L2	P11	162.68	461.35	1.50325088096146	1.49810733844646
ENSG00000116044.16	NFE2L2	NFE2L2	P12	263.1	106.4	-1.30530605862204	-1.29809030818168
ENSG00000116044.16	NFE2L2	NFE2L2	P13	227.57	166.97	-0.446491502085074	-0.444432475185513
ENSG00000116044.16	NFE2L2	NFE2L2	P15	238.83	122.71	-0.960159970415676	-0.955050010608942
ENSG00000116044.16	NFE2L2	NFE2L2	P2	196.73	174.85	-0.170007462363194	-0.169186441352919
ENSG00000116044.16	NFE2L2	NFE2L2	P6	271.74	114.85	-1.24175129157868	-1.23526825696618
ENSG00000116044.16	NFE2L2	NFE2L2	P7	321.8	274.44	-0.229596214115288	-0.228902492595227
ENSG00000116044.16	NFE2L2	NFE2L2	P8	187.59	309.23	0.720794971893557	0.718085026240216
ENSG00000116044.16	NFE2L2	NFE2L2	P9	193.41	144.28	-0.422537213198276	-0.420266322001395
ENSG00000141510.18	TP53	TP53	P1	20.04	79.08	1.97507238402331	1.92830726954369
ENSG00000141510.18	TP53	TP53	P11	24.09	47.7	0.982599848888186	0.956809301560532
ENSG00000141510.18	TP53	TP53	P12	16	13.64	-0.22867868418388	-0.215619192741021
ENSG00000141510.18	TP53	TP53	P13	24.98	14.44	-0.786510078882445	-0.7507286781798
ENSG00000141510.18	TP53	TP53	P15	22.66	27.92	0.299956398124237	0.289617478611329
ENSG00000141510.18	TP53	TP53	P2	23.28	43.23	0.890091306740212	0.865256820642972
ENSG00000141510.18	TP53	TP53	P6	26.34	27.78	0.0765083843607313	0.0740533491342372
