rna_source_gene_id	tcga_gene_id	tcga_gene_name	gencode19_gene_name	paired_patients	median_normal_tpm	median_tumor_tpm	median_delta_log2_tpm_pc01	median_delta_log2_tpm_pc1	positive_pairs_pc1	negative_pairs_pc1	paired_wilcox_p_pc1	limma_log_fc_pc01	limma_t_pc01	limma_p_pc01	limma_q_transcriptome_pc01	limma_log_fc_pc1	limma_t_pc1	limma_p_pc1	limma_q_transcriptome_pc1	limma_q_candidate_pc01	limma_q_candidate_pc1	paired_wilcox_q_candidate_pc1	pseudocount_direction_stable	rna_effect_class
KMT2D_KMT2D	ENSG00000167548.16	KMT2D	KMT2D	10	3.545	3.765	0.344233538237508	0.273722944996523	6	4	0.540817904242618	-0.0858269817630178	-0.192203711670829	0.851705058675928	1	-0.0481601148854993	-0.135057877038583	0.895429236942212	1	0.92913279128283	0.974135924085792	0.589983168264674	TRUE	small_or_mixed_shift
NOTCH1_NOTCH1	ENSG00000148400.12	NOTCH1	NOTCH1	10	6.76	7.905	0.317017229034416	0.28593792389087	6	4	0.414823067184775	0.298718086170912	0.903352403032954	0.389088075533541	0.652668665590182	0.262009824105452	0.891803649762021	0.394870336395641	0.657835488274072	0.635498504159806	0.633398861485373	0.553097422913033	TRUE	small_or_mixed_shift
ZNF750_ZNF750	ENSG00000141579.7	ZNF750	ZNF750	10	31.44	14.525	-0.972099343138112	-0.928091298805051	1	9	0.0190588916017305	-1.74058605848731	-2.17500237195199	0.0566283617846002	0.183629020962402	-1.47418514340141	-2.42658298398945	0.0372427082037947	0.138374610579315	0.339770170707601	0.223456249222768	0.114353349610383	TRUE	lower_in_tumor
NOTCH3_NOTCH3	ENSG00000074181.9	NOTCH3	NOTCH3	10	20.35	23.73	0.521866673063416	0.497194998369954	7	3	0.308063229907199	0.526183240360996	1.58611988190094	0.146012071160796	0.355532305311918	0.505648036124808	1.58336537037313	0.146537743110799	0.358736165016247	0.485598000846607	0.452985304712643	0.528108394126627	TRUE	higher_in_tumor
PTCH1_PTCH1	ENSG00000185920.16	PTCH1	PTCH1	10	2.38	1.095	-1.05008296347833	-0.684298881645693	1	9	0.0831311427008039	-0.687685399706192	-1.14777650169776	0.279665578627578	0.546911729361254	-0.375415288024046	-0.761677038813137	0.46503169662053	0.733302077772757	0.559331157255157	0.633398861485373	0.332524570803216	TRUE	lower_in_tumor
EP300_EP300	ENSG00000100393.14	EP300	EP300	10	10.955	12.195	0.352747210632676	0.322705012504053	8	2	0.414823067184775	-0.0282798464252322	-0.0633623942281378	0.950816005143814	1	-0.0137395861439371	-0.0332994256654944	0.974135924085792	1	0.950816005143814	0.974135924085792	0.553097422913033	TRUE	small_or_mixed_shift
GNAS_GNAS	ENSG00000087460.27	GNAS	GNAS	10	689.72	990.145	0.412096096586597	0.411616143814962	9	1	0.0108269212771313	0.455658076875313	3.15418776169218	0.0111681933637219	0.0580085215069531	0.455231110559371	3.15798467042615	0.011057682935039	0.0594514133138664	0.134018320364663	0.132692195220468	0.114353349610383	TRUE	higher_in_tumor
FBXW7_FBXW7	ENSG00000109670.16	FBXW7	FBXW7	10	16.63	14.39	-0.17798943617836	-0.168315141962571	3	7	0.262192602406773	-0.360396813696096	-1.31701268505017	0.219291677327882	0.46162331654728	-0.338505278536454	-1.31057818437682	0.221279189866787	0.466517150843382	0.526300025586916	0.531070055680288	0.528108394126627	TRUE	lower_in_tumor
PIK3CA_PIK3CA	ENSG00000121879.6	PIK3CA	PIK3CA	10	10.03	21	0.971368736924403	0.92130634315421	8	2	0.126278928554698	0.62817898279699	1.51924494673344	0.161866000282202	0.378392299320404	0.601007684063865	1.56401014021397	0.150995101570881	0.366716315112753	0.485598000846607	0.452985304712643	0.378836785664094	TRUE	higher_in_tumor
NFE2L2_NFE2L2	ENSG00000116044.16	NFE2L2	NFE2L2	10	221.91	170.91	-0.326066713656782	-0.324584407298311	3	7	0.759765825978067	-0.0822292688237637	-0.246999131394878	0.810263449330926	1	-0.0809673182949775	-0.244529728958387	0.81210299604895	1	0.92913279128283	0.974135924085792	0.759765825978067	TRUE	small_or_mixed_shift
TP53_TP53	ENSG00000141510.18	TP53	TP53	10	23.685	27.85	0.374259628618884	0.359992521113102	7	3	0.308063229907199	0.248318846741796	0.783612931810944	0.452718517442734	0.723747234898679	0.249581407852044	0.822040545075742	0.43151788886996	0.697612759375896	0.635498504159806	0.633398861485373	0.528108394126627	TRUE	small_or_mixed_shift
SMARCA4_SMARCA4	ENSG00000127616.19	SMARCA4	SMARCA4	10	31.64	34.975	0.0689098300812532	0.0669648830193301	6	4	0.540817904242618	0.139525195384557	0.741556855569919	0.476623878119855	0.748980379902629	0.136411402277065	0.744190341870461	0.47504914611403	0.74406377289995	0.635498504159806	0.633398861485373	0.589983168264674	TRUE	small_or_mixed_shift
