tcga_gene_id	tcga_gene_name	gencode19_gene_name	paper_patient_id	region_type	n_common_cpg	median_normal_beta	median_tumor_beta	median_delta_beta	mean_delta_beta	delta_beta_iqr	fraction_cpg_higher_in_tumor	fraction_cpg_lower_in_tumor
ENSG00000167548.16	KMT2D	KMT2D	P1	gene_body	504	0.909091	0.923077	0	0.013489371031746	0.14669475	0.440476190476191	0.353174603174603
ENSG00000167548.16	KMT2D	KMT2D	P11	gene_body	504	0.923077	0.846154	-0.05	-0.0872321785714286	0.189973	0.259920634920635	0.563492063492063
ENSG00000167548.16	KMT2D	KMT2D	P12	gene_body	504	0.904762	0.923077	0	0.014573248015873	0.132479	0.484126984126984	0.369047619047619
ENSG00000167548.16	KMT2D	KMT2D	P13	gene_body	504	0.916667	0.9	0	-0.024132630952381	0.158824	0.357142857142857	0.458333333333333
ENSG00000167548.16	KMT2D	KMT2D	P2	gene_body	504	0.894737	0.933333	0.00391300000000001	0.0379925376984127	0.145148	0.501984126984127	0.305555555555556
ENSG00000167548.16	KMT2D	KMT2D	P6	gene_body	504	0.909091	0.909091	0	-0.00537845436507936	0.14626775	0.412698412698413	0.400793650793651
ENSG00000167548.16	KMT2D	KMT2D	P7	gene_body	504	0.9	0.885621	0	-0.0360620416666667	0.1645835	0.341269841269841	0.476190476190476
ENSG00000167548.16	KMT2D	KMT2D	P8	gene_body	504	0.909091	0.916667	0	-0.00372515277777777	0.138096	0.365079365079365	0.43452380952381
ENSG00000167548.16	KMT2D	KMT2D	P9	gene_body	504	0.923077	0.916667	0	0.00440468253968254	0.1520375	0.375	0.369047619047619
ENSG00000167548.16	KMT2D	KMT2D	P1	promoter	44	0	0	0	-0.00505079545454546	0	0.113636363636364	0.113636363636364
ENSG00000167548.16	KMT2D	KMT2D	P11	promoter	44	0	0	0	-0.0106613409090909	0	0.113636363636364	0.181818181818182
ENSG00000167548.16	KMT2D	KMT2D	P12	promoter	44	0	0	0	-0.000878545454545453	0	0.113636363636364	0.159090909090909
ENSG00000167548.16	KMT2D	KMT2D	P13	promoter	44	0	0	0	-0.00137611363636363	0	0.113636363636364	0.159090909090909
ENSG00000167548.16	KMT2D	KMT2D	P2	promoter	44	0	0	0	-0.00812561363636363	0	0.0909090909090909	0.136363636363636
ENSG00000167548.16	KMT2D	KMT2D	P6	promoter	44	0	0	0	0.00613081818181818	0	0.136363636363636	0.0681818181818182
ENSG00000167548.16	KMT2D	KMT2D	P7	promoter	44	0	0	0	0.000487863636363632	0	0.0909090909090909	0.0681818181818182
ENSG00000167548.16	KMT2D	KMT2D	P8	promoter	44	0	0	0	-0.00772777272727273	0	0.0681818181818182	0.136363636363636
ENSG00000167548.16	KMT2D	KMT2D	P9	promoter	44	0	0	0	0.0241822272727273	0.076923	0.340909090909091	0.136363636363636
ENSG00000148400.12	NOTCH1	NOTCH1	P1	gene_body	1231	0.857143	0.909091	0.00476199999999992	0.0418358911454102	0.1856425	0.500406173842405	0.354995938261576
ENSG00000148400.12	NOTCH1	NOTCH1	P11	gene_body	1231	0.875	0.833333	-0.0333329999999999	-0.0708759691307879	0.202381	0.296506904955321	0.544272948822096
ENSG00000148400.12	NOTCH1	NOTCH1	P12	gene_body	1231	0.866667	0.9	0	0.00969716003249393	0.1814075	0.46872461413485	0.40536149471974
