tcga_gene_id	tcga_gene_name	gencode19_gene_name	region_type	total_pairs	primary_coverage_pairs	conditional_coverage_pairs	technically_unavailable_pairs	evaluable_pairs	median_common_cpg	min_common_cpg	median_paired_delta_beta	paired_delta_beta_iqr	positive_pairs	negative_pairs	p_value	region_evaluation_status	q_candidate_by_region	methylation_effect_class
ENSG00000167548.16	KMT2D	KMT2D	gene_body	9	9	0	0	9	504	504	0	0	1	1	1	evaluable	1	small_or_mixed_shift
ENSG00000167548.16	KMT2D	KMT2D	promoter	9	9	0	0	9	44	44	0	0	0	0		evaluable		small_or_mixed_shift
ENSG00000148400.12	NOTCH1	NOTCH1	gene_body	9	9	0	0	9	1231	1231	0	0.00476199999999992	3	1	0.855132140584706	evaluable	0.932871426092406	small_or_mixed_shift
ENSG00000148400.12	NOTCH1	NOTCH1	promoter	9	9	0	0	9	46	46	0	0	0	0		evaluable		small_or_mixed_shift
ENSG00000141579.7	ZNF750	ZNF750	gene_body	9	9	0	0	9	253	253	-0.0833329999999999	0.0531750000000001	1	8	0.0178171887595787	evaluable	0.213806265114945	hypomethylated_in_tumor
ENSG00000141579.7	ZNF750	ZNF750	promoter	9	9	0	0	9	44	44	-0.0878849999999999	0.136184	1	6	0.0519129649350183	evaluable	0.211290858403754	hypomethylated_in_tumor
ENSG00000074181.9	NOTCH3	NOTCH3	gene_body	9	9	0	0	9	452	452	0	0.00349649999999997	1	3	0.201242620957724	evaluable	0.344987350213241	small_or_mixed_shift
ENSG00000074181.9	NOTCH3	NOTCH3	promoter	9	9	0	0	9	48	48	-0.00416649999999997	0.055728	1	5	0.0934924836898357	evaluable	0.211290858403754	small_or_mixed_shift
ENSG00000185920.16	PTCH1	PTCH1	gene_body	9	9	0	0	9	913	913	0	0.0444929999999999	3	4	0.799846105662473	evaluable	0.932871426092406	small_or_mixed_shift
ENSG00000185920.16	PTCH1	PTCH1	promoter	9	9	0	0	9	20	20	0	0.015121	3	2	0.589638551626567	evaluable	0.70756626195188	small_or_mixed_shift
ENSG00000100393.14	EP300	EP300	gene_body	9	9	0	0	9	746	746	0	0	0	2	0.371093369522698	evaluable	0.556640054284046	small_or_mixed_shift
ENSG00000100393.14	EP300	EP300	promoter	9	9	0	0	9	38	38	0	0	0	0		evaluable		small_or_mixed_shift
ENSG00000087460.27	GNAS	GNAS	gene_body	9	9	0	0	9	1042	1042	0	0.022565	1	4	0.41849223344682	evaluable	0.55798964459576	small_or_mixed_shift
ENSG00000087460.27	GNAS	GNAS	promoter	9	9	0	0	9	57	57	-0.055556	0.205556	3	6	0.343252562436031	evaluable	0.514878843654047	hypomethylated_in_tumor
ENSG00000109670.16	FBXW7	FBXW7	gene_body	9	9	0	0	9	623	623	0	0.00263199999999998	0	3	0.18144920772142	evaluable	0.344987350213241	small_or_mixed_shift
ENSG00000109670.16	FBXW7	FBXW7	promoter	9	0	9	0	9	4	4	0	0	1	0	1	evaluable	1	small_or_mixed_shift
ENSG00000121879.6	PIK3CA	PIK3CA	gene_body	9	9	0	0	9	508	508	0	0.0249635	0	4	0.100348246462291	evaluable	0.344987350213241	small_or_mixed_shift
ENSG00000121879.6	PIK3CA	PIK3CA	promoter	9	9	0	0	9	40	40	0	0	0	0		evaluable		small_or_mixed_shift
ENSG00000116044.16	NFE2L2	NFE2L2	gene_body	9	9	0	0	9	1058	1058	-0.0119045	0.0668265	0	5	0.0590582290905367	evaluable	0.344987350213241	small_or_mixed_shift
ENSG00000116044.16	NFE2L2	NFE2L2	promoter	9	9	0	0	9	58	58	0	0	0	0		evaluable		small_or_mixed_shift
ENSG00000141510.18	TP53	TP53	gene_body	9	9	0	0	9	300	300	0	0.054701	0	3	0.18144920772142	evaluable	0.344987350213241	small_or_mixed_shift
ENSG00000141510.18	TP53	TP53	promoter	9	9	0	0	9	50	50	0	0	0	0		evaluable		small_or_mixed_shift
ENSG00000127616.19	SMARCA4	SMARCA4	gene_body	9	9	0	0	9	1533	1533	0	0.00784300000000002	0	3	0.18144920772142	evaluable	0.344987350213241	small_or_mixed_shift
ENSG00000127616.19	SMARCA4	SMARCA4	promoter	9	9	0	0	9	34	34	0	0.0408335	1	4	0.105645429201877	evaluable	0.211290858403754	small_or_mixed_shift
