analysis_id	feature_id	study_id	platform	ion_mode	evidence_family	within_analysis_evidence_unit	metabolite_name	normalized_name_key	cas	molecular_formula	quantitated_mz	hmdb_id	kegg_id	pubchem_id	annotation_identity_status	internal_standard	source_annotation_ion_mode	precursor_mz	product_mz	n_escc_nonmissing	n_normal_nonmissing	positive_count_total	positive_detection_rate_escc	positive_detection_rate_normal	detection_rate_difference	zero_count_all	negative_count_all	censoring_sensitive	detection_fisher_p	positive_abundance_n_escc	positive_abundance_n_normal	positive_abundance_wilcoxon_w	positive_abundance_rank_biserial	positive_abundance_wilcoxon_p	raw_mean_escc	raw_mean_normal	raw_median_escc	raw_median_normal	primary_transform	primary_asinh_cofactor	limma_effect_transformed	limma_effect_scale	limma_ci95_low	limma_ci95_high	limma_t	limma_p	limma_q_analysis	wilcoxon_w	wilcoxon_rank_biserial	wilcoxon_p	source_unit_conflict	source_upstream_imputation	additional_imputation_by_this_script	nonpositive_value_semantics	absolute_concentration_claim_allowed	primary_design	paired_model_used_as_primary	host_multiomics_sample_level_link_allowed	limma_q_evidence_family	wilcoxon_q_evidence_family	detection_fisher_q_evidence_family	positive_abundance_wilcoxon_q_evidence_family	wilcoxon_q_analysis	direction	wilcoxon_direction	positive_abundance_direction	direction_concordant	positive_abundance_direction_concordant	run_order_sensitivity_effect	run_order_sensitivity_p	run_order_sensitivity_q_evidence_family	run_order_sensitivity_direction	run_order_perfect_group_block	run_order_rank_group_correlation	paired_sensitivity_effect	paired_sensitivity_p	paired_sensitivity_q_evidence_family	paired_sensitivity_direction	paired_sensitivity_estimable	paired_sensitivity_complete_candidate_pairs	scale_sensitivity_min_q	scale_sensitivity_max_q	scale_sensitivity_all_q05	scale_sensitivity_all_q10	scale_sensitivity_direction_stable	run_order_sensitivity_direction_concordant	paired_sensitivity_direction_concordant	detection_driven	primary_candidate_tier	robust_lc_upgrade	final_candidate_tier	conditional_reason	candidate_rank
AN004960	AN004960__6	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Valeric acid	valericacid	109-52-4	C5H10O2	102.13	HMDB0000892	C00803	7991	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	204	0.59375	0.00417509526593007	4557.25	1350.5625	2005	1182.5	log2		1.1241000431792	log2 difference: Early_stage_ESCC minus Normal_tissue	0.395786713765234	1.85241337259316	3.14636650535664	0.00360882432473827	0.0221721916148662	204	0.59375	0.00417509526593007	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.0221721916148662	0.0229630239626154	1	0.0229630239626154	0.0229630239626154	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	-1.3991632089292	0.00857071691703739	0.0942778860874113	lower_in_early_ESCC	TRUE	-0.866448577718212	1.12410004317921	0.000257124876349499	0.0019984859010868	higher_in_early_ESCC	TRUE	16						FALSE	TRUE	FALSE	limma_fdr_strong	FALSE	run_order_confounded_conditional	GC disease group is confounded with acquisition block; source matrix also contains unreconstructable random imputation	1
AN004960	AN004960__7	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Hexanoic acid	hexanoicacid	142-62-1	C6H12O2	116.16	HMDB0000535	C01585	8892	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	199	0.5546875	0.00745259474040894	14228.5	7556	12898.5	5448	log2		0.943001449074108	log2 difference: Early_stage_ESCC minus Normal_tissue	0.304341767579531	1.58166113056869	3.00999285068971	0.00512194215175022	0.0221721916148662	199	0.5546875	0.00745259474040894	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.0221721916148662	0.0273261807148328	1	0.0273261807148328	0.0273261807148328	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	0.436523153631488	0.491688317478459	0.676071436532882	higher_in_early_ESCC	TRUE	-0.866448577718212	0.943001449074114	0.00386349212049403	0.0106246033313586	higher_in_early_ESCC	TRUE	16						TRUE	TRUE	FALSE	limma_fdr_strong	FALSE	run_order_confounded_conditional	GC disease group is confounded with acquisition block; source matrix also contains unreconstructable random imputation	2
AN004960	AN004960__4	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Butyric acid	butyricacid	107-92-6	C4H8O2	88.11	HMDB0000039	C00246	264	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	211	0.6484375	0.00175892306390857	40668.875	3792.8125	3510.5	1637.5	log2		1.98390109714747	log2 difference: Early_stage_ESCC minus Normal_tissue	0.610374596309205	3.35742759798574	2.94445945509882	0.00604696134950896	0.0221721916148662	211	0.6484375	0.00175892306390857	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.0221721916148662	0.0193481537029943	1	0.0193481537029943	0.0193481537029943	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	-1.56918896610599	0.181954881466038	0.333583949354403	lower_in_early_ESCC	TRUE	-0.866448577718212	1.98390109714747	0.000363361072924873	0.0019984859010868	higher_in_early_ESCC	TRUE	16						FALSE	TRUE	FALSE	limma_fdr_strong	FALSE	run_order_confounded_conditional	GC disease group is confounded with acquisition block; source matrix also contains unreconstructable random imputation	3
AN004960	AN004960__5	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Isovaleric acid	isovalericacid	503-74-2	C5H10O2	102.12	HMDB0000718	C08262	10430	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	181	0.4140625	0.0457695208137257	6306.9375	1123.875	1244	765.5	log2		1.27448249470817	log2 difference: Early_stage_ESCC minus Normal_tissue	0.217247373607027	2.3317176158093	2.4574511689066	0.0197156665112104	0.0542180829058286	181	0.4140625	0.0457695208137257	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.0542180829058286	0.100692945790196	1	0.100692945790196	0.100692945790196	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	-1.77326519581249	0.0427219655421614	0.140437367488569	lower_in_early_ESCC	TRUE	-0.866448577718212	1.27448249470817	0.00272474164667473	0.00999071937114067	higher_in_early_ESCC	TRUE	16						FALSE	TRUE	FALSE	limma_fdr_exploratory	FALSE	run_order_confounded_conditional	GC disease group is confounded with acquisition block; source matrix also contains unreconstructable random imputation	4
AN004962	AN004962__95	ST003027	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	Cystamine	cystamine							source_label_unmapped	IS-pos06_TMAO-d9-1	Positive	153.04	76	16	16	13	0.75	0.0625	0.6875	19	0	TRUE	0.000170882300785091	12	1				0.0337156875	0.002697375	0.0442755	0	asinh	1	0.0310077636594256	asinh(x*1) difference: Early_stage_ESCC minus Normal_tissue	0.0191043201624337	0.0429112071564174	5.31572421646744	9.02843878899079e-06	0.000123237499476181	220	0.71875	9.67888868130817e-05	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	source zero/negative values retained in primary asinh; detection/censoring flags and positive-only abundance sensitivity reported	no	unpaired	no	no	0.000167079299972093	0.00131628237099632	0.0548532185520142		0.000934929534539441	higher_in_early_ESCC	higher_in_early_ESCC		TRUE		0.0300927101708591	1.70758994718818e-05	0.000274068186523703	higher_in_early_ESCC	FALSE	-0.142151719781894	0.0310077636594255	2.98932932149828e-05	0.000602967932371042	higher_in_early_ESCC	TRUE	16	7.55970021252466e-05	0.000224225639919522	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	limma_fdr_strong	FALSE	conditional_fdr	detection/censoring component is not supported by positive-only abundance sensitivity	1
AN004962	AN004962__184	ST003027	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	L-Cystathionine	lcystathionine							source_label_unmapped	IS-neg02_Glu-13C5-N15-1	Positive	223.07	134	16	16	32	1	1	0	0	0	FALSE	1	16	16	227	0.7734375	0.00019056766773784	4.5895355625	0.2908550625	2.2007845	0.202773	asinh	1	1.28666424004872	asinh(x*1) difference: Early_stage_ESCC minus Normal_tissue	0.689930318672208	1.88339816142522	4.40058447332712	0.000122229472820365	0.000870884993845098	227	0.7734375	0.00019056766773784	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	source zero/negative values retained in primary asinh; detection/censoring flags and positive-only abundance sensitivity reported	no	unpaired	no	no	0.00112101887929534	0.00185370367708626	1	0.00206995914956619	0.00135779463263211	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	1.28023145779686	0.000189298188148576	0.00159907153672876	higher_in_early_ESCC	FALSE	-0.142151719781894	1.28666424004872	0.000484548160223644	0.00361720835887883	higher_in_early_ESCC	TRUE	16	0.000290018086105421	0.0540935065747392	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	limma_fdr_strong	FALSE	conditional_fdr	asinh scale sensitivity does not remain family q<=0.05 at all seven scales	2
AN004963	AN004963__135	ST003027	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	D-Glucuronic Acid	dglucuronicacid							source_label_unmapped	IS-neg02_Glu-13C5-N15-1	Negative	193	73	16	16	27	0.9375	0.75	0.1875	5	0	TRUE	0.332591768631813	15	12	162	0.8	0.00044267698634326	0.588484375	0.2232623125	0.485131	0.283734	asinh	1	0.314290184195286	asinh(x*1) difference: Early_stage_ESCC minus Normal_tissue	0.144057888836169	0.484522479554403	3.76770659362404	0.000705267758708001	0.00622295081212942	224	0.75	0.000289200930682076	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	source zero/negative values retained in primary asinh; detection/censoring flags and positive-only abundance sensitivity reported	no	unpaired	no	no	0.00443903824598565	0.00216479708920747	1	0.00342366228922364	0.0030985814001651	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	0.312215223724395	0.00101821960892548	0.00605274989750148	higher_in_early_ESCC	FALSE	-0.142151719781894	0.314290184195286	0.00131786079244587	0.0070505552395854	higher_in_early_ESCC	TRUE	16	0.00443903824598565	0.0951278067022264	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	limma_fdr_strong	FALSE	conditional_fdr	asinh scale sensitivity does not remain family q<=0.05 at all seven scales	3
AN004963	AN004963__221	ST003027	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	Maltotetraose	maltotetraose							source_label_unmapped	IS-neg05_Suc-2233-d4-1	Negative	665.21	341.08	16	16	32	1	1	0	0	0	FALSE	1	16	16	38	-0.703125	0.000693837750899344	6.7116	10.9184778125	2.508547	7.780975	asinh	1	-0.960538373730961	asinh(x*1) difference: Early_stage_ESCC minus Normal_tissue	-1.49700337556743	-0.424073371894488	-3.65406653415192	0.000960997174848163	0.00746828581234697	38	-0.703125	0.000693837750899344	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	source zero/negative values retained in primary asinh; detection/censoring flags and positive-only abundance sensitivity reported	no	unpaired	no	no	0.005608728965932	0.00377494776336778	1	0.00412375267043967	0.00473071193795027	lower_in_early_ESCC	lower_in_early_ESCC	lower_in_early_ESCC	TRUE	TRUE	-0.967214355612322	0.00120077957687217	0.00700818625774485	lower_in_early_ESCC	FALSE	-0.142151719781894	-0.96053837373096	5.54134365482644e-05	0.000988206285110715	lower_in_early_ESCC	TRUE	16	0.00361649481755047	0.422218949929348	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	limma_fdr_strong	FALSE	conditional_fdr	asinh scale sensitivity does not remain family q<=0.05 at all seven scales	4
AN004962	AN004962__244	ST003027	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	Thiamine monophosphate	thiaminemonophosphate							source_label_unmapped	IS-pos03_GABA-d6-1	Positive	345	224	16	16	30	1	0.875	0.125	2	0	TRUE	0.483870967741936	16	14	181	0.616071428571429	0.00412595419825235	0.0612673125	0.0363359375	0.059714	0.0353695	asinh	1	0.0248925240918316	asinh(x*1) difference: Early_stage_ESCC minus Normal_tissue	0.010841610026353	0.0389434381573102	3.61517203935905	0.001065032120454	0.00492217547561171	213	0.6640625	0.00135602325337758	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	source zero/negative values retained in primary asinh; detection/censoring flags and positive-only abundance sensitivity reported	no	unpaired	no	no	0.00599781246781988	0.00588821050527993	1	0.0140026131273664	0.00493865021102984	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	0.0257604148525078	0.000904485972157954	0.00580679994125407	higher_in_early_ESCC	FALSE	-0.142151719781894	0.0248925240918316	0.00026020287597747	0.00244181562901148	higher_in_early_ESCC	TRUE	16	0.00458968988658634	0.0610373245419388	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	limma_fdr_strong	FALSE	conditional_fdr	asinh scale sensitivity does not remain family q<=0.05 at all seven scales	5
AN004962	AN004962__108	ST003027	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	ST003027_targeted_tissue_shared_32	L-2-Aminoadipic?Acid	l2aminoadipicacid							source_label_uncertain_unmapped	IS-pos02_GlU-13C5-N15-1	Positive	162.08	98.1	16	16	32	1	1	0	0	0	FALSE	1	16	16	51	-0.6015625	0.00370733279014368	21.66511625	39.18331375	14.964469	33.7071065	asinh	1	-0.752372275672723	asinh(x*1) difference: Early_stage_ESCC minus Normal_tissue	-1.23595930467549	-0.268785246669956	-3.17529440044839	0.00341345005895989	0.0122523932927207	51	-0.6015625	0.00370733279014368	source_units_field_mz_but_method_comments_describe_nmol_per_g	not described in source metadata	none	source zero/negative values retained in primary asinh; detection/censoring flags and positive-only abundance sensitivity reported	no	unpaired	no	no	0.0143377288565535	0.0129353676699578	1	0.0131214587516321	0.0109302397778374	lower_in_early_ESCC	lower_in_early_ESCC	lower_in_early_ESCC	TRUE	TRUE	-0.738783359898018	0.00488581888534984	0.0206361560815434	lower_in_early_ESCC	FALSE	-0.142151719781894	-0.752372275672723	0.0107363686489225	0.0362776245926751	lower_in_early_ESCC	TRUE	16	0.0110792824496416	0.0557667381636461	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	limma_fdr_strong	FALSE	conditional_fdr	asinh scale sensitivity does not remain family q<=0.05 at all seven scales	6
