analysis_id	feature_id	study_id	platform	ion_mode	evidence_family	within_analysis_evidence_unit	metabolite_name	normalized_name_key	cas	molecular_formula	quantitated_mz	hmdb_id	kegg_id	pubchem_id	annotation_identity_status	internal_standard	source_annotation_ion_mode	precursor_mz	product_mz	n_escc_nonmissing	n_normal_nonmissing	positive_count_total	positive_detection_rate_escc	positive_detection_rate_normal	detection_rate_difference	zero_count_all	negative_count_all	censoring_sensitive	detection_fisher_p	positive_abundance_n_escc	positive_abundance_n_normal	positive_abundance_wilcoxon_w	positive_abundance_rank_biserial	positive_abundance_wilcoxon_p	raw_mean_escc	raw_mean_normal	raw_median_escc	raw_median_normal	primary_transform	primary_asinh_cofactor	limma_effect_transformed	limma_effect_scale	limma_ci95_low	limma_ci95_high	limma_t	limma_p	limma_q_analysis	wilcoxon_w	wilcoxon_rank_biserial	wilcoxon_p	source_unit_conflict	source_upstream_imputation	additional_imputation_by_this_script	nonpositive_value_semantics	absolute_concentration_claim_allowed	primary_design	paired_model_used_as_primary	host_multiomics_sample_level_link_allowed	limma_q_evidence_family	wilcoxon_q_evidence_family	detection_fisher_q_evidence_family	positive_abundance_wilcoxon_q_evidence_family	wilcoxon_q_analysis	direction	wilcoxon_direction	positive_abundance_direction	direction_concordant	positive_abundance_direction_concordant	run_order_sensitivity_effect	run_order_sensitivity_p	run_order_sensitivity_q_evidence_family	run_order_sensitivity_direction	run_order_perfect_group_block	run_order_rank_group_correlation	paired_sensitivity_effect	paired_sensitivity_p	paired_sensitivity_q_evidence_family	paired_sensitivity_direction	paired_sensitivity_estimable	paired_sensitivity_complete_candidate_pairs	scale_sensitivity_min_q	scale_sensitivity_max_q	scale_sensitivity_all_q05	scale_sensitivity_all_q10	scale_sensitivity_direction_stable	run_order_sensitivity_direction_concordant	paired_sensitivity_direction_concordant	detection_driven	primary_candidate_tier	robust_lc_upgrade	final_candidate_tier	conditional_reason
AN004960	AN004960__6	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Valeric acid	valericacid	109-52-4	C5H10O2	102.13	HMDB0000892	C00803	7991	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	204	0.59375	0.00417509526593007	4557.25	1350.5625	2005	1182.5	log2		1.1241000431792	log2 difference: Early_stage_ESCC minus Normal_tissue	0.395786713765234	1.85241337259316	3.14636650535664	0.00360882432473827	0.0221721916148662	204	0.59375	0.00417509526593007	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.0221721916148662	0.0229630239626154	1	0.0229630239626154	0.0229630239626154	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	-1.3991632089292	0.00857071691703739	0.0942778860874113	lower_in_early_ESCC	TRUE	-0.866448577718212	1.12410004317921	0.000257124876349499	0.0019984859010868	higher_in_early_ESCC	TRUE	16						FALSE	TRUE	FALSE	limma_fdr_strong	FALSE	run_order_confounded_conditional	GC disease group is confounded with acquisition block; source matrix also contains unreconstructable random imputation
AN004960	AN004960__7	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Hexanoic acid	hexanoicacid	142-62-1	C6H12O2	116.16	HMDB0000535	C01585	8892	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	199	0.5546875	0.00745259474040894	14228.5	7556	12898.5	5448	log2		0.943001449074108	log2 difference: Early_stage_ESCC minus Normal_tissue	0.304341767579531	1.58166113056869	3.00999285068971	0.00512194215175022	0.0221721916148662	199	0.5546875	0.00745259474040894	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.0221721916148662	0.0273261807148328	1	0.0273261807148328	0.0273261807148328	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	0.436523153631488	0.491688317478459	0.676071436532882	higher_in_early_ESCC	TRUE	-0.866448577718212	0.943001449074114	0.00386349212049403	0.0106246033313586	higher_in_early_ESCC	TRUE	16						TRUE	TRUE	FALSE	limma_fdr_strong	FALSE	run_order_confounded_conditional	GC disease group is confounded with acquisition block; source matrix also contains unreconstructable random imputation
AN004960	AN004960__4	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Butyric acid	butyricacid	107-92-6	C4H8O2	88.11	HMDB0000039	C00246	264	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	211	0.6484375	0.00175892306390857	40668.875	3792.8125	3510.5	1637.5	log2		1.98390109714747	log2 difference: Early_stage_ESCC minus Normal_tissue	0.610374596309205	3.35742759798574	2.94445945509882	0.00604696134950896	0.0221721916148662	211	0.6484375	0.00175892306390857	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.0221721916148662	0.0193481537029943	1	0.0193481537029943	0.0193481537029943	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	-1.56918896610599	0.181954881466038	0.333583949354403	lower_in_early_ESCC	TRUE	-0.866448577718212	1.98390109714747	0.000363361072924873	0.0019984859010868	higher_in_early_ESCC	TRUE	16						FALSE	TRUE	FALSE	limma_fdr_strong	FALSE	run_order_confounded_conditional	GC disease group is confounded with acquisition block; source matrix also contains unreconstructable random imputation
AN004960	AN004960__5	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Isovaleric acid	isovalericacid	503-74-2	C5H10O2	102.12	HMDB0000718	C08262	10430	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	181	0.4140625	0.0457695208137257	6306.9375	1123.875	1244	765.5	log2		1.27448249470817	log2 difference: Early_stage_ESCC minus Normal_tissue	0.217247373607027	2.3317176158093	2.4574511689066	0.0197156665112104	0.0542180829058286	181	0.4140625	0.0457695208137257	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.0542180829058286	0.100692945790196	1	0.100692945790196	0.100692945790196	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	-1.77326519581249	0.0427219655421614	0.140437367488569	lower_in_early_ESCC	TRUE	-0.866448577718212	1.27448249470817	0.00272474164667473	0.00999071937114067	higher_in_early_ESCC	TRUE	16						FALSE	TRUE	FALSE	limma_fdr_exploratory	FALSE	run_order_confounded_conditional	GC disease group is confounded with acquisition block; source matrix also contains unreconstructable random imputation
AN004960	AN004960__11	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Decanoic acid	decanoicacid	334-48-5	C10H20O2	172.26	HMDB0000511	C01571	2969	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	79	-0.3828125	0.0647823685814215	4183.5	5621.625	4492.5	5651.5	log2		-0.383256942685593	log2 difference: Early_stage_ESCC minus Normal_tissue	-0.77484874295945	0.00833485758826375	-1.99456539090941	0.0547769179635704	0.108404524611342	79	-0.3828125	0.0647823685814215	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.108404524611342	0.118767675732606	1	0.118767675732606	0.118767675732606	lower_in_early_ESCC	lower_in_early_ESCC	lower_in_early_ESCC	TRUE	TRUE	-0.114473091290664	0.768793039309554	0.825047552001162	lower_in_early_ESCC	TRUE	-0.866448577718212	-0.383256942685595	0.0142401731028798	0.0306157869954878	lower_in_early_ESCC	TRUE	16						TRUE	TRUE	FALSE	not_selected	FALSE	not_selected	not_selected
AN004960	AN004960__8	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Heptanoic acid	heptanoicacid	111-14-8	C7H14O2	130.18	HMDB0000666	C17714	8094	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	182	0.421875	0.0417930805189741	1001.5625	873.25	990	894	log2		0.189914423147231	log2 difference: Early_stage_ESCC minus Normal_tissue	-0.00777115753085905	0.387600003825321	1.95782916395347	0.0591297406970957	0.108404524611342	182	0.421875	0.0417930805189741	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.108404524611342	0.100692945790196	1	0.100692945790196	0.100692945790196	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	0.0434280567887284	0.825047552001162	0.825047552001162	higher_in_early_ESCC	TRUE	-0.866448577718212	0.189914423147232	0.0659735704763797	0.0907136594050221	higher_in_early_ESCC	TRUE	16						TRUE	TRUE	FALSE	not_selected	FALSE	not_selected	not_selected
AN004960	AN004960__9	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Octanoic acid	octanoicacid	124-07-2	C8H16O2	144.21	HMDB0000482	C06423	379	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	85	-0.3359375	0.105098414073848	9194.25	11329.125	8556	12293.5	log2		-0.335255557690578	log2 difference: Early_stage_ESCC minus Normal_tissue	-0.711097613225531	0.0405864978443745	-1.81786843593878	0.0785760056134576	0.123476580249719	85	-0.3359375	0.105098414073848	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.123476580249719	0.165154650687475	1	0.165154650687475	0.165154650687475	lower_in_early_ESCC	lower_in_early_ESCC	lower_in_early_ESCC	TRUE	TRUE	-0.344195676842704	0.365009348663143	0.573586119327797	lower_in_early_ESCC	TRUE	-0.866448577718212	-0.33525555769058	0.016699520179357	0.0306157869954878	lower_in_early_ESCC	TRUE	16						TRUE	TRUE	FALSE	not_selected	FALSE	not_selected	not_selected
AN004960	AN004960__3	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Isobutyric acid	isobutyricacid	79-31-2	C4H8O2	88.11	HMDB0001873	C02632	6590	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	148	0.15625	0.450982319268883	20182.375	4457.8125	2201.5	1833	log2		0.95831394481932	log2 difference: Early_stage_ESCC minus Normal_tissue	-0.470286185682745	2.38691407532139	1.36747604221531	0.181196626888427	0.249145361971587	148	0.15625	0.450982319268883	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.249145361971587	0.60114295494724	1	0.60114295494724	0.60114295494724	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	-2.72046129454498	0.0302586599640731	0.140437367488569	lower_in_early_ESCC	TRUE	-0.866448577718212	0.958313944819318	0.0553314992647772	0.0869494988446499	higher_in_early_ESCC	TRUE	16						FALSE	TRUE	FALSE	not_selected	FALSE	not_selected	not_selected
AN004960	AN004960__2	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Propionic acid	propionicacid	1979/9/4	CH3CH2COOH	74.08	HMDB0000237	C00163	1032	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	144	0.125	0.546493595406582	8005.5625	2311.25	1162	1028.5	log2		0.754842505696999	log2 difference: Early_stage_ESCC minus Normal_tissue	-0.464983279412224	1.97466829080622	1.26148224474651	0.216437248807437	0.26453441520909	144	0.125	0.546493595406582	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.26453441520909	0.60114295494724	1	0.60114295494724	0.60114295494724	higher_in_early_ESCC	higher_in_early_ESCC	higher_in_early_ESCC	TRUE	TRUE	-1.55640994212934	0.172667101360598	0.333583949354403	lower_in_early_ESCC	TRUE	-0.866448577718212	0.754842505696999	0.0769461565885581	0.0940453024971266	higher_in_early_ESCC	TRUE	16						FALSE	TRUE	FALSE	not_selected	FALSE	not_selected	not_selected
AN004960	AN004960__1	ST003025	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	Acetic acid	aceticacid	64-19-7	CH3COOH	60.05	HMDB0000042	C00033	176	source_identifier_present_unverified					16	16	32	1	1	0	0	0	FALSE	1	16	16	111	-0.1328125	0.52171007144381	38812.125	18600.125	11106.5	15569	log2		0.0832035497667629	log2 difference: Early_stage_ESCC minus Normal_tissue	-0.85529262901075	1.02169972854428	0.180730708298206	0.857741771362438	0.943515948498682	111	-0.1328125	0.52171007144381	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	source author-processed positive values used	no	unpaired	no	no	0.943515948498682	0.60114295494724	1	0.60114295494724	0.60114295494724	higher_in_early_ESCC	lower_in_early_ESCC	lower_in_early_ESCC	FALSE	FALSE	-1.73421302971657	0.0510681336322069	0.140437367488569	lower_in_early_ESCC	TRUE	-0.866448577718212	0.0832035497667618	0.840725414220994	0.924797955643093	higher_in_early_ESCC	TRUE	16						FALSE	TRUE	FALSE	not_selected	FALSE	not_selected	not_selected
