study_id	analysis_id	platform	ion_mode	evidence_family	within_analysis_evidence_unit	feature_id	metabolite_name	normalized_name_key	n_escc_nonmissing	n_normal_nonmissing	positive_count_total	positive_detection_rate_escc	positive_detection_rate_normal	missing_fraction_all	zero_count_all	negative_count_all	censoring_sensitive	all_na	all_zero	zero_variance	primary_test	exclusion_reason	source_unit_conflict	source_upstream_imputation	additional_imputation_by_this_script	absolute_concentration_claim_allowed
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__1	Acetic acid	aceticacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__10	Nonanoic acid	nonanoicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__11	Decanoic acid	decanoicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__2	Propionic acid	propionicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__3	Isobutyric acid	isobutyricacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__4	Butyric acid	butyricacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__5	Isovaleric acid	isovalericacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__6	Valeric acid	valericacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__7	Hexanoic acid	hexanoicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	ST003025_targeted_tissue_32	AN004960__8	Heptanoic acid	heptanoicacid	16	16	32	1	1	0	0	0	FALSE	FALSE	FALSE	FALSE	TRUE	pass	source_units_field_mz_but_method_comments_describe_ug_per_g	author-processed matrix includes minimum_x_random_0.1_to_0.5 imputation; seed and imputed cells unavailable	none	no
