feature_id	effect	p	study_id	analysis_id	platform	ion_mode	evidence_family	acquisition_source	perfect_group_block	rank_group_correlation	interpretation	q_evidence_family	direction
AN004960__6	-1.3991632089292	0.00857071691703739	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.0942778860874113	lower_in_early_ESCC
AN004960__1	-1.73421302971657	0.0510681336322069	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.140437367488569	lower_in_early_ESCC
AN004960__3	-2.72046129454498	0.0302586599640731	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.140437367488569	lower_in_early_ESCC
AN004960__5	-1.77326519581249	0.0427219655421614	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.140437367488569	lower_in_early_ESCC
AN004960__2	-1.55640994212934	0.172667101360598	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.333583949354403	lower_in_early_ESCC
AN004960__4	-1.56918896610599	0.181954881466038	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.333583949354403	lower_in_early_ESCC
AN004960__9	-0.344195676842704	0.365009348663143	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.573586119327797	lower_in_early_ESCC
AN004960__7	0.436523153631488	0.491688317478459	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.676071436532882	higher_in_early_ESCC
AN004960__10	0.111563158749829	0.6017474854703	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.735469148908144	higher_in_early_ESCC
AN004960__8	0.0434280567887284	0.825047552001162	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.825047552001162	higher_in_early_ESCC
AN004960__11	-0.114473091290664	0.768793039309554	ST003025	AN004960	targeted GC-MS	GC-EI positive	ST003025_targeted_GCMS	timestamp parsed from source raw ZIP	TRUE	-0.866448577718212	run_order_confounded_sensitivity_only_not_corrected_truth	0.825047552001162	lower_in_early_ESCC
AN004962__243	0.511068919033061	2.05114332901087e-10	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	6.58417008612489e-08	higher_in_early_ESCC
AN004962__2	0.753878478447872	5.44117257595058e-08	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	4.36654099220034e-06	higher_in_early_ESCC
AN004962__67	0.869086331461563	5.36639086311304e-08	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	4.36654099220034e-06	higher_in_early_ESCC
AN004962__85	0.547962028953003	3.78522484003151e-08	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	4.36654099220034e-06	higher_in_early_ESCC
AN004962__41	0.879446470359041	9.4326404382172e-08	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	6.05575516133545e-06	higher_in_early_ESCC
AN004963__127	0.202706454377234	4.37489003775011e-07	ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	2.34056617019631e-05	higher_in_early_ESCC
AN004962__59	0.721148973333465	7.3867774316361e-07	ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	timestamp parsed from source raw ZIP	FALSE	-0.142151719781894	run_order_sensitivity_only_not_corrected_truth	3.38736507936456e-05	higher_in_early_ESCC
