study_id	analysis_id	sample_id	raw_file_name	raw_index	physical_specimen_key	analysis_group	pairing_candidate_id	pairing_basis	pairing_confidence	primary_model_role	acquisition_time_utc	acquisition_rank	acquisition_group_block	perfect_group_block	rank_group_correlation
ST003025	AN004960	1	1.CDF	1	ST003025::1.CDF	Early_stage_ESCC	ST003025_candidate_01	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-06T21:08:42Z	1	1	TRUE	-0.866448577718212
ST003025	AN004960	2	2.CDF	2	ST003025::2.CDF	Early_stage_ESCC	ST003025_candidate_02	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-06T21:24:43Z	2	1	TRUE	-0.866448577718212
ST003025	AN004960	3	3.CDF	3	ST003025::3.CDF	Early_stage_ESCC	ST003025_candidate_03	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-06T21:40:46Z	3	1	TRUE	-0.866448577718212
ST003025	AN004960	4	4.CDF	4	ST003025::4.CDF	Early_stage_ESCC	ST003025_candidate_04	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-06T21:56:47Z	4	1	TRUE	-0.866448577718212
ST003025	AN004960	5	5.CDF	5	ST003025::5.CDF	Early_stage_ESCC	ST003025_candidate_05	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-06T22:12:47Z	5	1	TRUE	-0.866448577718212
ST003025	AN004960	6	6.CDF	6	ST003025::6.CDF	Early_stage_ESCC	ST003025_candidate_06	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-06T22:28:49Z	6	1	TRUE	-0.866448577718212
ST003025	AN004960	7	7.CDF	7	ST003025::7.CDF	Early_stage_ESCC	ST003025_candidate_07	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-06T22:44:45Z	7	1	TRUE	-0.866448577718212
ST003025	AN004960	8	8.CDF	8	ST003025::8.CDF	Early_stage_ESCC	ST003025_candidate_08	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-06T23:00:44Z	8	1	TRUE	-0.866448577718212
ST003025	AN004960	9	9.CDF	9	ST003025::9.CDF	Early_stage_ESCC	ST003025_candidate_09	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-06T23:48:34Z	9	1	TRUE	-0.866448577718212
ST003025	AN004960	10	10.CDF	10	ST003025::10.CDF	Early_stage_ESCC	ST003025_candidate_10	case/control numbering offset 16; participant mapping not supplied	low	unpaired_primary_only	2023-02-07T00:04:29Z	10	1	TRUE	-0.866448577718212
