study_id	analysis_id	platform	ion_mode	evidence_family	feature_id	asinh_scale_multiplier	primary_scale	effect	p	interpretation	q_evidence_family	direction
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__243	0.001	FALSE	0.00108653551607563	1.67829958621127e-10	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	5.38734167173817e-08	higher_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__85	0.001	FALSE	0.186980975953592	2.71998075236082e-08	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	4.36556910753911e-06	higher_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__2	0.001	FALSE	0.00778832132328115	5.58327673963393e-08	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	5.9741061114083e-06	higher_in_early_ESCC
ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	AN004963__127	0.001	FALSE	0.000231577971645749	6.39945414634408e-07	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	5.13556195244112e-05	higher_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__41	0.001	FALSE	0.00834935819024493	1.50507300093162e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	8.31239178286258e-05	higher_in_early_ESCC
ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	AN004963__28	0.001	FALSE	-0.000348942159351532	1.55371809025469e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	8.31239178286258e-05	lower_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__67	0.001	FALSE	0.00140096207294458	2.01365262550939e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	9.23403561126449e-05	higher_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__17	0.001	FALSE	0.0186930670777432	3.79790845326826e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	0.000152391076687389	higher_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__59	0.001	FALSE	0.02064917251674	5.14877927667028e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	0.00015285962642561	higher_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__110	0.001	FALSE	0.000500721052616893	4.77469574379688e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	0.00015285962642561	higher_in_early_ESCC
ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	AN004963__207	0.001	FALSE	-0.000613370634797039	5.23818034480283e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	0.00015285962642561	lower_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__29	0.001	FALSE	0.0413068040186246	8.78192404645075e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	0.000221412703492118	higher_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__95	0.001	FALSE	3.10183124894414e-05	9.45847064072827e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	0.000221412703492118	higher_in_early_ESCC
ST003027	AN004962	targeted LC-MS	positive	ST003027_targeted_LCMS_combined_modes	AN004962__228	0.001	FALSE	0.000110170310654376	9.88340825194476e-06	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	0.000221412703492118	higher_in_early_ESCC
ST003027	AN004963	targeted LC-MS	negative	ST003027_targeted_LCMS_combined_modes	AN004963__39	0.001	FALSE	-0.000926167292890341	1.03463880136504e-05	scale sensitivity; rank-based Wilcoxon is invariant and used for upgrade	0.000221412703492118	lower_in_early_ESCC
