sample_name	patient_pair_id	paper_pair_number	tissue_role	prokaryotic_reads_min_overlap12	observed_asv	shannon	simpson	rarefied_observed_asv_median	rarefied_shannon_median	rarefied_simpson_median	rarefaction_depth	rarefaction_repeats	rarefaction_seed
NS1	FFPE_pair_01	1	paired_non_tumor	10807	187	4.18334274314588	0.966022890978758	183	4.16806409299933	0.966139105513059	3297	100	20260726
TS1	FFPE_pair_01	1	tumor	10703	150	3.88114681276415	0.954882382366239	146	3.86379973417769	0.954704366769765	3297	100	20260726
NS3	FFPE_pair_03	3	paired_non_tumor	73338	576	5.12492245682512	0.985552898119405	403	5.03698187460083	0.985214727702108	3297	100	20260726
TS3	FFPE_pair_03	3	tumor	16612	129	2.69519980855081	0.777848624973177	114	2.6782906571606	0.777795256742534	3297	100	20260726
NS5	FFPE_pair_05	5	paired_non_tumor	43119	348	4.1912952518529	0.936821212216867	272	4.14003492777926	0.937240765103964	3297	100	20260726
TS5	FFPE_pair_05	5	tumor	3297	75	3.58204511033372	0.951069294067851	75	3.58204511033372	0.951069294067851	3297	100	20260726
NS7	FFPE_pair_07	7	paired_non_tumor	8944	210	4.65105484259816	0.986082878839033	197	4.62770606808214	0.985892175578225	3297	100	20260726
TS7	FFPE_pair_07	7	tumor	26485	258	4.25910407045834	0.966142057035786	208	4.22943122359062	0.96602852806234	3297	100	20260726
NS9	FFPE_pair_09	9	paired_non_tumor	9899	183	4.12035791830649	0.952394331755682	173	4.09314545698562	0.952024749478138	3297	100	20260726
TS9	FFPE_pair_09	9	tumor	9575	157	3.67344365072763	0.938766811417352	141	3.65527907427281	0.938665024747914	3297	100	20260726
NS11	FFPE_pair_11	11	paired_non_tumor	42839	299	4.22553272797348	0.945227182441476	239	4.18563594858072	0.945160300045749	3297	100	20260726
TS11	FFPE_pair_11	11	tumor	22282	166	3.11728524048979	0.888358036565688	133	3.09495590815692	0.888174551197682	3297	100	20260726
NS13	FFPE_pair_13	13	paired_non_tumor	6995	182	4.37649410374288	0.979305283412383	175	4.36393447348907	0.979198008060379	3297	100	20260726
