taxon	lfc_(Intercept)	lfc_tissue_roletumor	se_(Intercept)	se_tissue_roletumor	W_(Intercept)	W_tissue_roletumor	p_(Intercept)	p_tissue_roletumor	q_(Intercept)	q_tissue_roletumor	diff_(Intercept)	diff_tissue_roletumor	passed_ss_(Intercept)	passed_ss_tissue_roletumor	diff_robust_(Intercept)	diff_robust_tissue_roletumor	analysis_status	mixed_model_fit_status	boundary_singular_condition_count	differential_taxa_count	robust_differential_taxa_count	error_message
C__Alphaproteobacteria_unclassified	1.18751615744254	-2.16065297136301	0.45823655790706	0.640894392032699	2.59149152757775	-3.37130890552834	0.0137176905322806	0.00179851774320953	0.498409422672861	0.0354822501879112	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
C__Bacilli_unclassified	-0.0157441820289622	0.0487180646102215	0.326678083464762	0.264839189319508	-0.0481947912206988	0.18395338218411	0.962586181065279	0.891555127333619	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
F__Blastocatellaceae_unclassified	0.179704528364579	-0.103949091602224	0.333264749159596	0.428641625195059	0.539224531900675	-0.242508159479193	0.606448919341884	0.815338523375921	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
F__Comamonadaceae_unclassified	0.236342548521999	-0.493339193503057	0.344236815681944	0.493232836310593	0.686569645532529	-1.00021563283025	0.502830208994032	0.333069176826995	1	0.701631699241302	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
F__Fusobacteriaceae_unclassified							1	1	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
F__Gemmatimonadaceae_unclassified	-0.0676036439451743	0.48516773484841	0.417679253255444	0.599886819860315	-0.161855403202967	0.808765451725348	0.873043705466936	0.428166661885646	1	0.791019765178567	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
F__JG30-KF-CM45_unclassified	-0.00424482324682454	0.220141367994027	0.352757734863165	0.853209640261369	-0.0120332534975345	0.258015565701519	0.990547851466981	0.799684255330361	1	1	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
F__Lachnospiraceae_unclassified	0.145705555066819	-0.142686286572151	0.403380058214333	0.617819697863938	0.361211597102303	-0.230951339145511	0.720752433062467	0.819093762795002	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
F__Lactobacillaceae_unclassified	0.220310090501163	-0.104384821777305	0.445860895424313	0.573846780288073	0.494122926594629	-0.181903646344244	0.628465057078619	0.860502727443471	1	1	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
F__Muribaculaceae_unclassified	-0.176512825462093	0.932722302546851	0.514592024419733	0.878077802878917	-0.343015082017901	1.06223195654049	0.735166273413477	0.300789193428055	1	0.692180106942909	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	completed_random_intercept_sensitivity	completed_with_boundary_singular_fit_condition	8	8	3	
