sequence_length_nt	plausible_v3v4_length_380_480nt	asv_count	total_reads	median_prevalence	asv_fraction	read_fraction	sensitivity_role
221	FALSE	4	129	0.0476190476190476	0.000534402137608551	0.000152076731552739	retained_atypical_length_not_mechanically_removed
222	FALSE	11	363	0.0238095238095238	0.00146960587842351	0.000427936849253056	retained_atypical_length_not_mechanically_removed
223	FALSE	8	1043	0.0833333333333333	0.0010688042752171	0.00122958163573261	retained_atypical_length_not_mechanically_removed
224	FALSE	8	743	0.0238095238095238	0.0010688042752171	0.0008759148181681	retained_atypical_length_not_mechanically_removed
225	FALSE	10	2229	0.0357142857142857	0.00133600534402138	0.0026277444545043	retained_atypical_length_not_mechanically_removed
226	FALSE	7	1068	0.0238095238095238	0.000935203740814963	0.00125905387052965	retained_atypical_length_not_mechanically_removed
227	FALSE	9	363	0.0238095238095238	0.00120240480961924	0.000427936849253056	retained_atypical_length_not_mechanically_removed
228	FALSE	11	830	0.0476190476190476	0.00146960587842351	0.000978478195261808	retained_atypical_length_not_mechanically_removed
229	FALSE	12	213	0.0238095238095238	0.00160320641282565	0.000251103440470801	retained_atypical_length_not_mechanically_removed
230	FALSE	11	1664	0.0476190476190476	0.00146960587842351	0.00196167194809114	retained_atypical_length_not_mechanically_removed
231	FALSE	7	375	0.0476190476190476	0.000935203740814963	0.000442083521955636	retained_atypical_length_not_mechanically_removed
232	FALSE	13	701	0.0238095238095238	0.00173680694722779	0.000826401463709069	retained_atypical_length_not_mechanically_removed
233	FALSE	15	730	0.0238095238095238	0.00200400801603206	0.000860589256073638	retained_atypical_length_not_mechanically_removed
234	FALSE	17	10919	0.0238095238095238	0.00227120908483634	0.0128722932699562	retained_atypical_length_not_mechanically_removed
235	FALSE	10	257	0.0238095238095238	0.00133600534402138	0.000302974573713596	retained_atypical_length_not_mechanically_removed
236	FALSE	10	135	0.0238095238095238	0.00133600534402138	0.000159150067904029	retained_atypical_length_not_mechanically_removed
237	FALSE	13	154	0.0238095238095238	0.00173680694722779	0.000181548966349781	retained_atypical_length_not_mechanically_removed
238	FALSE	46	127455	0.0238095238095238	0.00614562458249833	0.150255347442282	retained_atypical_length_not_mechanically_removed
239	FALSE	13	3259	0.0238095238095238	0.00173680694722779	0.00384200052814245	retained_atypical_length_not_mechanically_removed
240	FALSE	22	89763	0.0238095238095238	0.00293921175684703	0.105820648483477	retained_atypical_length_not_mechanically_removed
241	FALSE	23	1053	0.0238095238095238	0.00307281229124916	0.00124137052965143	retained_atypical_length_not_mechanically_removed
242	FALSE	22	562	0.0238095238095238	0.00293921175684703	0.000662535838237513	retained_atypical_length_not_mechanically_removed
243	FALSE	17	909	0.0238095238095238	0.00227120908483634	0.00107161045722046	retained_atypical_length_not_mechanically_removed
244	FALSE	48	2358	0.0238095238095238	0.00641282565130261	0.00277982118605704	retained_atypical_length_not_mechanically_removed
245	FALSE	40	2521	0.0238095238095238	0.00534402137608551	0.00297198015693376	retained_atypical_length_not_mechanically_removed
246	FALSE	39	5272	0.0238095238095238	0.00521042084168337	0.0062151048740003	retained_atypical_length_not_mechanically_removed
247	FALSE	36	1096	0.0238095238095238	0.00480961923847695	0.00129206277350234	retained_atypical_length_not_mechanically_removed
248	FALSE	54	2202	0.0238095238095238	0.00721442885771543	0.00259591444092349	retained_atypical_length_not_mechanically_removed
249	FALSE	61	3497	0.0238095238095238	0.00814963259853039	0.00412257620341029	retained_atypical_length_not_mechanically_removed
250	FALSE	56	8996	0.0238095238095238	0.00748162992651971	0.0106052889693677	retained_atypical_length_not_mechanically_removed
251	FALSE	63	4199	0.0238095238095238	0.00841683366733467	0.00495015655651124	retained_atypical_length_not_mechanically_removed
252	FALSE	53	1741	0.0238095238095238	0.00708082832331329	0.00205244643126603	retained_atypical_length_not_mechanically_removed
253	FALSE	31	1115	0.0238095238095238	0.00414161656646627	0.00131446167194809	retained_atypical_length_not_mechanically_removed
254	FALSE	49	11074	0.0238095238095238	0.00654642618570474	0.0130550211256979	retained_atypical_length_not_mechanically_removed
255	FALSE	61	3335	0.0238095238095238	0.00814963259853039	0.00393159612192546	retained_atypical_length_not_mechanically_removed
256	FALSE	39	1860	0.0238095238095238	0.00521042084168337	0.00219273426889996	retained_atypical_length_not_mechanically_removed
257	FALSE	49	3794	0.0238095238095238	0.00654642618570474	0.00447270635279916	retained_atypical_length_not_mechanically_removed
258	FALSE	45	1376	0.0238095238095238	0.00601202404809619	0.00162215180322921	retained_atypical_length_not_mechanically_removed
259	FALSE	41	931	0.0238095238095238	0.00547762191048764	0.00109754602384186	retained_atypical_length_not_mechanically_removed
260	FALSE	131	12297	0.0238095238095238	0.01750167000668	0.0144968028519692	retained_atypical_length_not_mechanically_removed
261	FALSE	69	5014	0.0238095238095238	0.00921843687374749	0.00591095141089483	retained_atypical_length_not_mechanically_removed
262	FALSE	34	924	0.0238095238095238	0.00454241816967268	0.00108929379809869	retained_atypical_length_not_mechanically_removed
263	FALSE	82	4836	0.0238095238095238	0.0109552438209753	0.00570110909913988	retained_atypical_length_not_mechanically_removed
264	FALSE	20	405	0.0238095238095238	0.00267201068804275	0.000477450203712087	retained_atypical_length_not_mechanically_removed
265	FALSE	33	2255	0.0238095238095238	0.00440881763527054	0.00265839557869323	retained_atypical_length_not_mechanically_removed
266	FALSE	33	1021	0.0238095238095238	0.00440881763527054	0.00120364606911121	retained_atypical_length_not_mechanically_removed
267	FALSE	53	4424	0.0238095238095238	0.00708082832331329	0.00521540666968462	retained_atypical_length_not_mechanically_removed
268	FALSE	35	1268	0.0238095238095238	0.00467601870407482	0.00149483174890599	retained_atypical_length_not_mechanically_removed
269	FALSE	129	9549	0.0238095238095238	0.0172344689378758	0.0112572148030783	retained_atypical_length_not_mechanically_removed
270	FALSE	40	1013	0.0238095238095238	0.00534402137608551	0.00119421495397616	retained_atypical_length_not_mechanically_removed
271	FALSE	22	586	0.0238095238095238	0.00293921175684703	0.000690829183642674	retained_atypical_length_not_mechanically_removed
272	FALSE	72	2334	0.0238095238095238	0.00961923847695391	0.00275152784065188	retained_atypical_length_not_mechanically_removed
273	FALSE	20	707	0.0238095238095238	0.00267201068804275	0.000833474800060359	retained_atypical_length_not_mechanically_removed
274	FALSE	174	26269	0.0238095238095238	0.0232464929859719	0.0309682454353403	retained_atypical_length_not_mechanically_removed
275	FALSE	58	1708	0.0238095238095238	0.00774883099532398	0.00201354308133394	retained_atypical_length_not_mechanically_removed
276	FALSE	87	3001	0.0238095238095238	0.011623246492986	0.00353784706503697	retained_atypical_length_not_mechanically_removed
277	FALSE	91	9959	0.0238095238095238	0.0121576486305945	0.0117405594537498	retained_atypical_length_not_mechanically_removed
278	FALSE	74	3105	0.0238095238095238	0.00988643954575818	0.00366045156179267	retained_atypical_length_not_mechanically_removed
279	FALSE	255	70850	0.0238095238095238	0.0340681362725451	0.0835243134148182	retained_atypical_length_not_mechanically_removed
280	FALSE	66	2204	0.0238095238095238	0.00881763527054108	0.00259827221970726	retained_atypical_length_not_mechanically_removed
281	FALSE	54	1522	0.0238095238095238	0.00721442885771543	0.00179426965444394	retained_atypical_length_not_mechanically_removed
282	FALSE	64	6115	0.0238095238095238	0.00855043420173681	0.00720890863135657	retained_atypical_length_not_mechanically_removed
283	FALSE	69	12863	0.0238095238095238	0.00921843687374749	0.0151640542477743	retained_atypical_length_not_mechanically_removed
284	FALSE	69	2525	0.0238095238095238	0.00921843687374749	0.00297669571450128	retained_atypical_length_not_mechanically_removed
285	FALSE	40	1061	0.0238095238095238	0.00534402137608551	0.00125080164478648	retained_atypical_length_not_mechanically_removed
286	FALSE	51	4265	0.0238095238095238	0.00681362725450902	0.00502796325637543	retained_atypical_length_not_mechanically_removed
287	FALSE	59	1811	0.0238095238095238	0.00788243152972612	0.00213496868869775	retained_atypical_length_not_mechanically_removed
288	FALSE	53	1686	0.0238095238095238	0.00708082832331329	0.00198760751471254	retained_atypical_length_not_mechanically_removed
289	FALSE	31	1081	0.0238095238095238	0.00414161656646627	0.00127437943262411	retained_atypical_length_not_mechanically_removed
290	FALSE	58	14639	0.0238095238095238	0.00774883099532398	0.0172577618077562	retained_atypical_length_not_mechanically_removed
291	FALSE	46	1743	0.0238095238095238	0.00614562458249833	0.0020548042100498	retained_atypical_length_not_mechanically_removed
292	FALSE	12	202	0.0238095238095238	0.00160320641282565	0.000238135657160103	retained_atypical_length_not_mechanically_removed
293	FALSE	239	62492	0.0238095238095238	0.0319305277221109	0.073671155877471	retained_atypical_length_not_mechanically_removed
294	FALSE	51	4373	0.0238095238095238	0.00681362725450902	0.00515528331069866	retained_atypical_length_not_mechanically_removed
295	FALSE	57	3571	0.0238095238095238	0.00761523046092184	0.00420981401840954	retained_atypical_length_not_mechanically_removed
296	FALSE	25	1027	0.0238095238095238	0.00334001336005344	0.0012107194054625	retained_atypical_length_not_mechanically_removed
297	FALSE	33	2061	0.0238095238095238	0.00440881763527054	0.00242969103666818	retained_atypical_length_not_mechanically_removed
298	FALSE	11	254	0.0238095238095238	0.00146960587842351	0.000299437905537951	retained_atypical_length_not_mechanically_removed
299	FALSE	59	13374	0.0238095238095238	0.00788243152972612	0.0157664667270258	retained_atypical_length_not_mechanically_removed
300	FALSE	14	361	0.0238095238095238	0.00187040748162993	0.000425579070469292	retained_atypical_length_not_mechanically_removed
301	FALSE	46	3335	0.0238095238095238	0.00614562458249833	0.00393159612192546	retained_atypical_length_not_mechanically_removed
302	FALSE	58	3537	0.0238095238095238	0.00774883099532398	0.00416973177908556	retained_atypical_length_not_mechanically_removed
303	FALSE	31	1424	0.0238095238095238	0.00414161656646627	0.00167873849403954	retained_atypical_length_not_mechanically_removed
304	FALSE	8	287	0.0238095238095238	0.0010688042752171	0.000338341255470047	retained_atypical_length_not_mechanically_removed
305	FALSE	20	1405	0.0238095238095238	0.00267201068804275	0.00165633959559378	retained_atypical_length_not_mechanically_removed
306	FALSE	36	2172	0.0238095238095238	0.00480961923847695	0.00256054775916704	retained_atypical_length_not_mechanically_removed
307	FALSE	11	704	0.0238095238095238	0.00146960587842351	0.000829938131884714	retained_atypical_length_not_mechanically_removed
308	FALSE	9	574	0.0238095238095238	0.00120240480961924	0.000676682510940094	retained_atypical_length_not_mechanically_removed
309	FALSE	6	320	0.0238095238095238	0.000801603206412826	0.000377244605402143	retained_atypical_length_not_mechanically_removed
310	FALSE	19	2722	0.0238095238095238	0.00253841015364061	0.00320893692470198	retained_atypical_length_not_mechanically_removed
311	FALSE	13	616	0.0238095238095238	0.00173680694722779	0.000726195865399125	retained_atypical_length_not_mechanically_removed
312	FALSE	10	268	0.0238095238095238	0.00133600534402138	0.000315942357024295	retained_atypical_length_not_mechanically_removed
313	FALSE	8	198	0.0238095238095238	0.0010688042752171	0.000233420099592576	retained_atypical_length_not_mechanically_removed
314	FALSE	23	916	0.0238095238095238	0.00307281229124916	0.00107986268296363	retained_atypical_length_not_mechanically_removed
315	FALSE	4	114	0.0238095238095238	0.000534402137608551	0.000134393390674513	retained_atypical_length_not_mechanically_removed
316	FALSE	12	734	0.0238095238095238	0.00160320641282565	0.000865304813641165	retained_atypical_length_not_mechanically_removed
317	FALSE	8	194	0.0238095238095238	0.0010688042752171	0.000228704542025049	retained_atypical_length_not_mechanically_removed
318	FALSE	13	447	0.0238095238095238	0.00173680694722779	0.000526963558171118	retained_atypical_length_not_mechanically_removed
319	FALSE	2	132	0.0238095238095238	0.000267201068804275	0.000155613399728384	retained_atypical_length_not_mechanically_removed
320	FALSE	7	317	0.0238095238095238	0.000935203740814963	0.000373707937226498	retained_atypical_length_not_mechanically_removed
321	FALSE	2	23	0.0238095238095238	0.000267201068804275	2.7114456013279e-05	retained_atypical_length_not_mechanically_removed
322	FALSE	6	132	0.0238095238095238	0.000801603206412826	0.000155613399728384	retained_atypical_length_not_mechanically_removed
323	FALSE	7	188	0.0238095238095238	0.000935203740814963	0.000221631205673759	retained_atypical_length_not_mechanically_removed
324	FALSE	2	76	0.0357142857142857	0.000267201068804275	8.95955937830089e-05	retained_atypical_length_not_mechanically_removed
325	FALSE	4	28	0.0238095238095238	0.000534402137608551	3.30089029726875e-05	retained_atypical_length_not_mechanically_removed
328	FALSE	1	5	0.0238095238095238	0.000133600534402138	5.89444695940848e-06	retained_atypical_length_not_mechanically_removed
329	FALSE	1	4	0.0238095238095238	0.000133600534402138	4.71555756752678e-06	retained_atypical_length_not_mechanically_removed
330	FALSE	3	17	0.0238095238095238	0.000400801603206413	2.00411196619888e-05	retained_atypical_length_not_mechanically_removed
333	FALSE	3	15	0.0238095238095238	0.000400801603206413	1.76833408782254e-05	retained_atypical_length_not_mechanically_removed
