genus_label	prevalence_cut	n_pairs	prevalence_all	prevalence_tumor	prevalence_paired_non_tumor	tumor_only_presence_pairs	normal_only_presence_pairs	presence_exact_p	median_clr_difference_tumor_minus_normal	mean_clr_difference_tumor_minus_normal	paired_rank_biserial	paired_wilcoxon_p	median_relative_abundance_difference	bootstrap_iterations	bootstrap_valid	clr_effect_ci95_low	clr_effect_ci95_high	bootstrap_direction_consistency	paired_wilcoxon_q	presence_exact_q	clr_effect_prevalence10	clr_effect_prevalence30	clr_effect_min_overlap8	clr_effect_forward_only	clr_effect_plausible_v3v4_length	prevalence_threshold_direction_stable	pipeline_direction_stable	min_overlap8_direction_concordant	forward_only_direction_concordant	plausible_length_direction_concordant	effect_direction	candidate_tier	blank_control_status	contamination_risk	decontam_status	function_claim_scope	host_sample_level_link_allowed	independence_group
g__Veillonella	0.2	21	0.261904761904762	0.333333333333333	0.19047619047619	6	3	0.5078125	0.156691015617032	0.349120238282666	0.428571428571429	0.088544706688393	0	1000	1000	-0.0678199896836627	0.845514401389036	0.949	0.209812457152931	0.87859623015873	0.409366948970575		0.90111248266273	0.350981534186112	0.131400982229214	FALSE	TRUE	TRUE	TRUE	TRUE	higher_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Gordonia	0.2	21	0.357142857142857	0.19047619047619	0.523809523809524	3	10	0.09228515625	-0.428374517659006	-0.982784294339372	-0.411255411255411	0.102340861591096	0	1000	1000	-2.7009967558982	0.328399449034903	0.875	0.232399039863113	0.3592529296875	-0.391259722249549	-0.636794661930678	-0.662420874514309	-0.862392596818508	-0.412228158425587	TRUE	TRUE	TRUE	TRUE	TRUE	lower_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
F__Xanthobacteraceae_unclassified	0.2	21	0.214285714285714	0.0952380952380952	0.333333333333333	0	5	0.0625	-0.359942650004394	-0.750714597292464	-0.402597402597403	0.109853514160051	0	1000	1000	-0.972872609922466	0.156691015617032	0.944	0.244368021294807	0.333220108695652	-0.391259722249549		-0.460164191595652	0.414628376610104	-0.396411437405186	FALSE	FALSE	TRUE	FALSE	TRUE	lower_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
F__Muribaculaceae_unclassified	0.2	21	0.523809523809524	0.333333333333333	0.714285714285714	3	11	0.057373046875	-2.19900803633439	-0.918468348166541	-0.393939393939394	0.117795436456402	-0.000192075513116014	1000	1000	-2.63687361703438	-0.359942650004394	0.984	0.251758873995056	0.333220108695652	-2.14661292534425	-1.97275458654268	-1.91902593725653	-2.43450437000157	-2.23064286632479	TRUE	TRUE	TRUE	TRUE	TRUE	lower_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Capnocytophaga	0.2	21	0.5	0.571428571428571	0.428571428571429	7	4	0.548828125	1.33299736724049	1.03623459873498	0.393939393939394	0.117795436456402	0.000627418174213113	1000	1000	-0.428374517659006	3.48790542686879	0.745	0.251758873995056	0.879739200367648	0.956382336081122	1.57163403422835	1.376108250148	1.62350022747536	1.35839443754553	TRUE	TRUE	TRUE	TRUE	TRUE	higher_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Romboutsia	0.2	21	0.238095238095238	0.285714285714286	0.19047619047619	4	2	0.6875	0.412051695108028	0.858262391372001	0.385281385281385	0.126181021089914	0	1000	1000	-0.253097887279073	0.94851023174027	0.876	0.264494832669243	1	0.379493715367019		0.699434298620634		0.257670884812405	FALSE	FALSE	TRUE	FALSE	TRUE	higher_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
F__Lactobacillaceae_unclassified	0.2	21	0.428571428571429	0.333333333333333	0.523809523809524	1	5	0.21875	-0.359942650004394	-0.539178067138314	-0.367965367965368	0.144339193370849	0	1000	1000	-0.97722408017646	0.412051695108028	0.881	0.280945929953975	0.587983630952381	-0.348951229069917	-0.528351050902892	-0.228032119083467		-0.3848057768694	TRUE	FALSE	TRUE	FALSE	TRUE	lower_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Filifactor	0.2	21	0.261904761904762	0.333333333333333	0.19047619047619	6	3	0.5078125	0.736099231933864	0.663484206303634	0.367965367965368	0.144339193370849	0	1000	1000	-0.0678199896836627	1.20461620059228	0.873	0.280945929953975	0.87859623015873	0.541363064984772		0.77426433385652	0.742042792714856	0.757843094224667	FALSE	TRUE	TRUE	TRUE	TRUE	higher_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Hoylesella	0.2	21	0.333333333333333	0.428571428571429	0.238095238095238	8	4	0.3876953125	0.94851023174027	0.951497037416312	0.367965367965368	0.144339193370849	0	1000	1000	-0.307682539447422	2.51820346840269	0.739	0.280945929953975	0.812669020432692	0.653647782288137	1.13596490822222	0.998307593346703	1.24218142587206	0.870942292695224	TRUE	TRUE	TRUE	TRUE	TRUE	higher_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Nocardioides	0.2	21	0.452380952380952	0.333333333333333	0.571428571428571	1	6	0.125	-0.428374517659006	-0.670150486370384	-0.367965367965368	0.144339193370849	0	1000	1000	-1.45713996369068	0.501698526095019	0.954	0.280945929953975	0.400735294117647	-0.391259722249549	-0.636794661930678	-0.662420874514309	-0.716515890113481	-0.412228158425587	TRUE	TRUE	TRUE	TRUE	TRUE	lower_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Algoriphagus	0.2	21	0.238095238095238	0.238095238095238	0.238095238095238	2	2	1	0.572293319347376	0.608535230283277	0.359307359307359	0.154138803324394	0	1000	1000	-0.0678199896836627	1.04288889921048	0.884	0.289674647626879	1	0.409366948970575		0.789024263845684	0.742042792714856	0.375937866952121	FALSE	TRUE	TRUE	TRUE	TRUE	higher_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Alloprevotella	0.2	21	0.333333333333333	0.428571428571429	0.238095238095238	8	4	0.3876953125	0.736099231933864	1.44968635060044	0.359307359307359	0.154138803324394	0	1000	1000	-0.428374517659006	3.44818843005237	0.767	0.289674647626879	0.812669020432692	0.652863370161001	0.944272245399242	0.817445003967715	1.30675796809697	0.778835546406552	TRUE	TRUE	TRUE	TRUE	TRUE	higher_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
O__Frankiales_unclassified	0.2	21	0.285714285714286	0.19047619047619	0.380952380952381	2	6	0.2890625	-0.359942650004394	-0.615054727562969	-0.350649350649351	0.164435977044947	0	1000	1000	-0.999833826992301	0.156691015617032	0.856	0.293828221277036	0.684952445652174	-0.391259722249549		-0.490359058735894	-2.49990452167335	-0.396411437405186	FALSE	TRUE	TRUE	TRUE	TRUE	lower_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Lachnoanaerobaculum	0.2	21	0.238095238095238	0.285714285714286	0.19047619047619	5	3	0.7265625	0.615505803124969	1.18070960388008	0.350649350649351	0.164435977044947	0	1000	1000	-0.359942650004394	1.20461620059228	0.596	0.293828221277036	1	0.409366948970575		0.817445003967715	1.04802373392052	0.516700297830873	FALSE	TRUE	TRUE	TRUE	TRUE	higher_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Pseudonocardia	0.2	21	0.214285714285714	0.0952380952380952	0.333333333333333	1	6	0.125	-0.307682539447422	-0.858552540341384	-0.350649350649351	0.164435977044947	0	1000	1000	-1.14693142008222	0.506949931381716	0.879	0.293828221277036	0.400735294117647	-0.296902540435853		-0.460164191595652	-2.42138022025758	-0.3848057768694	FALSE	TRUE	TRUE	TRUE	TRUE	lower_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
g__Paracoccus	0.2	21	0.452380952380952	0.380952380952381	0.523809523809524	4	7	0.548828125	-0.942836063738703	-0.798774160012784	-0.341991341991342	0.175242915378925	0	1000	1000	-2.65518522176485	-0.00178345899816801	0.982	0.30808835123069	0.879739200367648	-0.669493880496755	-0.899278520937282	-0.662420874514309	-0.862392596818508	-0.931593228159874	TRUE	TRUE	TRUE	TRUE	TRUE	lower_in_tumor	background_no_clear_paired_difference	no_public_negative_control_or_extraction_blank	unresolved_low_biomass_FFPE_reagent_or_oral_carryover	not_run_no_blank_and_no_DNA_concentration	taxonomic_ecology_only_16S_function_potential_not_computed	FALSE	PRJNA766558_FFPE_tissue_21_pairs
