evidence_id	candidate_id	candidate_label	candidate_type	evidence_type	omics_layer	dataset	analysis_unit	independence_group	effect_measure	effect_value	p_value	q_value	direction	discordance_code	layer_availability	independent_from_discovery	eligible_as_exact_replication	evidence_tier	auxiliary_score_100	cross_dataset_patient_link_allowed
EVIDENCE_000001	GENE:PIK3CA	PIK3CA	driver_candidate	TCGA_driver_composite	genome+transcriptome	TCGA-ESCC GDC DR45	unique patient	TCGA_ESCC_DR45_driver_core	CNV-RNA Spearman rho	0.687902977191557	1.34951638018333e-14	6.92897438602631e-13	positive	support	TCGA_evaluable_Cao_profiled	FALSE	FALSE	T4	60	FALSE
EVIDENCE_001256	GENE:FBXW7	FBXW7	cross_layer_axis	TCGA_CNV_RNA_dosage	genome_CNV->transcriptome	TCGA_ESCC_DR45	TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45_driver_core_95	Spearman rho	0.52098991665482	6.20986487627644e-08	4.20242830101056e-07	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001257	GENE:GNAS	GNAS	cross_layer_axis	TCGA_CNV_RNA_dosage	genome_CNV->transcriptome	TCGA_ESCC_DR45	TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45_driver_core_95	Spearman rho	0.337209722135567	0.000832837728653649	0.00197569174612525	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001258	GENE:KMT2D	KMT2D	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	-0.312270708246483	0.00218342557712684	0.0524022138510443	negative	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001260	GENE:NFE2L2	NFE2L2	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.753205128205128	2.31904260816762e-06	0.000166971067788069	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001259	GENE:NFE2L2	NFE2L2	cross_layer_axis	TCGA_CNV_RNA_dosage	genome_CNV->transcriptome	TCGA_ESCC_DR45	TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45_driver_core_95	Spearman rho	0.366277738034032	0.0002617381804392	0.000697931792331779	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001261	GENE:NFE2L2	NFE2L2	cross_layer_axis	TCGA_driver_state_internal	genome_mutation->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	rank-biserial correlation: event minus reference	0.642628205128205	5.59554546888386e-05	0.00134293091253213	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001262	GENE:NOTCH1	NOTCH1	cross_layer_axis	TCGA_CNV_RNA_dosage	genome_CNV->transcriptome	TCGA_ESCC_DR45	TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45_driver_core_95	Spearman rho	0.308253067413868	0.00237306569493432	0.00511622957096487	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001263	GENE:NOTCH1	NOTCH1	cross_layer_axis	TCGA_driver_state_internal	genome_CNV->multiomics_state	TCGA_ESCC_DR45	TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45_driver_state_shared_patients	Spearman rho	0.358889670020717	0.000382146349607281	0.012228683187433	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
EVIDENCE_001264	GENE:PIK3CA	PIK3CA	cross_layer_axis	TCGA_CNV_RNA_dosage	genome_CNV->transcriptome	TCGA_ESCC_DR45	TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45_driver_core_95	Spearman rho	0.687902977191557	1.34951638018333e-14	6.92897438602631e-13	positive	support	evaluable	FALSE	FALSE	T3	78	FALSE
