edge_id	axis_candidate_id	source_node	source_layer	target_node	target_layer	edge_class	source_effect_measure	source_effect	target_effect_measure	target_effect	association_effect_measure	association_effect	p_value	q_value	n_complete	sample_design	evidence_source	independence_group	same_patient_evidence	independent_from_tcga_discovery	eligible_as_exact_driver_replication	representation_overlap	original_state_edge_id	meets_T3_T4_retention_criteria	baseline_reliable_match_rate	drop_both_reliable_match_rate	drop_both_direction_retention_rate	drop_both_magnitude_retention_rate	drop_both_low_margin_count	discordance_code	evidence_tier	layer_availability
ESCC_AXIS_00008	GENE:FBXW7	FBXW7:CNV	genome_CNV	FBXW7:RNA	transcriptome	TCGA_CNV_RNA_dosage	relative_log2_CNV_IQR	0.485426827170242	not_separate_from_association		Spearman rho	0.52098991665482	6.20986487627644e-08	4.20242830101056e-07		TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_core_95	TRUE	FALSE	FALSE	direct_same_patient_CNV_RNA_no_external_replication								support	T3	evaluable
ESCC_AXIS_00007	GENE:GNAS	GNAS:CNV	genome_CNV	GNAS:RNA	transcriptome	TCGA_CNV_RNA_dosage	relative_log2_CNV_IQR	0.362570079384708	not_separate_from_association		Spearman rho	0.337209722135567	0.000832837728653649	0.00197569174612525		TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_core_95	TRUE	FALSE	FALSE	direct_same_patient_CNV_RNA_no_external_replication								support	T3	evaluable
ESCC_AXIS_00076	GENE:KMT2D	KMT2D:relative_cnv	genome_CNV	Factor3	multiomics_state	TCGA_driver_state_internal					Spearman rho	-0.312270708246483	0.00218342557712684	0.0524022138510443		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0002	TRUE	1	1	1	1	0	support	T3	evaluable
ESCC_AXIS_00010	GENE:NFE2L2	NFE2L2:CNV	genome_CNV	NFE2L2:RNA	transcriptome	TCGA_CNV_RNA_dosage	relative_log2_CNV_IQR	0.362570079384708	not_separate_from_association		Spearman rho	0.366277738034032	0.0002617381804392	0.000697931792331779		TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_core_95	TRUE	FALSE	FALSE	direct_same_patient_CNV_RNA_no_external_replication								support	T3	evaluable
ESCC_AXIS_00070	GENE:NFE2L2	NFE2L2:mutation	genome_mutation	Factor1	multiomics_state	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	0.753205128205128	2.31904260816762e-06	0.000166971067788069		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_feature_in_mofa_input	TCGA_DRIVER_STATE_0053	TRUE	1	1	1	1	0	support	T3	evaluable
ESCC_AXIS_00072	GENE:NFE2L2	NFE2L2:mutation	genome_mutation	Factor7	multiomics_state	TCGA_driver_state_internal					rank-biserial correlation: event minus reference	0.642628205128205	5.59554546888386e-05	0.00134293091253213		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_feature_in_mofa_input	TCGA_DRIVER_STATE_0056	TRUE	1	1	1	1	0	support	T3	evaluable
ESCC_AXIS_00002	GENE:NOTCH1	NOTCH1:CNV	genome_CNV	NOTCH1:RNA	transcriptome	TCGA_CNV_RNA_dosage	relative_log2_CNV_IQR	0.670342562127124	not_separate_from_association		Spearman rho	0.308253067413868	0.00237306569493432	0.00511622957096487		TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_core_95	TRUE	FALSE	FALSE	direct_same_patient_CNV_RNA_no_external_replication								support	T3	evaluable
ESCC_AXIS_00074	GENE:NOTCH1	NOTCH1:relative_cnv	genome_CNV	Factor7	multiomics_state	TCGA_driver_state_internal					Spearman rho	0.358889670020717	0.000382146349607281	0.012228683187433		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0011	TRUE	1	1	1	1	0	support	T3	evaluable
ESCC_AXIS_00009	GENE:PIK3CA	PIK3CA:CNV	genome_CNV	PIK3CA:RNA	transcriptome	TCGA_CNV_RNA_dosage	relative_log2_CNV_IQR	0.657221097372184	not_separate_from_association		Spearman rho	0.687902977191557	1.34951638018333e-14	6.92897438602631e-13		TCGA-ESCC driver core; same-patient CNV and RNA	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_core_95	TRUE	FALSE	FALSE	direct_same_patient_CNV_RNA_no_external_replication								support	T3	evaluable
ESCC_AXIS_00068	GENE:PIK3CA	PIK3CA:relative_cnv	genome_CNV	Factor1	multiomics_state	TCGA_driver_state_internal					Spearman rho	0.578587085765964	1.01079153014674e-09	9.70359868940868e-08		TCGA-ESCC five-layer core; same patients and partially shared model inputs	TCGA_ESCC_DR45	TCGA_ESCC_DR45_driver_state_shared_patients	TRUE	FALSE	FALSE	predictor_layer_in_mofa_input	TCGA_DRIVER_STATE_0046	TRUE	1	1	1	1	0	support	T3	evaluable
