gene_name	candidate_id	gene_id	tcga_driver_tier	tcga_primary_route	distinct_event_units	cnv_rna_dosage_status	cnv_rna_rho	cnv_rna_q	state_supported_edges	state_conditional_edges	supported_factor_targets	conditional_factor_targets	conditional_pathway_targets	cao_cross_layer_class	cao_statistical_support	cao_promoter_delta_beta	cao_rna_log_fc	cao_rna_effect_class	cao_protein_status	cao_protein_log2_tumor_vs_normal	cao_promoter_rna_relationship	cao_rna_protein_relationship	exact_driver_event_independent_validation_count	composed_state_pathway_hypotheses	ecms_contextualized_leakage_edge_count	ecms_contextualized_factor_targets	ecms_adjusted_pathway_targets	ecms_primary_patient_count	ecms_extension_calibration_pass	ecms_shared_rna_representation	ecms_or_progeny_independent_validation	axis_class	axis_tier	cross_cohort_patient_link_created	exact_independent_validation_present
PIK3CA	GENE:PIK3CA	ENSG00000121879.6	T4	mutation_recurrence_hotspot_or_multihit_lof	2	strong_positive_dosage	0.687902977191557	6.92897438602631e-13	2	3	Factor1	Factor8	EGFR;Estrogen	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	0	0.601007684063865	higher_in_tumor	identified_not_quantified		weak_or_mixed	protein_identified_not_quantified	0	amplification->Factor1->Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)[leakage_controlled_within_tcga_supported;ecms_context_explanatory_supported];relative_cnv->Factor1->Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)[leakage_controlled_within_tcga_supported;ecms_context_explanatory_supported]	2	Factor1	Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)	78	FALSE	TRUE	FALSE	driver_expression_ecms_state_bridge_priority	T4	FALSE	FALSE
KMT2D	GENE:KMT2D	ENSG00000167548.16	T3	mutation_recurrence_hotspot_or_multihit_lof	1				1	3	Factor3	Factor2;Factor5	Trail	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	0	-0.0481601148854993	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	mutation->Factor5->Androgen(beta=-0.43,partialR2=0.16);EGFR(beta=0.42,partialR2=0.21);MAPK(beta=0.51,partialR2=0.27);PI3K(beta=0.48,partialR2=0.22);TGFb(beta=-0.30,partialR2=0.11);Trail(beta=-0.34,partialR2=0.15);VEGF(beta=0.54,partialR2=0.35)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported];relative_cnv->Factor3->Androgen(beta=-0.35,partialR2=0.09);EGFR(beta=0.59,partialR2=0.34);Hypoxia(beta=0.35,partialR2=0.10);MAPK(beta=0.54,partialR2=0.25);NFkB(beta=0.30,partialR2=0.07);PI3K(beta=0.36,partialR2=0.10);TGFb(beta=0.51,partialR2=0.26);TNFa(beta=0.34,partialR2=0.09);Trail(beta=-0.38,partialR2=0.15);VEGF(beta=0.69,partialR2=0.46)[leakage_controlled_within_tcga_supported;ecms_context_explanatory_supported]	1	Factor3	Androgen(beta=-0.35,partialR2=0.09);EGFR(beta=0.59,partialR2=0.34);Hypoxia(beta=0.35,partialR2=0.10);MAPK(beta=0.54,partialR2=0.25);NFkB(beta=0.30,partialR2=0.07);PI3K(beta=0.36,partialR2=0.10);TGFb(beta=0.51,partialR2=0.26);TNFa(beta=0.34,partialR2=0.09);Trail(beta=-0.38,partialR2=0.15);VEGF(beta=0.69,partialR2=0.46);Androgen(beta=-0.43,partialR2=0.16);EGFR(beta=0.42,partialR2=0.21);MAPK(beta=0.51,partialR2=0.27);PI3K(beta=0.48,partialR2=0.22);TGFb(beta=-0.30,partialR2=0.11);Trail(beta=-0.34,partialR2=0.15);VEGF(beta=0.54,partialR2=0.35)	78	FALSE	TRUE	FALSE	driver_ecms_state_internal_bridge	T3	FALSE	FALSE
NFE2L2	GENE:NFE2L2	ENSG00000116044.16	T3	mutation_recurrence_hotspot_or_multihit_lof	1	strong_positive_dosage	0.366277738034032	0.000697931792331779	2	3	Factor1;Factor7	Factor2;Factor8		context_dependent_or_weak	directional_only_no_candidate_layer_fdr	0	-0.0809673182949775	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	mutation->Factor1->Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)[leakage_controlled_within_tcga_supported;ecms_context_explanatory_supported]	1	Factor1	Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)	78	FALSE	TRUE	FALSE	driver_ecms_state_internal_bridge	T3	FALSE	FALSE
NOTCH1	GENE:NOTCH1	ENSG00000148400.12	T3	mutation_recurrence_hotspot_or_multihit_lof	1	strong_positive_dosage	0.308253067413868	0.00511622957096487	1	4	Factor7	Factor1;Factor3	Estrogen;WNT	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	0	0.262009824105452	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	relative_cnv->Factor1->Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported];relative_cnv->Factor3->Androgen(beta=-0.35,partialR2=0.09);EGFR(beta=0.59,partialR2=0.34);Hypoxia(beta=0.35,partialR2=0.10);MAPK(beta=0.54,partialR2=0.25);NFkB(beta=0.30,partialR2=0.07);PI3K(beta=0.36,partialR2=0.10);TGFb(beta=0.51,partialR2=0.26);TNFa(beta=0.34,partialR2=0.09);Trail(beta=-0.38,partialR2=0.15);VEGF(beta=0.69,partialR2=0.46)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported]	0		Androgen(beta=-0.35,partialR2=0.09);EGFR(beta=0.59,partialR2=0.34);Hypoxia(beta=0.35,partialR2=0.10);MAPK(beta=0.54,partialR2=0.25);NFkB(beta=0.30,partialR2=0.07);PI3K(beta=0.36,partialR2=0.10);TGFb(beta=0.51,partialR2=0.26);TNFa(beta=0.34,partialR2=0.09);Trail(beta=-0.38,partialR2=0.15);VEGF(beta=0.69,partialR2=0.46);Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)	78	FALSE	TRUE	FALSE	driver_state_internal_bridge	T3	FALSE	FALSE
PTCH1	GENE:PTCH1	ENSG00000185920.16	T3	mutation_recurrence_hotspot_or_multihit_lof	1	no_strong_dosage_evidence	0.296160907472603	0.00738036070939353	1	12	Factor7	Factor1;Factor2;Factor6;Factor7;Factor8	Estrogen;JAK-STAT;p53;Trail;VEGF;WNT	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	0	-0.375415288024046	lower_in_tumor	not_identified		weak_or_mixed	protein_missing_not_negative	0	amplification->Factor6->Androgen(beta=-0.53,partialR2=0.19);Estrogen(beta=0.55,partialR2=0.20);p53(beta=-0.84,partialR2=0.53);WNT(beta=0.28,partialR2=0.06)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported];mutation->Factor1->Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported]	0		Androgen(beta=-0.53,partialR2=0.19);Estrogen(beta=0.55,partialR2=0.20);p53(beta=-0.84,partialR2=0.53);WNT(beta=0.28,partialR2=0.06);Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)	78	FALSE	TRUE	FALSE	driver_state_internal_bridge	T3	FALSE	FALSE
SMARCA4	GENE:SMARCA4	ENSG00000127616.19	T3	mutation_recurrence_hotspot_or_multihit_lof	1				1	4	Factor1	Factor5	EGFR;Trail;VEGF	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	0	0.136411402277065	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	mutation->Factor1->Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)[leakage_controlled_within_tcga_supported;ecms_context_explanatory_supported];mutation->Factor5->Androgen(beta=-0.43,partialR2=0.16);EGFR(beta=0.42,partialR2=0.21);MAPK(beta=0.51,partialR2=0.27);PI3K(beta=0.48,partialR2=0.22);TGFb(beta=-0.30,partialR2=0.11);Trail(beta=-0.34,partialR2=0.15);VEGF(beta=0.54,partialR2=0.35)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported]	1	Factor1	Androgen(beta=-0.43,partialR2=0.16);EGFR(beta=0.42,partialR2=0.21);MAPK(beta=0.51,partialR2=0.27);PI3K(beta=0.48,partialR2=0.22);TGFb(beta=-0.30,partialR2=0.11);Trail(beta=-0.34,partialR2=0.15);VEGF(beta=0.54,partialR2=0.35);Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)	78	FALSE	TRUE	FALSE	driver_ecms_state_internal_bridge	T3	FALSE	FALSE
TP53	GENE:TP53	ENSG00000141510.18	T3	mutation_recurrence_hotspot_or_multihit_lof	1	no_strong_dosage_evidence	0.166772654964734	0.153058006731083	1	6	Factor1	Factor5;Factor6	Estrogen;p53;TGFb	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	0	0.249581407852044	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	mutation->Factor1->Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)[leakage_controlled_within_tcga_supported;ecms_context_explanatory_supported];mutation->Factor5->Androgen(beta=-0.43,partialR2=0.16);EGFR(beta=0.42,partialR2=0.21);MAPK(beta=0.51,partialR2=0.27);PI3K(beta=0.48,partialR2=0.22);TGFb(beta=-0.30,partialR2=0.11);Trail(beta=-0.34,partialR2=0.15);VEGF(beta=0.54,partialR2=0.35)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported];mutation->Factor6->Androgen(beta=-0.53,partialR2=0.19);Estrogen(beta=0.55,partialR2=0.20);p53(beta=-0.84,partialR2=0.53);WNT(beta=0.28,partialR2=0.06)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported];relative_cnv->Factor6->Androgen(beta=-0.53,partialR2=0.19);Estrogen(beta=0.55,partialR2=0.20);p53(beta=-0.84,partialR2=0.53);WNT(beta=0.28,partialR2=0.06)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported]	1	Factor1	Androgen(beta=-0.43,partialR2=0.16);EGFR(beta=0.42,partialR2=0.21);MAPK(beta=0.51,partialR2=0.27);PI3K(beta=0.48,partialR2=0.22);TGFb(beta=-0.30,partialR2=0.11);Trail(beta=-0.34,partialR2=0.15);VEGF(beta=0.54,partialR2=0.35);Androgen(beta=-0.53,partialR2=0.19);Estrogen(beta=0.55,partialR2=0.20);p53(beta=-0.84,partialR2=0.53);WNT(beta=0.28,partialR2=0.06);Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)	78	FALSE	TRUE	FALSE	driver_ecms_state_internal_bridge	T3	FALSE	FALSE
EP300	GENE:EP300	ENSG00000100393.14	T2	mutation_recurrence_hotspot_or_multihit_lof	1				0	4		Factor1;Factor7	Androgen;TGFb	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	0	-0.0137395861439371	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	relative_cnv->Factor1->Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)[raw_conditional_not_upgradeable;ecms_context_explanatory_supported]	0		Estrogen(beta=0.35,partialR2=0.09);NFkB(beta=-0.31,partialR2=0.08);TNFa(beta=-0.28,partialR2=0.07)	78	FALSE	TRUE	FALSE	driver_state_conditional_bridge	T2	FALSE	FALSE
FBXW7	GENE:FBXW7	ENSG00000109670.16	T2	mutation_recurrence_hotspot_or_multihit_lof	1	strong_positive_dosage	0.52098991665482	4.20242830101056e-07	0	1		Factor7		context_dependent_or_weak	directional_only_no_candidate_layer_fdr	0	-0.338505278536454	lower_in_tumor	not_identified		weak_or_mixed	protein_missing_not_negative	0		0			78	FALSE	TRUE	FALSE	driver_state_conditional_bridge	T2	FALSE	FALSE
GNAS	GENE:GNAS	ENSG00000087460.27	T2	mutation_recurrence_hotspot_or_multihit_lof	1	strong_positive_dosage	0.337209722135567	0.00197569174612525	0	4		Factor7	Estrogen;p53;WNT	three_layer_directional_hypothesis	directional_only_no_candidate_layer_fdr	-0.055556	0.455231110559371	higher_in_tumor	quantified	0.2300707094205	directionally_coherent_inverse	directionally_coherent	0		0			78	FALSE	TRUE	FALSE	three_layer_directional_axis_conditional	T2	FALSE	FALSE
