candidate_id	gene_id	gene_name	gene_type	decision	primary_candidate_route	mutated_patients	mutation_frequency_96	high_confidence_mutation_pattern	recurrent_mutation	amplification_frequency	homozygous_deletion_frequency	recurrent_cnv_class	spearman_rho_relative_cnv	p_relative_cnv	q_relative_cnv	dosage_evidence	discordance_code	strong_dosage	conditional_dosage	precise_reverse_dosage	multi_event_convergence	source_evidence_unit_count	mutation_event_unit	cnv_expression_event_unit	distinct_event_unit_count	evidence_unit_count	state_edge_count	raw_state_supported_edges	state_supported_edges	state_conditional_edges	state_exploratory_edges	supported_factor_targets	leakage_not_retained_factor_targets	conditional_factor_targets	conditional_pathway_targets	strongest_state_edge	strongest_state_effect	strongest_state_q	strongest_state_raw_status	strongest_state_meets_retention_criteria	cao_profile_status	cao_cross_layer_class	cao_statistical_support	cao_available_layer_count	cao_fdr_supported_layer_count	cao_promoter_delta_beta	cao_rna_log_fc	cao_rna_effect_class	cao_protein_status	cao_protein_log2_tumor_vs_normal	cao_promoter_rna_relationship	cao_rna_protein_relationship	exact_driver_event_independent_validation_count	independent_orthogonal_calibration_count	quality_score_20	within_layer_score_20	cross_omics_score_25	validation_score_20	robustness_score_15	auxiliary_score_100	high_priority_validation_rule	integrated_tier	integrated_decision	cross_cohort_patient_link_created	exact_independent_validation_present
GENE:PIK3CA	ENSG00000121879.6	PIK3CA	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	12	0.125	TRUE	TRUE	0.510416666666667	0	recurrent_amplification	0.687902977191557	1.34951638018333e-14	6.92897438602631e-13	strong_positive_dosage	support	TRUE	FALSE	FALSE	TRUE	2	1	1	2	2	7	2	2	3	2	Factor1		Factor8	EGFR;Estrogen	PIK3CA:relative_cnv -> Factor1	0.578587085765964	9.70359868940868e-08	within_tcga_supported	TRUE	profiled_strong_candidate	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	2	0	0	0.601007684063865	higher_in_tumor	identified_not_quantified		weak_or_mixed	protein_identified_not_quantified	0	1	18	20	8	0	14	60	TRUE	T4	priority_for_independent_and_wetlab_validation	FALSE	FALSE
GENE:PTCH1	ENSG00000185920.16	PTCH1	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	7	0.0729166666666667	TRUE	TRUE	0.0729166666666667	0	recurrent_gain	0.296160907472603	0.00356738772658747	0.00738036070939353	no_strong_dosage_evidence	same_direction_nonsignificant	FALSE	FALSE	FALSE	FALSE	1	1	0	1	1	20	1	1	12	7	Factor7		Factor1;Factor2;Factor6;Factor7;Factor8	Estrogen;JAK-STAT;p53;Trail;VEGF;WNT	PTCH1:relative_cnv -> Factor7	0.391559241097994	0.00456908290421296	within_tcga_supported	TRUE	profiled_strong_candidate	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	2	0	0	-0.375415288024046	lower_in_tumor	not_identified		weak_or_mixed	protein_missing_not_negative	0	1	18	16	8	0	15	57	FALSE	T3	robust_source_candidate_retained	FALSE	FALSE
GENE:TP53	ENSG00000141510.18	TP53	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	86	0.895833333333333	TRUE	TRUE	0.03125	0	recurrent_loss	0.166772654964734	0.106242677279114	0.153058006731083	no_strong_dosage_evidence	same_direction_nonsignificant	FALSE	FALSE	FALSE	FALSE	1	1	0	1	1	10	1	1	6	3	Factor1		Factor5;Factor6	Estrogen;p53;TGFb	TP53:mutation -> Factor1	0.619047619047619	0.026309573152747	within_tcga_supported	TRUE	profiled_strong_candidate	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	2	0	0	0.249581407852044	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	1	18	16	4	0	15	53	FALSE	T3	robust_source_candidate_retained	FALSE	FALSE
GENE:NFE2L2	ENSG00000116044.16	NFE2L2	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	16	0.166666666666667	TRUE	TRUE	0.09375	0	recurrent_gain	0.366277738034032	0.0002617381804392	0.000697931792331779	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	1	0	1	1	5	2	2	3	0	Factor1;Factor7		Factor2;Factor8		NFE2L2:mutation -> Factor1	0.753205128205128	0.000166971067788069	within_tcga_supported	TRUE	profiled_strong_candidate	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	2	0	0	-0.0809673182949775	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	1	18	16	4	0	12	50	FALSE	T3	robust_source_candidate_retained	FALSE	FALSE
GENE:NOTCH1	ENSG00000148400.12	NOTCH1	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	14	0.145833333333333	TRUE	TRUE	0.0416666666666667	0	recurrent_gain	0.308253067413868	0.00237306569493432	0.00511622957096487	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	1	1	0	1	1	7	1	1	4	2	Factor7		Factor1;Factor3	Estrogen;WNT	NOTCH1:relative_cnv -> Factor7	0.358889670020717	0.012228683187433	within_tcga_supported	TRUE	profiled_strong_candidate	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	2	0	0	0.262009824105452	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	1	18	16	4	0	11	49	FALSE	T3	robust_source_candidate_retained	FALSE	FALSE
GENE:SMARCA4	ENSG00000127616.19	SMARCA4	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	7	0.0729166666666667	TRUE	TRUE	0.03125	0	not_recurrent					not_comparable	FALSE	FALSE	FALSE	FALSE	1	1	0	1	1	12	2	1	4	6	Factor1	Factor8	Factor5	EGFR;Trail;VEGF	SMARCA4:mutation -> Factor1	-0.947454844006568	0.0012087269522841	within_tcga_supported	TRUE	profiled_strong_candidate	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	2	0	0	0.136411402277065	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	1	18	16	4	0	11	49	FALSE	T3	robust_source_candidate_retained	FALSE	FALSE
GENE:KMT2D	ENSG00000167548.16	KMT2D	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	17	0.177083333333333	TRUE	TRUE	0.0104166666666667	0	not_recurrent					not_comparable	FALSE	FALSE	FALSE	FALSE	1	1	0	1	1	7	1	1	3	3	Factor3		Factor2;Factor5	Trail	KMT2D:relative_cnv -> Factor3	-0.312270708246483	0.0524022138510443	within_tcga_supported	TRUE	profiled_strong_candidate	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	2	0	0	-0.0481601148854993	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	1	18	16	4	0	9	47	FALSE	T3	robust_source_candidate_retained	FALSE	FALSE
GENE:GNAS	ENSG00000087460.27	GNAS	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	4	0.0416666666666667	TRUE	FALSE	0.0625	0	recurrent_gain	0.337209722135567	0.000832837728653649	0.00197569174612525	strong_positive_dosage	support	TRUE	FALSE	FALSE	FALSE	0	1	0	1	1	4	0	0	4	0			Factor7	Estrogen;p53;WNT	GNAS:amplification -> p53	-0.693181818181818	0.133312066650575	within_tcga_conditional	FALSE	profiled_strong_candidate	three_layer_directional_hypothesis	directional_only_no_candidate_layer_fdr	3	0	-0.055556	0.455231110559371	higher_in_tumor	quantified	0.2300707094205	directionally_coherent_inverse	directionally_coherent	0	1	18	16	18	0	8	60	FALSE	T2	directional_hypothesis_conditional	FALSE	FALSE
GENE:ZNF750	ENSG00000141579.7	ZNF750	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	11	0.114583333333333	TRUE	TRUE	0.0104166666666667	0	not_recurrent					not_comparable	FALSE	FALSE	FALSE	FALSE	1	1	0	1	1	1	0	0	1	0			Factor2		ZNF750:mutation -> Factor2	0.463307776560789	0.129852383590817	within_tcga_conditional	FALSE	profiled_strong_candidate	credible_reverse_retained	directional_only_no_candidate_layer_fdr	2	0	-0.0878849999999999	-1.47418514340141	lower_in_tumor	not_identified		credible_reverse_same_direction_retained	protein_missing_not_negative	0	1	18	16	13	0	2	49	FALSE	T2	context_specific_reverse_retained	FALSE	FALSE
GENE:EP300	ENSG00000100393.14	EP300	protein_coding	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof	5	0.0520833333333333	TRUE	TRUE	0	0	not_recurrent					not_comparable	FALSE	FALSE	FALSE	FALSE	1	1	0	1	1	4	0	0	4	0			Factor1;Factor7	Androgen;TGFb	EP300:relative_cnv -> Factor1	0.253771203331802	0.16303172875576	within_tcga_conditional	FALSE	profiled_strong_candidate	context_dependent_or_weak	directional_only_no_candidate_layer_fdr	2	0	0	-0.0137395861439371	small_or_mixed_shift	not_identified		weak_or_mixed	protein_missing_not_negative	0	1	18	16	4	0	8	46	FALSE	T2	conditional_candidate_retained	FALSE	FALSE
