record_type	model_variant	factor	repeat_id	n	spearman_rho	pearson_r	rmse	median_absolute_error	spearman_min	spearman_max	positive_orientation	outer_folds	inner_folds	selection_rule	summary_statistic	feature_count	rna_squared_weight_mass_fraction
sensitivity_in_sample_diagnostic	mofa51_fixed_weight_sensitivity	Factor1		78	0.902199066756029	0.864291564524639	0.825832529405678	0.669168669611524			TRUE			fixed_original_MOFA_RNA_weights_no_outcome_fit	in_sample_transparency_diagnostic	51	0.0427614302806563
outer_repeat	ridge314_primary	Factor1	1	78	0.838212420490901	0.840754909998057	0.676527194872663	0.472984793106652			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	2	78	0.838566496794345	0.853120964349684	0.675399550296484	0.48831370720367			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	3	78	0.840210422488903	0.848595441119459	0.694322897560481	0.488006705887557			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	4	78	0.8407668281086	0.839326334135481	0.694897573887791	0.513665815160668			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	5	78	0.83320476991363	0.848713064499772	0.668501885634429	0.507895771496983			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	6	78	0.835531557050544	0.851623772349323	0.695436518355994	0.48980396118386			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	7	78	0.84107032208298	0.846372914369844	0.684436365353906	0.432459943501693			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	8	78	0.840539207627815	0.847554517727253	0.690651891433059	0.488117287730577			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	9	78	0.836113253834773	0.848738606123235	0.700679762115742	0.539210581231717			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	10	78	0.84015984015984	0.860431510320696	0.675697729245591	0.506098148312552			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	11	78	0.787503635604901	0.796334040874348	0.746007093436178	0.541186923919881			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
outer_repeat	ridge314_primary	Factor1	12	78	0.837782470693863	0.853876047492722	0.680315512654388	0.499832207637316			TRUE	5	5	nested_inner_5fold_lambda.1se	repeat	314	
