factor	model_variant	term	gene_id	coefficient	source_weight	selected_nonzero	feature_count	training_n	lambda_1se	alpha	preprocessing	model_role	rna_squared_weight_mass_fraction	orientation_rule	external_outcomes_seen_during_definition
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000016602	ENSG00000016602	0.00309312245036862	0.0351219698786736	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000047457	ENSG00000047457	0.0089108625110772	0.101181589066982	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000105369	ENSG00000105369	-0.0128716566770876	-0.146155849099159	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000108602	ENSG00000108602	0.0572397719604341	0.649949550628662	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000110777	ENSG00000110777	0.0132738565377625	0.150722771883011	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000115008	ENSG00000115008	-0.0164416071072541	-0.186692133545876	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000115009	ENSG00000115009	-0.00580485443180511	-0.0659133046865463	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000117215	ENSG00000117215	-0.0143583254492605	-0.16303676366806	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000117322	ENSG00000117322	-0.0187784977317905	-0.213227197527885	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000124107	ENSG00000124107	-0.0163317793974128	-0.185445055365562	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000127249	ENSG00000127249	0.0239640545867448	0.272108465433121	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000129514	ENSG00000129514	0.0273004049294694	0.309992253780365	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000132185	ENSG00000132185	-0.0211506384712039	-0.240162521600723	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000132465	ENSG00000132465	-0.0109461363760815	-0.124291837215424	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
Factor1	mofa51_fixed_weight_sensitivity	ENSG00000136573	ENSG00000136573	-0.00736091649534912	-0.0835821703076363	TRUE	51	78			ECMS matrix already cohort-wise gene Z; external GSE53622/24 separately re-Z; remove MOFA _RNA suffix then Ensembl version	transparent_sensitivity_not_primary	0.0427614302806563	retain original MOFA factor orientation; never flip after external outcome	FALSE
