cohort_scope	independence_family	model_variant	factor	model_type	stratified_by_subseries	model_formula	n_patients	n_events	subseries_levels	hazard_ratio_per_1sd	ci_lower_95	ci_upper_95	standard_error_log_hr	z_value	p_value	concordance	ph_score_p_value	ph_global_p_value	ph_score_violation_0_05	ph_global_violation_0_05	optimized_cutpoint_used	q_value	direction	interpretation_status
GSE53622	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor1	clinical_adjusted	FALSE	Surv(time,event) ~ score + age + sex + stage	60	33	GSE53622	0.950395787798405	0.668267461539615	1.35163270015266	0.179688791653338	-0.283138207707629	0.777070893891175	0.646436132674665	0.834166088563953	0.540580336965601	FALSE	FALSE	FALSE	0.810856584929921	higher_score_lower_hazard	secondary_null_or_inconclusive
GSE53622	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor1	unadjusted	FALSE	Surv(time,event) ~ score	60	33	GSE53622	0.940202646633153	0.660645565250853	1.33805638489427	0.180039769093122	-0.342479029707718	0.731990422771842	0.522935779816514	0.861273073855606	0.861273073855606	FALSE	FALSE	FALSE	0.798535006660192	higher_score_lower_hazard	secondary_null_or_inconclusive
GSE53622_GSE53624_stratified	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor1	clinical_adjusted	TRUE	Surv(time,event) ~ score + age + sex + stage + strata(subseries)	179	106	GSE53622,GSE53624	1.09277804933755	0.8982283156484	1.32946584327166	0.100027610690288	0.886986327041185	0.375086261884327	0.622372881355932	0.393860422954905	0.68289659399109	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53622_GSE53624_stratified	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor1	unadjusted	TRUE	Surv(time,event) ~ score + strata(subseries)	179	106	GSE53622,GSE53624	1.09514940500963	0.90232454470194	1.32918053302996	0.0988121504438438	0.919834215568408	0.357659400237366	0.539254237288136	0.421434259493181	0.421434259493181	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53624	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor1	clinical_adjusted	FALSE	Surv(time,event) ~ score + age + sex + stage	119	73	GSE53624	1.1783666152779	0.933094854046301	1.48811010368361	0.119070241260813	1.37842380661487	0.168072477358469	0.620845921450151	0.34806231672856	0.0891238463946568	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53624	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor1	unadjusted	FALSE	Surv(time,event) ~ score	119	73	GSE53624	1.16736407778997	0.929342660160429	1.4663470736178	0.116339817331521	1.33014032288922	0.18347204210905	0.554044981537429	0.375800531359956	0.375800531359956	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53622	GSE53625_family	ridge314_primary	Factor1	clinical_adjusted	FALSE	Surv(time,event) ~ score + age + sex + stage	60	33	GSE53622	1.24591108842671	0.86709383490984	1.7902265911348	0.184936295332189	1.18887998605842	0.234486896842057	0.668313338038109	0.903444828512906	0.610351497032155	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53622	GSE53625_family	ridge314_primary	Factor1	unadjusted	FALSE	Surv(time,event) ~ score	60	33	GSE53622	1.15732947980373	0.82697072386893	1.6196601477697	0.171480185432221	0.852081994741747	0.394168584568604	0.549047282992237	0.720394007088794	0.720394007088794	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53622_GSE53624_stratified	GSE53625_family	ridge314_primary	Factor1	clinical_adjusted	TRUE	Surv(time,event) ~ score + age + sex + stage + strata(subseries)	179	106	GSE53622,GSE53624	1.06372123942592	0.875679734928709	1.29214235533032	0.0992490907461651	0.622407350113892	0.533674048581299	0.618033898305085	0.332443235352048	0.65202754343058	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53622_GSE53624_stratified	GSE53625_family	ridge314_primary	Factor1	unadjusted	TRUE	Surv(time,event) ~ score + strata(subseries)	179	106	GSE53622,GSE53624	1.08391693392916	0.89377850801652	1.31450455467505	0.0984074281968574	0.818853539221072	0.412869980343794	0.521084745762712	0.346570016751025	0.346570016751025	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53624	GSE53625_family	ridge314_primary	Factor1	clinical_adjusted	FALSE	Surv(time,event) ~ score + age + sex + stage	119	73	GSE53624	1.01532891037275	0.799132531603238	1.29001480414084	0.122163818753347	0.124526310527775	0.900898569718342	0.609264853977845	0.26759295653043	0.0822721985274266	FALSE	FALSE	FALSE	0.900898569718342	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53624	GSE53625_family	ridge314_primary	Factor1	unadjusted	FALSE	Surv(time,event) ~ score	119	73	GSE53624	1.04968132458138	0.82780607456758	1.33102536575428	0.121154581220829	0.400204575151863	0.689005845105464	0.51443437395099	0.345231867871746	0.345231867871746	FALSE	FALSE	FALSE	0.787435251549102	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53622	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor3	clinical_adjusted	FALSE	Surv(time,event) ~ score + age + sex + stage	60	33	GSE53622	0.910556056481865	0.63763448180503	1.30029406447521	0.181780743539683	-0.515455120181679	0.606235023483648	0.661256175017643	0.195229974848234	0.376912746260361	FALSE	FALSE	FALSE	0.765770555979345	higher_score_lower_hazard	secondary_null_or_inconclusive
GSE53622	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor3	unadjusted	FALSE	Surv(time,event) ~ score	60	33	GSE53622	0.914265158731175	0.653090154129768	1.27988574806114	0.171635436837061	-0.522238549521074	0.601504248641307	0.533521524347212	0.194677864809196	0.194677864809196	FALSE	FALSE	FALSE	0.765770555979345	higher_score_lower_hazard	secondary_null_or_inconclusive
GSE53622_GSE53624_stratified	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor3	clinical_adjusted	TRUE	Surv(time,event) ~ score + age + sex + stage + strata(subseries)	179	106	GSE53622,GSE53624	1.08916288154975	0.891102468058736	1.33124508692032	0.102400641475329	0.834070972313504	0.404240991388435	0.625762711864407	0.490501164672701	0.749634903337864	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53622_GSE53624_stratified	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor3	unadjusted	TRUE	Surv(time,event) ~ score + strata(subseries)	179	106	GSE53622,GSE53624	1.09010179866618	0.899794048773942	1.32065991442648	0.097887990659184	0.88132450743902	0.378142205069622	0.542508474576271	0.516024896148009	0.516024896148009	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53624	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor3	clinical_adjusted	FALSE	Surv(time,event) ~ score + age + sex + stage	119	73	GSE53624	1.18808793930597	0.925940866665375	1.52445258908139	0.127188850231334	1.35503419420997	0.175406662842331	0.624874118831823	0.0481245504133711	0.0535672658371167	TRUE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53624	GSE53625_family	mofa51_fixed_weight_sensitivity	Factor3	unadjusted	FALSE	Surv(time,event) ~ score	119	73	GSE53624	1.18540556984522	0.936843721089599	1.4999154430856	0.120063146008751	1.41662928816997	0.156591340885011	0.560590802282645	0.0584082892878134	0.0584082892878134	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53622	GSE53625_family	ridge314_primary	Factor3	clinical_adjusted	FALSE	Surv(time,event) ~ score + age + sex + stage	60	33	GSE53622	0.881229743106117	0.622132151243382	1.24823296558913	0.177635630274279	-0.711776750367473	0.476603031972973	0.663373323923783	0.153126450710624	0.363993925558209	FALSE	FALSE	FALSE	0.753422186232422	higher_score_lower_hazard	secondary_null_or_inconclusive
GSE53622	GSE53625_family	ridge314_primary	Factor3	unadjusted	FALSE	Surv(time,event) ~ score	60	33	GSE53622	0.92770999141348	0.667567011649921	1.28922761782563	0.167897651771391	-0.446915745980847	0.654935894527166	0.539167254763585	0.117198188857712	0.117198188857712	FALSE	FALSE	FALSE	0.785923073432599	higher_score_lower_hazard	secondary_null_or_inconclusive
GSE53622_GSE53624_stratified	GSE53625_family	ridge314_primary	Factor3	clinical_adjusted	TRUE	Surv(time,event) ~ score + age + sex + stage + strata(subseries)	179	106	GSE53622,GSE53624	1.07343127671256	0.879785261568848	1.30969994174492	0.101498847220877	0.698139144047471	0.485090180172495	0.622237288135593	0.946715009036201	0.84222550321324	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53622_GSE53624_stratified	GSE53625_family	ridge314_primary	Factor3	unadjusted	TRUE	Surv(time,event) ~ score + strata(subseries)	179	106	GSE53622,GSE53624	1.06564632255014	0.874305431067232	1.29886198165147	0.100972954914212	0.629688323717881	0.528898523429817	0.523796610169492	0.952097095913128	0.952097095913128	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53624	GSE53625_family	ridge314_primary	Factor3	clinical_adjusted	FALSE	Surv(time,event) ~ score + age + sex + stage	119	73	GSE53624	1.19694092116464	0.928082237517927	1.54368601277187	0.129797960057597	1.38499148619782	0.166055070693054	0.620174555219872	0.275439736950327	0.127652422373516	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
GSE53624	GSE53625_family	ridge314_primary	Factor3	unadjusted	FALSE	Surv(time,event) ~ score	119	73	GSE53624	1.15432639250422	0.898556152652223	1.48290055829992	0.127797470715891	1.12300316339344	0.261436150938329	0.53877139979859	0.216590241075528	0.216590241075528	FALSE	FALSE	FALSE	0.753422186232422	higher_score_higher_hazard	secondary_null_or_inconclusive
