view	factor	feature	value	abs_weight
RNA	Factor1	ENSG00000241635.8	0.728174567222595	0.728174567222595
RNA	Factor1	ENSG00000169432.18	0.717204391956329	0.717204391956329
RNA	Factor1	ENSG00000148053.17	0.711912751197815	0.711912751197815
RNA	Factor1	ENSG00000114948.13	0.703130066394806	0.703130066394806
RNA	Factor1	ENSG00000188385.12	0.700658857822418	0.700658857822418
RNA	Factor1	ENSG00000135324.6	0.693644344806671	0.693644344806671
RNA	Factor1	ENSG00000074047.22_RNA	0.681173026561737	0.681173026561737
RNA	Factor1	ENSG00000140961.14	0.679075121879578	0.679075121879578
RNA	Factor1	ENSG00000167165.19	0.677091181278229	0.677091181278229
RNA	Factor1	ENSG00000244122.2	0.657597839832306	0.657597839832306
RNA	Factor1	ENSG00000102230.14	0.655105412006378	0.655105412006378
RNA	Factor1	ENSG00000156298.13	0.651471614837647	0.651471614837647
RNA	Factor1	ENSG00000176153.12	0.65128755569458	0.65128755569458
RNA	Factor1	ENSG00000108602.18	0.649949550628662	0.649949550628662
RNA	Factor1	ENSG00000187134.14_RNA	0.648397207260132	0.648397207260132
RNA	Factor1	ENSG00000181449.4	0.647698283195496	0.647698283195496
RNA	Factor1	ENSG00000147257.15	0.641678154468536	0.641678154468536
RNA	Factor1	ENSG00000177570.15	0.63866537809372	0.63866537809372
RNA	Factor1	ENSG00000196139.14_RNA	0.637844979763031	0.637844979763031
RNA	Factor1	ENSG00000137261.14	0.632506370544434	0.632506370544434
RNA	Factor2	ENSG00000221867.9	0.45498725771904	0.45498725771904
RNA	Factor2	ENSG00000213401.10	0.425196945667267	0.425196945667267
RNA	Factor2	ENSG00000197172.10	0.415153950452805	0.415153950452805
RNA	Factor2	ENSG00000134365.13	0.39048382639885	0.39048382639885
RNA	Factor2	ENSG00000126890.13	0.3857701420784	0.3857701420784
RNA	Factor2	ENSG00000170627.11	0.368086576461792	0.368086576461792
RNA	Factor2	ENSG00000198930.13	0.36543470621109	0.36543470621109
RNA	Factor2	ENSG00000173157.17	0.357170045375824	0.357170045375824
RNA	Factor2	ENSG00000156475.18	-0.349383324384689	0.349383324384689
RNA	Factor2	ENSG00000268916.6	0.311379075050354	0.311379075050354
RNA	Factor2	ENSG00000268902.3	0.31131911277771	0.31131911277771
RNA	Factor2	ENSG00000198681.7	0.302190870046616	0.302190870046616
RNA	Factor2	ENSG00000176566.5	0.298467993736267	0.298467993736267
RNA	Factor2	ENSG00000214107.8	0.297264128923416	0.297264128923416
RNA	Factor2	ENSG00000147246.10	0.291785061359406	0.291785061359406
RNA	Factor2	ENSG00000150394.14	0.291154474020004	0.291154474020004
RNA	Factor2	ENSG00000179083.6	0.283188432455063	0.283188432455063
RNA	Factor2	ENSG00000137959.16	-0.273015677928925	0.273015677928925
RNA	Factor2	ENSG00000117215.15	-0.271969676017761	0.271969676017761
RNA	Factor2	ENSG00000116183.11_RNA	0.271604537963867	0.271604537963867
RNA	Factor3	ENSG00000058085.15	0.724729835987091	0.724729835987091
RNA	Factor3	ENSG00000189410.12	0.706338465213776	0.706338465213776
RNA	Factor3	ENSG00000041982.16	0.682189881801605	0.682189881801605
RNA	Factor3	ENSG00000122641.11	0.67641019821167	0.67641019821167
RNA	Factor3	ENSG00000186684.14	0.675893783569336	0.675893783569336
RNA	Factor3	ENSG00000138944.8	0.671226263046265	0.671226263046265
RNA	Factor3	ENSG00000196611.5	0.670157968997955	0.670157968997955
RNA	Factor3	ENSG00000183844.17	-0.661123752593994	0.661123752593994
RNA	Factor3	ENSG00000087494.16	0.654475271701813	0.654475271701813
RNA	Factor3	ENSG00000155265.11	0.651930928230286	0.651930928230286
RNA	Factor3	ENSG00000142973.14	-0.648520827293396	0.648520827293396
RNA	Factor3	ENSG00000164509.15	0.638887941837311	0.638887941837311
RNA	Factor3	ENSG00000145934.16	0.631531536579132	0.631531536579132
RNA	Factor3	ENSG00000186847.6	0.626049399375916	0.626049399375916
RNA	Factor3	ENSG00000105289.15	-0.61615401506424	0.61615401506424
RNA	Factor3	ENSG00000065618.21	0.614964008331299	0.614964008331299
RNA	Factor3	ENSG00000139865.16_RNA	-0.606830656528473	0.606830656528473
RNA	Factor3	ENSG00000240764.4	0.598522424697876	0.598522424697876
RNA	Factor3	ENSG00000164400.6	0.595331370830536	0.595331370830536
RNA	Factor3	ENSG00000153132.13	-0.594193398952484	0.594193398952484
RNA	Factor4	ENSG00000140459.18	-0.296425610780716	0.296425610780716
RNA	Factor4	ENSG00000278318.5	-0.260550975799561	0.260550975799561
RNA	Factor4	ENSG00000137960.6	-0.256558269262314	0.256558269262314
RNA	Factor4	ENSG00000184368.16	-0.239213615655899	0.239213615655899
RNA	Factor4	ENSG00000109182.12	-0.223952636122704	0.223952636122704
RNA	Factor4	ENSG00000174963.18	-0.222778543829918	0.222778543829918
RNA	Factor4	ENSG00000113211.5	-0.222105920314789	0.222105920314789
RNA	Factor4	ENSG00000180543.5	-0.221136480569839	0.221136480569839
RNA	Factor4	ENSG00000128610.12	0.214180529117584	0.214180529117584
RNA	Factor4	ENSG00000152977.10	-0.211921632289886	0.211921632289886
RNA	Factor4	ENSG00000105131.8	-0.210248962044716	0.210248962044716
RNA	Factor4	ENSG00000187714.7	-0.2064248919487	0.2064248919487
RNA	Factor4	ENSG00000124260.12	-0.205488279461861	0.205488279461861
RNA	Factor4	ENSG00000009694.13	-0.20170071721077	0.20170071721077
RNA	Factor4	ENSG00000204179.10	-0.19795735180378	0.19795735180378
RNA	Factor4	ENSG00000179542.16	-0.197856470942497	0.197856470942497
RNA	Factor4	ENSG00000137948.18	-0.19670581817627	0.19670581817627
RNA	Factor4	ENSG00000205362.11	-0.194646269083023	0.194646269083023
RNA	Factor4	ENSG00000171345.13	-0.193279474973679	0.193279474973679
RNA	Factor4	ENSG00000132854.19	-0.189892798662186	0.189892798662186
RNA	Factor5	ENSG00000163431.13	-1.27195370197296	1.27195370197296
RNA	Factor5	ENSG00000095637.22	-1.2646803855896	1.2646803855896
RNA	Factor5	ENSG00000106772.18	-1.26031887531281	1.26031887531281
RNA	Factor5	ENSG00000141052.18	-1.25663626194	1.25663626194
RNA	Factor5	ENSG00000198523.6	-1.25634396076202	1.25634396076202
RNA	Factor5	ENSG00000130176.8	-1.2439866065979	1.2439866065979
RNA	Factor5	ENSG00000173641.18	-1.23025500774384	1.23025500774384
RNA	Factor5	ENSG00000163017.14	-1.2221245765686	1.2221245765686
RNA	Factor5	ENSG00000154330.13	-1.21745014190674	1.21745014190674
RNA	Factor5	ENSG00000175084.12	-1.21401166915894	1.21401166915894
RNA	Factor5	ENSG00000118729.12_RNA	-1.19313597679138	1.19313597679138
RNA	Factor5	ENSG00000108823.16	-1.18964266777039	1.18964266777039
RNA	Factor5	ENSG00000133392.18	-1.16983997821808	1.16983997821808
RNA	Factor5	ENSG00000172987.13	-1.16171669960022	1.16171669960022
RNA	Factor5	ENSG00000182253.15	-1.15818512439728	1.15818512439728
RNA	Factor5	ENSG00000134917.10	-1.1266131401062	1.1266131401062
RNA	Factor5	ENSG00000181778.5	-1.12457144260407	1.12457144260407
RNA	Factor5	ENSG00000172403.11	-1.11907863616943	1.11907863616943
RNA	Factor5	ENSG00000164122.9	-1.11882865428925	1.11882865428925
RNA	Factor5	ENSG00000004776.13	-1.1126960515976	1.1126960515976
RNA	Factor6	ENSG00000136155.17	-0.915287256240845	0.915287256240845
RNA	Factor6	ENSG00000088002.12	-0.880277156829834	0.880277156829834
RNA	Factor6	ENSG00000092295.12	-0.875368356704712	0.875368356704712
RNA	Factor6	ENSG00000241794.2	-0.874535501003265	0.874535501003265
RNA	Factor6	ENSG00000133710.16	-0.85692423582077	0.85692423582077
RNA	Factor6	ENSG00000172382.10	-0.856524109840393	0.856524109840393
RNA	Factor6	ENSG00000140519.14	-0.851211071014404	0.851211071014404
RNA	Factor6	ENSG00000169474.4	-0.84970223903656	0.84970223903656
RNA	Factor6	ENSG00000143546.10	-0.846658706665039	0.846658706665039
RNA	Factor6	ENSG00000203785.9	-0.84574282169342	0.84574282169342
RNA	Factor6	ENSG00000163216.7	-0.844277322292328	0.844277322292328
RNA	Factor6	ENSG00000197191.6	-0.843304097652435	0.843304097652435
RNA	Factor6	ENSG00000171124.13	-0.841461420059204	0.841461420059204
RNA	Factor6	ENSG00000169469.9	-0.840555250644684	0.840555250644684
RNA	Factor6	ENSG00000136689.19	-0.836407124996185	0.836407124996185
RNA	Factor6	ENSG00000166535.20	-0.835926949977875	0.835926949977875
RNA	Factor6	ENSG00000105427.10	-0.83570408821106	0.83570408821106
RNA	Factor6	ENSG00000169509.6	-0.835251092910767	0.835251092910767
RNA	Factor6	ENSG00000163207.7	-0.834314346313477	0.834314346313477
RNA	Factor6	ENSG00000163141.20	-0.833140671253204	0.833140671253204
RNA	Factor7	ENSG00000134323.12	-0.841088771820068	0.841088771820068
RNA	Factor7	ENSG00000140873.16	-0.787060081958771	0.787060081958771
RNA	Factor7	ENSG00000186895.4_RNA	-0.740694761276245	0.740694761276245
RNA	Factor7	ENSG00000183908.7	-0.677773594856262	0.677773594856262
RNA	Factor7	ENSG00000197410.14	-0.662674725055695	0.662674725055695
RNA	Factor7	ENSG00000171102.14	-0.621760606765747	0.621760606765747
RNA	Factor7	ENSG00000144229.12	-0.616768956184387	0.616768956184387
RNA	Factor7	ENSG00000180730.5	-0.606860816478729	0.606860816478729
RNA	Factor7	ENSG00000113494.17	-0.593456149101257	0.593456149101257
RNA	Factor7	ENSG00000175928.6	-0.590787768363953	0.590787768363953
RNA	Factor7	ENSG00000142449.13	-0.577649295330048	0.577649295330048
RNA	Factor7	ENSG00000287725.1_RNA	-0.571831285953522	0.571831285953522
RNA	Factor7	ENSG00000186998.16	-0.562488675117493	0.562488675117493
RNA	Factor7	ENSG00000184486.10	-0.559529662132263	0.559529662132263
RNA	Factor7	ENSG00000092758.18	-0.558680772781372	0.558680772781372
RNA	Factor7	ENSG00000075388.4_RNA	-0.556726455688477	0.556726455688477
