gene_id	gene_name	gene_type	chromosome	start	end	nonmissing_patients	median_copy_number	median_relative_log2	relative_log2_iqr	gain_frequency	loss_frequency	amplification_frequency	homozygous_deletion_frequency	dominant_cnv_event	recurrent_cnv_class	expressed_filter	cnv_coverage_filter	cnv_variation_filter	test_eligible	n_patients	spearman_rho_relative_cnv	p_relative_cnv	q_relative_cnv	spearman_rho_absolute_cnv	p_absolute_cnv	q_absolute_cnv	direction_stable_between_cnv_scales	discordance_code	dosage_evidence	mutation_symbol	nonsynonymous_variants	mutated_patients	likely_lof_variants	likely_lof_patients	hotspot_variants	max_observed_aa_position	oncodrive_cluster_score	oncodrive_fraction_in_clusters	oncodrive_p	oncodrive_fdr	mutation_frequency_96	recurrent_mutation	gene_span_bp	long_gene_passenger_flag	large_protein_mutability_flag	oncodrive_support_only	high_confidence_mutation_pattern	recurrent_high_level_cnv	recurrent_broad_cnv	strong_dosage	conditional_dosage	precise_reverse_dosage	multi_event_convergence	multi_event_convergence_status	evidence_unit_count	candidate_model_eligible	decision	primary_candidate_route
ENSG00000167548.16	KMT2D	protein_coding	chr12	49018978	49060794	96	3	0	0	0.145833333333333	0.145833333333333	0.0104166666666667	0	amplification	not_recurrent	TRUE	TRUE	FALSE	FALSE									not_comparable		KMT2D	19	17	14	13	1	5387					0.177083333333333	TRUE	41817	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	not_met	1	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
ENSG00000148400.12	NOTCH1	protein_coding	chr9	136494433	136546048	96	3	0	0.670342562127124	0.25	0.291666666666667	0.0416666666666667	0	amplification	recurrent_gain	TRUE	TRUE	TRUE	TRUE	95	0.308253067413868	0.00237306569493432	0.00511622957096487	0.191986194282293	0.0623418731965618	0.113285518824874	TRUE	support	strong_positive_dosage	NOTCH1	16	14	10	9	1	1723					0.145833333333333	TRUE	51616	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	not_met	1	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
ENSG00000141579.7	ZNF750	protein_coding	chr17	82829434	82840022	96	3	0	0	0.166666666666667	0.197916666666667	0.0104166666666667	0	amplification	not_recurrent	TRUE	TRUE	FALSE	FALSE									not_comparable		ZNF750	11	11	9	9	0	298					0.114583333333333	TRUE	10589	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	not_met	1	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
ENSG00000074181.9	NOTCH3	protein_coding	chr19	15159038	15200995	96	2.5	0	0	0.21875	0.166666666666667	0.0520833333333333	0	amplification	recurrent_gain	TRUE	TRUE	FALSE	FALSE									not_comparable		NOTCH3	10	10	4	4	0	1669					0.104166666666667	TRUE	41958	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	not_met	1	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
ENSG00000185920.16	PTCH1	protein_coding	chr9	95442980	95517057	96	3	0	0.434946733683455	0.270833333333333	0.229166666666667	0.0729166666666667	0	amplification	recurrent_gain	TRUE	TRUE	TRUE	TRUE	95	0.296160907472603	0.00356738772658747	0.00738036070939353	0.406882005194785	4.28040601032268e-05	0.000295980696164393	TRUE	same_direction_nonsignificant	no_strong_dosage_evidence	PTCH1	7	7	7	7	0	1203					0.0729166666666667	TRUE	74078	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	not_met	1	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
ENSG00000100393.14	EP300	protein_coding	chr22	41092592	41180077	96	2	0	0	0.177083333333333	0.15625	0	0	none	not_recurrent	TRUE	TRUE	FALSE	FALSE									not_comparable		EP300	5	5	2	2	2	1539					0.0520833333333333	TRUE	87486	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	not_met	1	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
ENSG00000087460.27	GNAS	protein_coding	chr20	58839718	58911192	96	3	0	0.362570079384708	0.416666666666667	0.0208333333333333	0.0625	0	amplification	recurrent_gain	TRUE	TRUE	TRUE	TRUE	95	0.337209722135567	0.000832837728653649	0.00197569174612525	0.244965615919423	0.0167296062207287	0.0383661602335047	TRUE	support	strong_positive_dosage	GNAS	4	4	0	0	2	301					0.0416666666666667	FALSE	71475	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	not_met	0	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
ENSG00000109670.16	FBXW7	protein_coding	chr4	152320544	152536092	96	2	0	0.485426827170242	0.125	0.395833333333333	0.0104166666666667	0.0104166666666667	amplification	recurrent_loss	TRUE	TRUE	TRUE	TRUE	95	0.52098991665482	6.20986487627644e-08	4.20242830101056e-07	0.30093321553238	0.0030434031965826	0.00952763252013343	TRUE	support	strong_positive_dosage	FBXW7	4	3	2	2	3	543					0.03125	FALSE	215549	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	not_met	0	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
ENSG00000121879.6	PIK3CA	protein_coding	chr3	179148114	179240093	96	5	0.84799690655495	0.657221097372184	0.822916666666667	0	0.510416666666667	0	amplification	recurrent_amplification	TRUE	TRUE	TRUE	TRUE	95	0.687902977191557	1.34951638018333e-14	6.92897438602631e-13	0.573477885141989	1.24575584750434e-09	5.82976961551663e-08	TRUE	support	strong_positive_dosage	PIK3CA	12	12	0	0	12	1047	0.770833333333333	0.833333333333333	7.7370977915936e-05	0.00038685488957968	0.125	TRUE	91980	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	conditional_pending_cnv_focality	2	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
ENSG00000116044.16	NFE2L2	protein_coding	chr2	177227595	177392697	96	3	0	0.362570079384708	0.354166666666667	0.0833333333333333	0.09375	0	amplification	recurrent_gain	TRUE	TRUE	TRUE	TRUE	95	0.366277738034032	0.0002617381804392	0.000697931792331779	0.298436680207806	0.00330820753091432	0.0102104375534328	TRUE	support	strong_positive_dosage	NFE2L2	16	16	0	0	16	82	0.560374391104358	0.9375	0.0152161267341987	0.050720422447329	0.166666666666667	TRUE	165103	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	not_met	1	TRUE	strong_patient_level_candidate	mutation_recurrence_hotspot_or_multihit_lof
